BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202205,123,109,0,4797974970
202201,118,121,3,25483217120
202203,100,128,0,151081402
202106,117,117,0,713560618
202205,111,116,0,14272627699
202205,139,150,0,16923096069
202111,114,114,13,4921289480
202207,136,119,0,7439514224
202110,133,160,0,9103136846
202110,111,160,1,10914110936
202206,158,110,0,10014557673
202205,126,150,23,2309707477
202201,109,135,0,19643502013
202204,123,102,0,19894699986
202110,157,131,3,884187335
202109,110,111,3,292441601
202202,107,101,0,895551122
202204,102,130,1,21110941209
202204,108,121,1,19326511443
202202,155,150,0,10816022930
202202,129,149,1,111317932
202203,105,130,0,2728474757124
202204,148,114,3,29243106929
202201,112,148,0,20395903321
202201,125,113,0,5353351714
202202,161,149,1,4128214941
202201,140,118,0,4632733392
202206,152,133,1,15227380437
202111,156,140,0,44776216
202107,140,144,4,4682925239
202201,152,111,0,25724162186
202206,155,99,0,4958951957
202205,152,112,0,10567413975
202201,117,120,0,863898683
202202,125,115,12,19834574958
202204,104,109,0,120356083
202206,114,114,0,19623871615
202201,137,122,4,6212038984
202110,137,160,0,243997943
202201,149,140,11,75182909051
202203,126,101,4,10112323666
202110,131,100,0,19953880666
202206,129,148,1,16049316320
202203,105,122,1,11604407636
202109,102,115,0,6978292853
202202,144,150,0,15939918129
202205,137,158,4,4874080119
202203,104,135,0,27577124327
202206,102,146,32,25075711569
202205,123,112,0,15060770535
202202,119,110,0,1109435237
202202,152,150,11,23591640140
202205,131,117,24,31070463789
202204,142,151,0,19252910458
202205,141,116,0,100424714117
202110,109,124,1,796539938
202206,145,108,0,15861601159
202204,104,140,3,4518440722
202206,158,142,4,10749738513
202108,109,107,0,2148116275
202204,117,131,0,1849683811
202205,144,105,0,1740666230
202203,121,110,4,2900416739
202109,117,106,3,14734525884
202207,150,130,0,7035651107
202201,158,109,0,9649834603
202111,126,120,0,809205793
202109,148,142,0,279719046
202203,114,110,3,8303891952
202202,126,113,0,21402655746
202201,157,119,0,10677468733
202111,142,110,0,3141077834
202107,115,126,0,13928862858
202206,161,115,0,5529085848
202203,132,110,0,768225669
202111,155,150,0,622760076
202207,155,111,4,8074449478
202202,118,159,0,11198939386
202205,123,123,1,21765784406
202202,117,156,0,9729209807
202108,140,132,0,480229734
202202,145,117,0,11808911584
202201,140,125,0,12224315790
202202,146,161,0,10831760100
202203,142,140,0,1990376436
202202,152,111,0,17027303815
202107,157,109,0,2618558912
202110,122,129,0,15343559752
202110,138,154,14,1896903644
202202,118,108,4,5711016423
202203,157,113,4,10383944245
202206,154,131,0,70540938
