BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,100,113,0,459307271000
202107,100,117,0,1329850000
202107,100,120,4,2050000
202107,100,105,0,30795000
202107,100,134,1,244852000
202107,100,129,1,469310000
202107,100,148,1,3720000
202107,100,122,4,46876000
202107,100,157,4,6590000
202107,100,131,3,29000
202107,100,159,4,8265000
202107,100,125,4,6233000
202107,100,106,4,1800000
202107,100,111,4,4268000
202107,100,127,0,411310000
202107,100,140,4,13567000
202107,100,135,0,94770000
202107,100,126,3,711330000
202107,100,134,3,4761757000
202107,100,148,3,212661000
202107,100,121,0,190000
202107,100,128,0,378000
202107,100,142,3,23000000
202107,100,147,4,250000
202107,100,160,3,38033000
202107,100,114,3,78600000
202107,100,105,3,15459000
202107,100,132,3,189000
202107,100,141,3,6187000
202107,100,109,3,2306000
202107,100,116,3,196624000
202107,100,145,0,988372000
202107,100,152,3,55098000
202107,100,129,3,941290000
202107,100,150,3,2177931000
202107,100,149,3,828320000
202107,100,106,0,155034000
202107,100,122,0,60603178000
202107,100,147,0,3510883000
202107,100,133,0,5156376000
202107,100,157,0,5507909000
202107,100,125,0,3535277000
202107,100,111,0,2103814000
202107,100,114,0,138158000
202107,100,156,0,28085480000
202107,100,136,0,13375940000
202107,100,107,0,22514289000
202107,100,146,0,1900411000
202107,100,138,0,31749876000
202107,100,110,0,85965764000
202107,100,154,0,93932749000
202107,100,151,0,564810186000
202107,100,131,0,396626787000
202107,100,126,0,525374795000
202107,100,143,0,277182004000
202107,100,142,0,210856622000
202107,100,141,0,160487859000
202107,100,120,0,4466387000
202107,100,103,0,542541956000
202107,100,155,0,272188086000
202107,100,109,0,128898111000
202107,100,112,0,110859497000
202107,100,149,0,1856464055000
202107,100,152,0,1618999612000
202107,100,118,0,188865572000
202107,100,148,0,2887505509000
202107,100,129,0,2460288022000
202107,100,160,0,1636813034000
202107,100,132,0,145562058000
202107,100,116,0,33114286000
202107,100,153,0,561883114000
202107,100,123,0,1857300000
202107,100,115,0,189122952000
202107,100,101,0,3914083000
202107,100,140,0,6735449000
202107,100,130,0,52542600000
202107,100,144,0,487871885000
202107,100,137,0,3088135000
202107,100,159,0,1702032000
202107,100,150,0,1304189426000
202107,100,134,0,2127636380000
202107,100,115,4,100685000
202107,100,116,4,394750000
202107,100,145,4,43243000
202107,100,131,4,1561159000
202107,100,142,4,1661896000
202107,100,113,4,3907511000
202107,100,126,4,2204852000
202107,100,110,4,289584000
202107,100,109,4,1292047000
202107,100,160,4,13133482000
202107,100,107,4,17540000
202107,100,133,4,10735000
202107,100,141,4,1282623000
202107,100,151,4,849774000
202107,100,143,4,986708000
202107,100,101,4,195973000
202107,100,152,4,10900684000
202107,100,146,4,4485000
202107,100,161,4,220000
202107,102,133,1,1105200000
202107,102,109,1,186241000
202107,102,144,1,12686643000
202107,102,153,1,10090895000
202107,102,110,1,606469000
202107,102,155,1,231829000
202107,102,150,1,6035736000
202107,102,132,1,876904000
202107,102,160,1,6116119000
202107,102,116,4,66301000
202107,102,138,4,35086000
202107,102,153,4,26423000
202107,102,132,4,137384000
202107,102,126,4,233211000
202107,102,112,4,18832000
202107,102,144,4,17717000
202107,102,151,4,35048000
202107,102,149,4,1433489000
202107,102,134,4,858977000
202107,102,148,4,1267679000
202107,102,152,4,1198383000
202107,102,113,4,252214000
202107,102,122,4,2010000
202107,102,146,4,3400000
202107,102,133,4,1707000
202107,102,111,4,1359000
202107,102,115,4,3000000
202107,102,107,4,1283000
202107,102,106,4,255000
202107,102,115,1,4105071000
202107,102,122,1,892200000
202107,102,159,4,2529000
202107,102,150,4,1155414000
202107,102,141,1,72229000
202107,102,112,1,229749000
202107,102,155,4,538847000
202107,102,136,4,2461000
202107,102,125,4,1740000
202107,102,137,0,30946000
202107,102,144,3,860679000
202107,102,107,1,395322000
202107,102,142,1,639719000
202107,102,130,1,1042728000
202107,102,115,3,332332000
202107,102,157,4,150000
202107,102,117,0,1848442000
202107,102,156,1,869609000
202107,102,154,1,369205000
202107,102,138,1,540675000
202107,102,118,1,6239009000
202107,102,151,1,18053543000
202107,102,116,1,578694000
202107,102,143,1,309320000
202107,102,131,1,925672000
202107,102,126,1,877733000
202107,102,136,1,101108000
202107,102,103,1,8582127000
202107,102,134,1,12417503000
202107,102,148,1,4209823000
202107,102,152,1,8291026000
202107,102,149,1,10342710000
202107,102,129,1,18766366000
202107,102,113,1,5758757000
202107,102,143,4,101971000
202107,102,110,4,355899000
202107,102,101,4,12060000
202107,102,131,4,78780000
202107,102,103,4,24765000
202107,102,145,4,13277000
202107,102,118,4,48200000
202107,102,109,4,62448000
202107,102,156,4,30368000
202107,102,130,4,179266000
202107,102,141,4,451484000
202107,102,154,4,17359000
202107,102,142,4,107678000
202107,102,160,4,1594781000
202107,102,135,0,300000
202107,102,157,3,300000
202107,102,125,3,4492000
202107,102,120,1,3000000
202107,102,106,0,368359000
202107,102,123,3,100000
202107,102,111,3,80000
202107,102,159,3,1905000
202107,102,140,4,50000
202107,102,107,3,5328000
202107,102,114,0,3575000
202107,102,106,3,2000
202107,102,161,0,1680000
202107,102,133,0,40925242000
202107,102,160,3,2694558000
202107,102,151,0,1196043713000
202107,102,130,0,114393297000
202107,102,148,0,817078235000
202107,102,154,0,114175887000
202107,102,141,0,38774553000
202107,102,150,0,396198827000
202107,102,152,0,348852405000
202107,102,132,0,85605838000
202107,104,130,3,5690000
202107,104,141,1,393770000
202107,104,118,1,1790000
202107,104,136,4,1160000
202107,104,118,4,11880000
202107,104,143,4,1500000
202107,104,116,4,52241000
202107,104,145,0,44470000
202107,104,122,0,383194000
202107,104,101,4,5180000
202107,104,130,4,7650000
202107,104,151,4,21070000
202107,104,145,4,2000000
202107,104,111,0,87343000
202107,104,158,0,83600000
202107,104,115,0,1630261000
202107,104,112,4,17302000
202107,104,138,4,10200000
202107,104,132,4,8430000
202107,104,154,4,3200000
202107,104,126,1,114610000
202107,104,113,1,436357000
202107,104,157,0,78520000
