BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,104,130,3,5690000
202107,104,141,1,393770000
202107,104,118,1,1790000
202107,104,136,4,1160000
202107,104,118,4,11880000
202107,104,143,4,1500000
202107,104,116,4,52241000
202107,104,145,0,44470000
202107,104,122,0,383194000
202107,104,101,4,5180000
202107,104,130,4,7650000
202107,104,151,4,21070000
202107,104,145,4,2000000
202107,104,111,0,87343000
202107,104,158,0,83600000
202107,104,115,0,1630261000
202107,104,112,4,17302000
202107,104,138,4,10200000
202107,104,132,4,8430000
202107,104,154,4,3200000
202107,104,126,1,114610000
202107,104,113,1,436357000
202107,104,157,0,78520000
202107,104,125,0,67448000
202107,104,131,3,10329000
202107,104,156,1,8153000
202107,104,101,1,2090000
202107,104,131,1,150998000
202107,104,130,1,25830000
202107,104,112,1,28289000
202107,104,153,4,10550000
202107,104,112,3,37811000
202107,104,142,1,20439000
202107,104,151,1,15146000
202107,104,153,1,15142000
202107,104,138,1,18038000
202107,104,116,1,187380000
202107,104,144,1,2200000
202107,104,138,3,5486000
202107,104,103,4,3515000
202107,104,110,4,2140000
202107,104,141,3,110213000
202107,104,114,3,45600000
202107,104,103,3,5010000
202107,104,121,0,11000000
202107,104,153,3,421000
202107,104,117,0,200000
202107,104,137,3,23500000
202107,104,101,3,16800000
202107,104,120,4,50000
202107,104,103,1,7730000
202107,104,107,3,84000
202107,104,132,3,7226000
202107,104,128,0,2720000
202107,104,114,1,4951000
202107,104,110,1,27580000
202107,104,105,0,10790000
202107,104,144,4,13600000
202107,104,143,1,10677000
202107,104,105,3,20000000
202107,104,161,0,882000
202107,104,151,3,2709000
202107,104,137,0,1940653000
202107,104,132,1,22548000
202107,104,149,0,173849981000
202107,104,109,0,5102432000
202107,104,153,0,9094640000
202107,104,154,0,4512471000
202107,104,134,3,17498645000
202107,104,148,3,25635777000
202107,104,131,0,12966964000
202107,104,138,0,2452012000
202107,104,113,0,24276202000
202107,104,149,3,47087475000
202107,104,156,0,2721121000
202107,104,143,3,137180000
202107,104,159,0,4295000
202107,104,126,4,25140000
202107,104,131,4,12048000
202107,104,150,4,72280000
202107,104,141,4,152048000
202107,104,142,3,50942000
202107,104,107,0,360105000
202107,104,126,3,11481538000
202107,104,123,0,50525000
202107,104,150,1,1128987000
202107,104,142,4,2780000
202107,104,148,4,185906000
202107,104,130,0,5701185000
202107,104,133,0,317690000
202107,104,113,3,144928000
202107,104,150,3,1834307000
202107,104,114,0,395812000
202107,104,160,1,7095791000
202107,104,152,1,7153910000
202107,104,146,0,41843000
202107,104,149,1,3066899000
202107,104,118,3,277000
202107,104,120,0,249773000
202107,104,134,1,1669121000
202107,104,136,0,1133537000
202107,104,151,0,7980092000
202107,104,148,0,66863514000
202107,104,112,0,4045074000
202107,104,126,0,6568459000
