BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,129,114,4,4502772000
202107,129,106,4,23530000
202107,129,111,4,44388000
202107,129,137,3,878908000
202107,129,161,4,4130000
202107,129,136,1,759382000
202107,129,137,4,4960000
202107,129,130,11,1110000
202107,129,134,15,40000
202107,129,160,15,3240000
202107,129,148,16,100000
202107,129,109,13,44650000
202107,129,149,15,320000
202107,129,148,13,8120000
202107,129,100,16,600000
202107,129,126,11,26591000
202107,129,155,13,1180000
202107,129,141,13,4170000
202107,129,111,1,277179000
202107,129,127,4,1400000
202107,129,125,1,32069000
202107,129,110,26,130560000
202107,129,107,1,639430000
202107,129,138,3,168027000
202107,129,143,26,248639000
202107,129,144,4,781515000
202107,129,156,4,592823000
202107,129,104,4,516041000
202107,129,123,4,3055000
202107,129,157,4,41058000
202107,129,103,1,5645442000
202107,129,125,4,37932000
202107,129,145,4,163343000
202107,129,136,4,184625000
202107,129,109,4,7493177000
202107,129,101,4,862251000
202107,129,141,4,9010885000
202107,129,113,4,19920018000
202107,129,116,4,3922991000
202107,129,110,4,1649737000
202107,129,108,0,1476724000
202107,129,121,0,316738000
202107,129,157,1,73807000
202107,129,126,4,12034997000
202107,129,143,4,2796480000
202107,129,100,4,31949708000
202107,129,150,4,29945012000
202107,129,134,4,67878784000
202107,129,132,4,2263461000
202107,129,160,4,64952765000
202107,129,149,4,65631295000
202107,129,152,4,66372643000
202107,129,142,4,7851454000
202107,129,120,4,10800000
202107,129,133,4,35158000
202107,129,147,4,9740000
202107,129,101,3,28032000
202107,129,104,26,3770000
202107,129,114,3,521444000
202107,129,131,26,196880000
202107,129,159,4,22675000
202107,129,156,3,80455000
202107,129,153,4,1570328000
202107,129,130,4,1652198000
202107,129,115,4,147714000
202107,129,155,4,15188577000
202107,129,103,4,787595000
202107,129,134,14,2370000
202107,129,146,4,28855000
202107,129,100,23,1600000
202107,129,149,11,345609000
202107,129,161,1,528000
202107,129,134,11,438072000
202107,129,152,23,600000
202107,129,160,11,770250000
202107,129,109,11,553093000
202107,129,112,26,15204000
202107,129,120,1,4552000
202107,129,141,28,30150000
202107,129,115,1,403586000
202107,129,148,12,84342000
202107,129,141,18,54004000
202107,129,109,18,1232732000
202107,129,100,11,327952000
202107,129,115,3,5804000
202107,129,152,12,115662000
202107,129,110,28,9430000
202107,129,131,28,8160000
202107,129,122,3,8680000
202107,129,120,3,1310000
202107,129,100,28,156201000
202107,129,104,18,23370000
202107,129,148,18,735209000
