BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202109,102,158,3,10581248532
202109,102,160,0,9324436672
202109,102,133,0,1640583114
202107,102,147,0,713607442
202109,102,155,1,2925886650
202107,100,127,3,9957793679
202108,100,122,4,1235120704
202108,104,110,0,5654528622
202107,102,117,3,8362979476
202109,104,118,0,6049432411
202108,104,111,4,1139936338
202109,100,138,1,9616055045
202107,102,123,0,4248788009
202108,100,109,4,8497948470
202108,104,134,4,3082726715
202107,100,146,3,2538075022
202107,100,160,0,8862696613
202107,104,158,4,6922299681
202109,104,145,4,7547929993
202107,104,117,1,2081547224
202109,102,147,1,9656521895
202109,100,154,1,8851666478
202109,100,116,4,9603235634
202107,100,127,3,10279838143
202108,100,142,1,4641872771
202108,102,113,0,10738133589
202108,102,137,1,856464443
202108,102,123,3,228233754
202107,102,147,3,10495277884
202107,102,158,1,10361484941
202108,100,109,4,14003671814
202109,104,116,1,4742451639
202108,104,153,4,6233103871
202109,104,143,0,3182478469
202107,100,146,1,138664020
202108,102,127,0,6826084798
202107,100,134,1,49398726
202107,100,145,1,5209142424
202108,104,156,0,3354988713
202107,102,113,4,4651812026
202109,102,105,1,3569378687
202109,102,158,1,7305049554
202108,104,110,0,14918798244
202108,100,107,3,2316023573
202109,102,103,3,3978480639
202109,104,134,0,5175973850
202108,100,127,1,9968154118
202108,100,127,1,7127209342
202108,102,132,0,1555883881
202109,102,134,4,98820896
202107,100,116,3,10670845800
202108,104,148,3,16767583222
202108,104,150,0,1687464964
202109,104,151,0,204767592
202107,100,160,0,6756190333
202109,104,123,4,10056567870
202109,100,143,1,324748409
202107,102,142,0,12546676660
202108,100,161,3,4420952497
202109,104,110,0,11916629393
202109,100,117,0,16693977432
202108,100,132,1,10367397392
202108,104,152,3,1676043046
202109,102,103,0,349100649
202107,102,103,1,1133793504
202109,104,118,1,8276817487
202108,100,150,0,3430809426
202108,104,139,1,1389383449
202107,102,150,4,190734723
202107,102,132,1,8092351727
202109,102,112,1,1275309015
202109,102,160,4,5184832099
202107,102,128,0,4771904688
202108,104,146,4,2436865778
202107,102,135,0,2117155912
202108,102,123,3,4492731676
202108,102,123,0,9552517549
202109,100,156,0,13068204388
202107,104,134,4,185444905
202107,104,150,1,8244597453
202108,100,150,0,6786096841
202107,100,160,3,3595376062
202109,100,111,4,8232899957
202108,102,154,1,3881565800
202109,102,111,3,2899510916
202107,100,112,1,4866868618
202108,104,105,0,5149984080
202109,100,116,4,6133638284
202108,102,147,0,8748304759
202107,100,147,0,2089999427
202107,100,105,3,5443608156
202108,104,160,1,2347914870
202109,100,153,3,9469929445
202107,102,148,4,325933326
202108,102,156,1,3555995104
202108,100,132,3,1532161741
202108,100,103,4,3426022346
202109,102,128,4,3573547072
202109,100,152,3,1302632035
202108,104,149,4,7657850291
202107,102,122,1,11032536681
202107,104,109,1,12498763827
202107,102,159,3,17025304291
202107,100,151,1,6357176669
202109,104,145,3,7860533157
202109,104,159,1,3768387820
202107,104,137,0,6290632779
202109,102,127,0,8318492122
202109,104,142,3,387827692
202108,100,130,4,2334359028
202108,104,155,4,2237857367
202108,102,105,0,980865482
202109,102,117,4,1857621533
202109,100,149,0,118948077
202108,104,106,4,4369011883
202107,104,112,1,13286166570
202109,102,122,0,1160445969
202107,100,160,4,7589059772
202108,102,120,3,11936086485
202108,102,122,3,10710915034
202107,102,159,4,12385548490
202108,100,120,3,921139254
202109,104,145,3,262669309
202108,100,107,1,10243303593
202107,104,105,0,3340027620
202108,104,125,0,12173398421
202108,100,146,3,2376832864
202109,100,152,1,5035562432
202108,102,132,0,1286901507
202109,104,129,1,11908605186
202109,102,158,0,3581057910
202108,100,110,3,4386931710
202109,100,154,0,2875060571
202108,104,159,0,11300609322
202109,100,130,4,194938168
