BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,104,154,0,2525350532977
202107,102,122,1,2545682590062
202109,102,158,3,473409027690
202109,102,142,3,2654392701156
202108,102,156,0,1488218742592
202108,100,105,0,2549843703292
202107,102,156,0,490195303564
202108,100,123,1,1297527566550
202107,100,144,3,2732280037524
202108,102,159,3,236039818793
202107,100,113,0,2573444350142
202109,104,153,0,17644686838
202107,102,136,1,2784382581030
202107,102,152,0,2460681619734
202108,104,133,1,26602900674
202108,104,125,0,483095824233
202108,100,154,3,481872776879
202107,100,123,4,21793651814
202107,100,112,3,1361828112229
202109,104,146,3,225340850917
202107,100,112,3,2585151091372
202108,100,156,1,1531369121284
202107,102,161,0,208827064311
202109,102,156,0,2577116398560
202108,102,157,0,2629207250484
202107,100,118,3,511327760566
202109,102,101,3,22771128489
202109,100,128,4,235127092492
202107,104,150,1,1537262732969
202109,100,107,1,239332722379
202108,102,136,0,1406536767556
202108,100,141,4,1475084178730
202108,102,123,0,20337873778
202108,100,127,0,507175222263
202108,100,148,4,22003012964
202108,102,160,1,216927491396
202108,100,137,0,23223590354
202109,104,109,4,2449842483047
202108,100,142,0,1489438534773
202107,100,125,0,244366445755
202107,100,121,0,224828854552
202107,104,121,3,22246320888
202107,102,139,3,250887713376
202108,100,143,1,1385958874068
202107,102,109,0,2890527479811
202107,104,140,3,224603568918
202107,104,137,0,505512689195
202107,102,141,4,548273714070
202108,104,129,4,2367613012094
202109,100,156,3,2834438007828
202108,100,148,0,541150517447
202107,104,138,1,1479417492977
202107,102,107,0,1411801018066
202109,104,161,0,243042782142
202107,100,111,1,241584493685
202108,102,136,3,2758235547296
202108,102,120,3,538129601296
202108,102,112,4,2447770447416
202107,102,109,0,21987688847
202107,102,114,3,2674768849376
202108,100,118,1,1488490837734
202108,104,130,0,212159762599
202107,100,135,0,525181381851
202109,102,138,1,501983908647
202107,104,151,4,2689710690925
202109,104,136,4,1491370957087
202108,102,151,4,245482716783
202108,104,129,1,555119431399
202107,100,121,3,225377420650
202108,104,120,3,495003756625
202109,100,109,3,231088799276
202108,100,160,0,524733446414
202108,100,112,0,533390247748
202107,100,133,4,213330315570
202107,102,143,4,1546556107481
202108,104,156,4,245167624322
202107,102,117,1,2298863588179
202107,100,118,4,2334769525799
202107,102,106,1,24308625193
202109,100,122,1,2761662567902
202108,100,130,1,498367747550
202109,100,121,1,235512189871
202107,100,157,1,1364738008704
202107,104,118,0,2395331671851
202109,100,109,0,511323095197
202107,104,153,4,2666828382787
202107,100,141,0,217303084664
202107,102,158,0,24059944774
202107,100,117,1,26700400811
202108,100,113,0,1403267465375
202108,104,136,0,1569421074160
202109,104,144,1,487361542771
202107,100,122,0,1443203103558
202107,102,101,0,1411953232059
202109,104,111,4,1545963596238
202109,104,158,4,20673770430
202109,102,140,3,210044967049
202109,104,128,3,22981073931
202108,102,101,4,218310460267
202107,102,135,4,24417811159
202107,104,139,1,213162978898
202107,102,111,3,23857130302
202107,102,131,1,531063610499
202107,104,141,0,1609103577086
202107,100,110,0,17799303798
202108,100,142,4,234907905162
202108,102,146,0,2549600458942
202108,104,114,3,521467748594
202108,100,109,0,533138357899
202109,102,113,3,21820822300
202107,104,130,0,527383756111
202109,100,161,3,23264707299
202109,102,131,1,250120914378
202108,100,159,3,2774286404735
202109,104,111,0,22619866071
202108,104,155,4,1468608932476
202107,104,117,4,19880405301
202107,104,131,3,561587474140
202109,100,155,0,2924044767819
202108,102,125,0,2773535765550
202107,104,154,4,24524680493
202108,102,132,1,26551516627
202107,104,112,1,572796432226
202109,100,148,4,546006745482
202109,102,145,1,1355697412838
202108,104,111,1,1404464374936
202108,102,127,4,20444504169
202107,104,146,3,2609802989772
202108,104,125,0,555098206976
202108,102,147,4,1582420779159
202107,102,156,3,225148096271
202109,100,150,1,527455839056
202107,100,106,3,232425352716
202109,104,161,4,1462944325287
202108,104,144,0,1455994071524
202109,100,103,0,525163240976
