BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,100,131,3,15889572661
202107,100,116,3,16160777361
202107,100,131,0,741371851
202107,100,131,3,329773370595
202108,100,113,3,1961675257
202107,100,149,3,21419755402
202107,100,116,4,11283534083
202107,100,151,3,2759902724
202107,100,131,3,160130435934
202107,100,131,3,5704126883
202107,100,131,3,13198880018
202107,100,116,3,20736415253
202107,100,131,3,2448559516
202108,100,116,3,1948421651
202107,100,151,4,18523370327
202107,100,116,3,12007041659
202108,100,131,3,6166406835
202107,100,116,4,319056729607
202107,100,131,3,16087474997
202107,100,131,3,4810504806
202107,100,131,3,7660074661
202107,100,113,3,17901669944
202108,100,131,3,2866693131
202108,100,116,3,4812153980
202107,100,151,4,443259849794
202107,100,131,3,5810284415
202107,100,151,0,1672991674
202108,100,113,3,8375040860
202107,100,131,3,5503391627
202107,100,116,3,15603286012
202107,100,151,4,11132183433
202107,100,151,4,385876736737
202108,100,151,4,22167786300
202107,100,116,3,106970952268
202108,100,148,0,75004767786
202107,100,131,3,149791527929
202107,100,116,3,14060745160
202108,100,131,3,143858606468
202107,100,131,3,8201635872
202108,100,113,3,1177566667
202107,100,131,3,16728404499
202107,100,131,3,7946196553
202107,100,116,3,9730193889
202108,100,135,0,44761449171
202107,100,131,3,8369365063
202107,100,131,3,5709734770
202107,100,136,3,3399357308
202107,100,116,3,8567663604
202108,100,151,3,7096988168
202108,100,151,3,1831417534
202108,100,113,3,3460616719
202107,100,116,3,410629403424
202108,100,116,3,23962781778
202107,100,131,3,14940801344
202108,100,116,3,767459411
202107,100,116,3,452504163146
202107,100,116,3,18106541237
202108,100,151,4,9254069690
202107,100,151,4,399426070365
202108,100,151,0,32913369855
202107,100,131,3,26481801699
202107,100,131,3,1398616723
202107,100,116,3,8845834850
202107,100,151,4,7716223999
202107,100,116,3,6806151281
202107,100,131,3,16737874619
202107,100,116,3,19144634423
202107,104,116,3,9236950474
202107,100,131,3,1422586391
202108,100,116,3,5084947790
202108,100,116,4,36570715728
202107,100,116,3,20644996283
202107,100,116,3,8667033684
202108,100,151,0,52823529
202107,100,131,3,3009119866
202107,104,116,3,17732506716
202108,100,116,3,7969918958
202107,100,116,3,6468412745
202108,100,116,3,4683091306
202108,100,116,3,15530824148
202107,100,116,3,12350852308
202107,104,116,3,316041759024
202107,100,116,3,397691556390
202107,100,151,4,13816443654
202107,100,151,3,210686321
202107,100,131,3,12644588131
202108,100,151,3,19023732108
202107,100,116,3,10563663151
202107,100,116,3,1048589394
202107,100,116,3,11377835352
202107,100,151,4,2863466238
202107,100,131,3,28925327518
202108,100,116,3,735048216
202107,100,131,3,7389599221
202107,100,116,3,477093493714
202108,104,151,0,1678252872
202107,100,161,4,298393692
202108,100,113,3,74565592315
202107,100,116,3,1027233071
202108,100,131,3,2401280999
202107,100,131,3,7110535935
202107,100,116,3,7865990822
202107,100,116,3,15687351603
202107,100,116,3,12620319720
202107,100,116,3,5120878466
202107,100,116,3,14273856478
202107,100,131,3,1298515328
202107,100,131,3,3714928110
202108,100,135,0,98453421417
202107,100,116,3,10425885519
202108,100,131,3,128613097028
202107,100,151,4,514294547
202108,100,151,4,2811718563
202107,100,151,3,356218569613
202108,100,151,3,5933052928
202107,100,131,3,6775039327
202108,100,151,3,1894489090
202107,100,151,0,2886895160
202107,100,116,3,6805897925
202107,100,151,4,5801079012
202107,100,131,3,2524232443
202107,100,131,3,21285468703
202107,100,151,4,12126995094
202108,100,151,4,138630513115
202107,100,116,3,328211996788
202108,100,151,0,14348815081
202107,100,116,3,4886886198
202107,100,116,3,22597144387
202107,100,116,4,429009565875
202107,100,131,3,5222531241
202107,100,116,3,19822145698
202107,100,151,3,15194926533
202107,100,131,4,3223376371
202107,100,116,3,3224833658
202107,100,131,3,16304602937
202108,100,151,4,15878173558
202108,100,151,4,14932124927
202108,100,148,0,85369489730
202107,100,131,3,1870412052
202107,100,131,3,941799781
202108,100,113,3,8130450415
202107,100,116,3,10698505168
202107,100,116,3,3442459441
202108,104,116,3,28064601618
202107,100,116,3,6702525759
202107,100,131,3,10419038377
202107,100,116,3,419949797448
202107,104,116,3,10753953274
202107,100,116,3,11721313789
202107,100,131,3,10561423868
202107,100,116,3,19369971623
202108,100,151,4,15819949733
202107,100,116,3,456507592009
202108,100,151,4,3347578806
202107,100,131,3,21871143207
202107,100,131,3,1995036982
202108,100,116,3,19162897205
202107,100,131,3,5892355100
202107,100,116,3,12652897557
202107,100,131,3,4157598461
202107,100,131,3,5386982926
202107,100,131,3,1601832075
202108,100,151,3,19705103387
202108,100,113,3,3617891745
202107,100,131,3,969525569
202108,100,131,4,12009125232
202107,100,131,3,14012123873
202107,100,131,3,30209447495
202108,100,113,3,9013791497
202107,100,151,4,323709457844
202108,100,151,4,6137512716
202107,100,151,3,7142247925
202107,100,116,3,409641290066
