BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,100,118,0,130754684
202107,100,118,0,1352004001
202107,100,152,4,433583656
202107,100,118,0,421915883
202107,100,118,0,1270265758
202107,100,118,0,112239148
202107,100,152,0,32163664
202107,100,118,0,24106044
202107,100,118,0,1420874015
202107,100,118,0,75122530
202107,100,118,0,110599610
202107,100,118,0,647820426
202107,100,118,0,12536691
202107,100,118,0,62144479
202107,100,118,0,118489789
202107,100,118,0,565890245
202107,100,152,4,65356854
202107,100,118,4,434422548
202107,100,118,0,107928235
202107,100,118,0,385270118
202107,100,118,0,82393184
202107,100,118,0,632035924
202107,100,118,0,12780432
202107,100,118,0,15796915
202107,100,118,0,105595368
202107,100,152,0,32376588
202107,100,118,0,57063905
202107,100,118,0,13366638
202107,100,118,0,57453578
202107,100,152,0,538689887
202107,100,118,0,1371699011
202107,100,118,0,1373287970
202107,100,118,0,13104245
202107,100,118,0,57571198
202107,100,118,0,47971796
202107,100,118,0,1482872680
202107,100,118,0,608172324
202107,100,118,4,533486755
202107,100,118,4,453135237
202107,100,118,0,77434544
202107,100,152,4,578782989
202107,100,118,0,73054229
202107,100,118,0,91519322
202107,100,118,0,1532209586
202107,100,118,0,74952117
202107,100,118,0,59728736
202107,100,118,0,533554746
202107,100,152,0,68243357
202107,100,118,0,1672990332
202107,100,118,0,1652032073
202107,100,118,0,54584164
202107,100,118,0,73835318
202107,100,118,0,141023315
202107,100,118,0,534253364
202107,100,118,0,1541415130
202107,100,118,4,614275181
202107,100,152,0,115909665
202107,100,118,0,70583616
202107,100,118,0,1264031752
202107,100,118,4,384183394
202107,100,118,0,137477340
202107,100,118,0,362614924
202107,100,118,0,80252936
202107,100,152,4,24330106
202107,100,118,0,86239164
202107,100,118,0,97061198
202107,100,118,0,1878014249
202107,100,118,0,72035199
202107,100,118,0,47678882
202107,100,118,0,89725978
202107,100,118,4,1688697220
202107,100,118,0,667153901
202107,100,118,0,63446464
202107,100,118,0,1514248181
202107,100,118,0,36675559
202107,100,118,0,103526811
202107,100,152,4,1165240021
202107,100,152,0,284477146
202107,100,118,0,48512204
202107,100,118,0,106862637
202107,100,118,0,524849998
202107,100,118,0,43828794
202107,100,118,0,80076241
202107,100,118,0,112651282
202107,100,118,0,368495056
202107,100,152,4,549555885
202107,100,118,0,116396467
202107,100,152,0,73071596
202107,100,118,0,44116308
202107,100,118,0,93815900
202107,100,118,0,58913925
202107,100,118,0,1072192348
202107,100,118,4,1630307374
202107,100,118,0,84487827
202107,100,118,0,123938817
202107,100,118,0,50804099
202107,100,152,0,18850739
202107,100,152,4,372234352
202107,100,152,0,315036705
202107,100,118,0,420701959
202107,100,118,0,72528619
202107,100,152,0,68965184
202107,100,118,0,99791744
202107,100,118,0,86321548
202107,100,118,0,10548536
202107,100,118,0,108051374
202107,100,152,0,43342264
202107,100,118,4,301757900
202107,100,118,0,82971244
202107,100,118,0,70555182
202107,100,118,0,46005905
202107,100,118,0,47821279
202107,100,152,0,542764417
202107,100,118,0,68006193
202107,100,118,0,1498984015
202107,100,118,0,488156316
202107,100,118,0,18899763
202107,100,118,0,1461680693
202107,100,118,0,410884338
202107,100,152,4,579168760
202107,100,118,0,1449779584
202107,100,118,0,146124161
202107,100,152,4,551665838
202107,100,152,4,506741936
202107,100,118,0,1571703840
202107,100,118,0,33248373
202107,100,152,4,351528175
202107,100,118,0,139280595
202107,100,118,0,1354174774
202107,100,118,4,440750741
202107,100,152,0,614837109
202107,100,118,0,4249089
202107,100,118,0,36143342
202107,100,118,0,63759825
202107,100,118,0,29167616
202107,100,118,0,1198705586
202107,100,118,0,130190470
202107,100,118,0,48792978
202107,100,118,0,74460792
202107,100,118,0,64553323
202107,100,118,0,114276894
202107,100,118,0,1328560159
202107,100,118,0,74339102
202107,100,118,0,158774244
202107,100,118,0,1639908898
202107,100,118,0,55387925
202107,100,118,0,91002043
202107,100,118,0,1412360758
202107,100,118,0,530967541
202107,100,152,0,62901071
202107,100,152,0,566523375
202107,100,152,0,114173326
202107,100,118,0,110214501
202107,100,118,0,85053051
202107,100,118,0,114033661
202107,100,118,0,49617162
202107,100,118,0,134379874
202107,100,152,4,511107480
202107,100,152,0,92861084
202107,100,152,0,18702837
202107,100,118,0,19740723
202107,100,118,0,21907605
202107,100,118,0,127236483
202107,100,118,0,60396515
202107,100,118,0,39838464
202107,100,118,0,78328323
202107,100,118,0,170398068
202107,100,118,0,1005138789
202107,100,152,4,681015793
202107,100,152,0,56971186
202107,100,152,4,440800622
202107,100,118,0,90471697
202107,100,118,0,93735786
202107,100,118,0,1409934319
202107,100,152,0,431436629
202107,100,118,0,553183028
202107,100,118,0,80888741
202107,100,118,0,57942687
202107,100,118,0,47310985
202107,100,152,0,116348138
202107,100,152,4,521542745
202107,100,118,0,66928883
202107,100,118,0,34656187
202107,100,118,0,54516564
202107,100,118,0,1507593969
202107,100,152,0,57930614
202107,100,152,4,515352244
202107,100,118,0,76541616
202107,100,118,0,1508459126
202107,100,152,0,411273487
202107,100,152,4,71270263
202107,100,118,0,109668325
202107,100,118,0,447043249
202107,100,118,4,685927440
202107,100,152,0,102647022
202107,100,118,0,340860255
202107,100,118,0,35076269
202107,100,118,0,715716007
202107,100,118,0,33577888
202107,100,118,0,1853281738
202107,100,118,0,114265748
202107,100,118,0,1115557152
202107,100,118,0,1510316371
202107,100,118,0,75478030
202107,100,152,0,56900219
202107,100,118,0,1306891875
202107,100,118,0,107845624
202107,100,118,0,55762374
202107,100,118,0,90607207
202107,100,152,4,355376225
202107,100,118,0,112653534
202107,100,118,0,25100566
202107,100,118,0,80357259
202107,100,118,0,61621496
202107,100,118,0,1587123119
202107,100,152,0,17374806
202107,100,118,0,21237082
202107,100,118,0,1565353466
202107,100,152,0,39299472
202107,100,118,0,145741560
202107,100,118,0,65425834
202107,100,118,0,1385251034
202107,100,118,0,31676099
202107,100,118,4,380716948
202107,100,118,0,39012869
202107,100,118,0,1395044212
202107,100,118,0,1546358119
202107,100,152,0,42449990
202107,100,118,0,84635392
202107,100,152,0,44651906
202107,100,118,0,401013784
202107,100,152,0,18944757
202107,100,118,0,53619276
202107,100,118,0,1584501449
202107,100,118,0,32874768
202107,100,118,0,1379021017
202107,100,118,0,59909042
202107,100,118,4,503337012
202107,100,118,0,118723032
202107,100,118,0,110595034
202107,100,118,0,1769135908
202107,100,118,0,1426486139
202107,100,152,4,1580707540
202107,100,152,4,483186694
202107,100,118,0,104985037
202107,100,118,0,504443683
202107,100,118,0,64868791
202107,100,152,4,420921930
202107,100,152,0,60214327
202107,100,118,4,23604123
202107,100,118,0,63712463
202107,100,118,0,115205148
202107,100,152,0,36403067
202107,100,118,0,66109194
202107,100,118,0,116330927
202107,100,118,0,147898724
202107,100,152,0,188034867
202107,100,152,0,400245914
202107,100,118,0,1616762312
202107,100,118,0,42056570
202107,100,152,0,119504494
202107,100,118,0,70533454
202107,100,152,4,467837406
202107,100,118,0,1632225904
202107,100,118,0,123087805
202107,100,118,0,371738054
202107,100,152,0,54778947
202107,100,152,4,486471490
202107,100,118,0,60128336
202107,100,118,0,74528304
202107,100,118,0,63398034
202107,100,118,0,56912657
202107,100,152,0,16701046
202107,100,118,0,67106156
202107,100,152,0,157007435
202107,100,118,0,1518576775
202107,100,152,4,410860335
202107,100,118,0,84061681
202107,100,118,0,73654149
202107,100,118,0,36691106
202107,100,118,0,45394306
202107,100,118,0,37162362
202107,100,118,0,1487399642
202107,100,118,0,1729604593
202107,100,118,0,83666981
202107,100,118,0,1529531236
202107,100,152,4,1442916558
202107,100,118,0,69405835
202107,100,118,0,72035215
202107,100,118,0,288166807
202107,100,152,0,96161912
202107,100,152,4,479737276
202107,100,118,0,36228846
202107,100,118,0,37884207
202107,100,118,0,18506627
202107,100,118,0,58006163
202107,100,152,0,58324258
202107,100,152,0,446984419
202107,100,118,0,53667243
202107,100,118,0,33054061
202107,100,118,0,1286471486
202107,100,118,0,107981206
202107,100,118,0,80809343
202107,100,152,0,14372082
202107,100,118,0,61254405
202107,100,118,0,140442465
202107,100,118,0,1444968890
202107,100,118,0,60335045
202107,100,118,0,49404428
202107,100,118,0,12305995
202107,100,118,0,81102570
202107,100,118,0,747311131
202107,100,118,0,41560571
202107,100,118,0,58364824
202107,100,118,0,89420111
202107,100,118,0,14339532
