BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202108,100,152,4,471731719548
202108,100,133,0,1645909857021
202108,100,135,1,1756614900422
202108,100,152,4,449645570875
202107,100,137,0,1800102860082
202107,100,141,4,49670613197
202108,100,147,1,1341231586021
202108,100,161,3,24515022767
202108,100,161,0,2738116848268
202108,100,110,1,1407412608590
202108,100,141,3,1684935372231
202108,100,136,0,1775646982207
202107,100,109,4,1996129946568
202108,100,103,4,30252077751
202108,100,105,4,669008428202
202108,100,116,4,801478641361
202108,100,127,0,79082570998
202107,100,113,4,2131763510107
202107,100,106,0,922100991018
202107,100,117,3,2216361733492
202108,100,123,1,457206301498
202107,100,156,4,2988959044529
202107,100,157,4,1892267116002
202107,100,137,0,82371061960
202107,100,103,4,2776219813941
202107,100,159,3,37925851599
202108,100,113,0,22051177011
202107,100,130,0,336242393852
202107,100,138,1,556528551734
202107,100,133,4,21706314618
202108,100,147,1,83700509820
202107,100,141,1,83200299211
202107,100,146,4,214533654093
202108,100,156,4,2238853436582
202107,100,130,3,490286596841
202108,100,153,3,75972724044
202108,100,128,1,424582648378
202107,100,132,0,162586205533
202108,100,149,3,797415432063
202108,100,105,0,37684451325
202108,100,118,3,36715082322
202108,100,144,0,2637059820775
202108,100,147,4,63612094349
202107,100,112,0,354310928406
202108,100,114,0,3276865098565
202108,100,126,3,773090107211
202107,100,121,0,591755655610
202107,100,145,0,66246452259
202107,100,105,3,458658515879
202107,100,117,3,593821687619
202107,100,138,3,703970714609
202107,100,159,0,6812616544
202108,100,110,1,381194111193
202108,100,137,4,469447141166
202107,100,149,0,1162816570816
202107,100,127,3,440451175533
202108,100,123,3,22896416202
202108,100,127,1,124046904365
202108,100,109,0,523655276968
202107,100,153,0,367651642095
202108,100,112,1,117603698734
202108,100,161,3,391241655349
202108,100,151,4,3185452077242
202108,100,111,3,778727528863
202107,100,121,4,48142866952
202108,100,159,3,7223918295
202108,100,120,3,3004037372351
202107,100,125,1,405777339874
202108,100,114,1,13799005867
202108,100,115,1,40969607932
202107,100,138,1,605658644668
202108,100,145,3,1803983548955
202107,100,153,3,329324209145
202107,100,110,3,88658169880
202107,100,145,3,105919980029
202108,100,142,4,2620763343486
202108,100,130,0,101166997912
202107,100,137,4,2821437226643
202107,100,125,4,5926957120
202107,100,144,0,2748240491217
202108,100,109,4,328608101572
202107,100,154,3,148213033540
202108,100,129,3,3045147641707
202107,100,150,3,2885717295385
202107,100,140,4,45103582631
202108,100,136,3,2901118114289
202107,100,123,3,9286195932
202107,100,159,1,15909193936
202108,100,109,4,236246563653
202108,100,115,4,2153716061090
202108,100,149,4,665028322396
202108,100,128,0,311536114400
202108,100,112,0,2347196789210
202107,100,109,3,451604883200
202107,100,132,3,379634218767
202108,100,150,0,187895199588
202108,100,129,0,431575820475
202108,100,113,4,722031961586
202107,100,156,1,290540747141
202108,100,125,0,704012116326
202108,100,112,3,2944598364214
202108,100,156,3,363735827686
202107,100,126,1,25563052416
202108,100,143,0,395299869115
202108,100,117,4,2934107897795
202108,100,113,3,465000426501
202108,100,132,0,2149595491879
202108,100,153,3,3043735312780
202108,100,118,1,68864414888
202108,100,106,3,2448583291038
202107,100,145,1,55632797600
202108,100,121,4,383455642319
202108,100,129,0,138480318308
202108,100,157,1,144371856382
202108,100,146,0,53352238034
202108,100,147,0,2885988876308
202107,100,126,0,1637020120910
202108,100,137,0,446871032203
202107,100,106,0,3436494220
202107,100,128,4,353060184589
202108,100,154,4,69543002915
202108,100,150,1,51553447917
202107,100,132,3,582535642056
202107,100,140,3,126215565137
202108,100,111,0,1435607848960
202108,100,138,0,1828923873042
202108,100,150,4,350218696745
202107,100,120,1,1298335766709
202108,100,105,4,402856354023
202107,100,120,0,2808725094918
202107,100,127,4,434393547902
202107,100,122,3,15724058903
202107,100,144,1,3226893307689
202108,100,142,0,451742318352
202108,100,107,0,1806569649910
202108,100,144,3,460819824607
202107,100,109,1,24976443423
202107,100,133,1,351499218740
202108,100,128,1,436708733810
202108,100,146,4,2841014390669
202108,100,134,3,1686626811603
202108,100,113,4,2615825778844
202107,100,140,1,509244565179
202107,100,107,4,36807111642
202107,100,118,1,309183756749
202107,100,114,4,95711774543
202108,100,112,4,76029998598
202108,100,151,4,1865237526813
202108,100,149,0,8265933052
202108,100,153,4,1755963042006
202108,100,117,4,228452426656
202108,100,127,1,1889203428190
202107,100,137,3,60672582856
202107,100,143,1,533133055786
202107,100,111,1,77896595636
202108,100,144,1,66046646212
202107,100,111,1,1051368914882
202107,100,123,3,724651975428
202108,100,161,1,499094931970
202108,100,143,3,215353017091
202108,100,121,4,46494098183
202108,100,138,0,157936440155
202108,100,160,4,1769037413034
202108,100,147,1,2281209067562
202108,100,118,1,1501204733763
202107,100,136,3,14531592884
202108,100,103,1,617813759604
202107,100,149,4,2153994309892
202107,100,147,4,2058884332435
202108,100,129,1,2672497797272
202108,100,122,3,64421029348
202107,100,153,4,2137443687283
202107,100,128,4,1331048821
202108,100,132,1,546402497834
202108,100,121,4,113082935038
202107,100,134,4,35740979797
202108,100,140,4,627645067016
202108,100,122,0,2426866954185
202108,100,117,0,211996407704
202108,100,101,0,2112690472
202107,100,117,3,97634018074
202107,100,105,4,2536926114356
202107,100,141,1,39742776612
202107,100,155,0,1907090487546
202107,100,133,3,27450577260
202108,100,156,1,160580716938
202107,100,117,4,689266316890
202108,100,157,1,515664649727
202108,100,134,0,24753896206
202108,100,152,1,652335290109
202107,100,122,3,57240353428
202108,100,114,3,1244790533152
202107,100,116,1,7800686323
202108,100,156,3,375669416724
202108,100,161,4,52409065171
202107,100,155,4,249906347609
202108,100,160,0,2131614158621
202107,100,130,4,25943659558
202108,100,153,1,67208084385
202107,100,130,0,12376289658
202108,102,110,1,26492695991
202107,102,134,4,623097402712
202108,102,118,3,11040552395
202108,102,153,1,10940824070
202108,102,150,4,141760586592
202108,102,129,1,765138683608
202108,102,144,0,125917210501
202107,102,157,4,180443026106
202108,102,111,1,10343404238
202108,102,120,0,55952677380
202107,102,125,1,52617040038
202108,102,150,0,434179241251
202108,102,103,3,10345470671
202107,102,159,0,861762744506
202108,102,143,0,32626807200
202108,102,107,4,1133126015334
202107,102,148,3,119326570266
202107,102,133,4,71016506938
202108,102,110,1,33352490435
202107,102,123,3,83541540209
202107,102,106,4,137266277142
202108,102,103,3,57817581400
202107,102,141,4,33377702150
202107,102,127,3,18538662727
202108,102,118,4,320099246220
202107,102,112,1,12672813631
202107,102,130,3,120718175797
202108,102,141,4,7640006696
202108,102,147,1,78123995877
202108,102,138,1,2879151523
202107,102,101,3,24076444811
202108,102,117,0,107697702081
202107,102,157,4,73799198463
202107,102,154,4,1452855756
202107,102,138,1,40149172390
202107,102,156,0,22319855150
202107,102,159,0,378215410565
202107,102,113,4,1430502399718
202107,102,125,3,730527149469
202107,102,109,0,129723600218
202107,102,133,4,36639867486
202107,102,117,0,877713914
202108,102,150,1,5465789272
202108,102,113,3,1242760424
202107,102,148,4,5798965523
202108,102,111,3,53850825947
202108,102,133,0,142513079913
202107,102,127,3,887951180106
202108,102,111,1,8858185781
202108,102,151,1,155667109521
202107,102,109,4,449476411783
202108,102,120,4,935550130504
202107,102,156,4,15316034268
202108,102,112,3,1168950987844
202108,102,112,3,22087091889
202108,102,103,3,117605756531
202107,102,101,3,138194857469
202108,102,157,3,73561134044
202107,102,114,4,773961727204
202107,102,154,3,31488910352
202108,102,134,0,8353082325
202107,102,113,1,191216342459
202108,102,146,4,1061952559211
202108,102,135,4,8665452462
202107,102,142,3,369278647899
202108,102,107,0,779166039678
202108,102,146,1,1102954966020
202107,102,122,1,104164820349
202107,102,135,3,91995862845
202107,102,130,1,84603194803
202108,102,115,0,181409266112
202108,102,117,1,1297816550
202107,102,137,3,10061668012
202108,102,148,3,361069875757
202107,102,127,3,134840625209
202108,102,118,3,120336128390
202107,102,137,0,38922166665
202108,102,161,4,588285239590
202108,102,160,1,104487726340
202108,102,137,1,55124749519
202107,102,152,4,94539945566
202107,102,112,0,125078930276
202108,102,137,1,559529184567
