BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,100,152,0,457394195535
202107,100,125,0,357566162120
202107,100,152,0,331069856364
202107,100,152,0,230858076648
202107,100,152,0,382780597933
202107,100,152,3,511609943728
202107,100,152,3,503493315534
202107,100,132,0,76228297081
202107,100,132,0,87745052660
202107,100,152,0,481524716292
202107,100,118,0,415717596003
202107,100,125,0,493604400045
202107,100,152,3,100158349071
202107,100,152,0,303662822041
202107,100,152,0,492186095606
202107,100,152,0,386885353873
202107,100,132,0,206995775625
202107,100,134,0,95880662229
202107,100,159,3,170467279264
202107,100,152,0,337980979415
202107,100,152,3,379200242058
202107,100,159,0,431998154763
202107,100,125,0,245993644909
202107,100,118,0,227952804313
202107,100,132,0,387840834327
202107,100,132,0,290424927957
202107,100,134,0,230907759515
202107,100,152,3,114827115690
202107,100,118,0,354009714973
202107,100,134,0,317009526290
202107,100,152,1,843889763857
202107,100,152,3,591881010243
202107,100,152,3,147950287331
202107,100,152,0,217734555394
202107,100,134,3,344272427149
202107,100,125,0,46464156364
202107,100,118,0,660239129946
202107,100,134,0,281363414939
202107,100,125,0,195795635566
202107,100,134,0,327785450429
202107,100,132,0,344205985657
202107,100,159,0,57383222840
202107,100,132,0,316454105574
202107,100,132,0,147297984549
202107,100,152,3,236509235610
202107,100,152,0,414299305704
202107,100,134,3,360924153421
202107,100,134,3,242455553218
202107,100,161,0,303571373047
202107,100,152,0,178675798805
202107,100,134,0,147047155585
202107,100,118,0,342161208155
202107,100,118,3,531563934355
202107,100,152,3,376355947085
202107,100,132,0,272479613605
202107,100,125,0,241902105099
202107,100,125,0,416665135519
202107,100,134,3,184872400346
202107,100,152,0,480845303430
202107,100,152,3,190483303429
202107,100,152,3,518000547163
202107,100,134,0,524571924764
202107,100,152,3,258621105462
202107,100,118,0,199750831416
202107,100,161,0,646160774912
202107,100,152,0,413250108743
202107,100,152,0,217641218812
202107,100,134,3,64456998570
202107,100,125,0,122787607526
202107,100,132,0,288484399914
202107,100,132,0,201098156273
202107,100,134,0,435765322273
202107,100,134,3,8102760972
202107,100,152,0,375557648172
202107,100,132,0,295252328769
202107,100,125,0,331508039609
202107,100,132,0,539301560092
202107,100,152,0,218236427182
202107,100,152,3,217430046374
202107,100,132,0,369845406468
202107,100,152,0,706171123201
202107,100,152,3,92602403528
202107,100,152,3,251401573802
202107,100,152,3,398798583950
202107,100,118,0,10456125183
202107,100,132,0,61970550550
202107,100,152,0,393734791488
202107,100,152,3,344675063471
202107,100,152,0,57301508396
202107,100,152,0,409665289839
202107,100,161,0,354963221173
202107,100,152,3,531957123290
202107,100,152,0,190198042933
202107,100,152,3,367947549513
202107,100,132,0,265790942392
202107,100,152,3,423639489803
202107,100,152,3,34593198867
202107,100,152,3,92854452705
202107,100,132,3,223414218969
202107,100,125,0,167011187054
202107,102,154,0,1316237674
202107,102,154,0,3364126892
202107,102,154,0,2430208028
202107,102,154,0,5072220560
202107,102,154,0,13597151487
202107,102,115,0,10334151453
202107,102,154,1,1350357415
202107,102,154,0,7764456205
202107,102,154,0,703814387
202107,102,129,0,10545103318
202107,102,154,0,733283640
202107,102,154,0,2542408811
202107,102,154,0,11037420792
202107,102,154,0,1571906666
202107,102,154,0,4160672791
202107,102,154,0,3861095238
202107,102,154,0,3696830073
202107,102,145,0,9779940306
202107,102,154,0,862726000
202107,102,154,0,13527538163
202107,102,154,1,6195063716
202107,102,154,0,21336065657
202107,102,154,0,7454744537
202107,102,154,0,23210231
202107,102,154,0,142292463
202107,102,154,0,5109068930
202107,102,129,0,5433831000
202107,102,151,0,19728995942
202107,102,129,0,15167491137
202107,102,154,1,851149460
202107,102,154,0,15081656238
202107,102,154,0,13411413494
202107,102,154,0,471758331
202107,102,154,0,1484375291
202107,102,154,0,14452141809
202107,102,154,0,19172687707
202107,102,154,0,13066510371
202107,102,154,0,3730953124
202107,102,154,0,4682370510
202107,102,154,0,992361105
202107,102,154,0,14982137884
202107,102,154,0,11441630581
202107,102,129,0,7255853945
202107,102,154,0,17158778050
202107,102,154,0,323808391
202107,102,154,0,8955582430
202107,102,129,0,7791261586
202107,102,154,0,10863883816
202107,102,154,0,7261680098
202107,102,154,0,7776372196
202107,102,154,0,11878995923
202107,102,154,0,8008500791
202107,102,154,0,9458920751
202107,102,129,0,10100474158
202107,102,154,0,9462205895
202107,102,143,0,353261573
202107,102,154,1,17809104548
202107,102,154,0,7868457568
202107,102,154,0,10039704116
202107,102,154,0,13522769078
202107,102,154,0,8066769382
202107,102,154,0,4835646611
202107,102,154,0,16249379524
202107,102,154,0,758825427
202107,102,154,0,5096439299
202107,102,154,0,4959889283
202107,102,154,0,14630794473
202107,102,154,0,23726477370
202107,102,118,0,23332888208
202107,102,154,0,3310535028
202107,102,154,0,4446409195
202107,102,129,0,8568007344
202107,102,154,1,7607186875
202107,102,154,0,5530123906
202107,102,143,0,5275186321
202107,102,129,0,14693595636
202107,102,154,0,468406150
202107,102,154,0,206308828
202107,102,154,0,5138264793
202107,102,154,0,14282056438
202107,102,154,0,2591774554
202107,102,154,0,6786283951
202107,102,154,1,1572169549
202107,102,154,0,394627255
202107,102,154,0,3345192821
202107,102,154,0,2226649080
202107,102,154,0,3765630714
202107,102,154,0,6419785285
202107,102,154,0,1125369186
202107,102,154,0,4761525695
202107,102,129,0,10694754275
202107,102,154,0,8391769855
202107,102,154,0,2750523736
202107,102,154,0,16715085763
202107,102,154,0,15296096745
202107,102,154,0,8930561846
202107,102,154,0,3607329074
202107,102,154,0,19429184090
202107,102,154,0,6421904744
202107,102,154,0,18549685437
202107,104,160,3,30274447278
202107,104,116,0,38125357228
202107,104,160,3,21271021408
202107,104,160,3,776911037
202107,104,160,3,11209786039
202107,104,160,1,19566842837
202107,104,116,3,37537651797
202107,104,116,0,38436002336
202107,104,160,3,29494442569
202107,104,103,0,16808440326
202107,104,160,3,1879933860
202107,104,157,3,23987425717
202107,104,159,0,31152562783
202107,104,116,3,15779852652
202107,104,159,0,20662401040
202107,104,160,3,1040619255
202107,104,160,3,930089123
202107,104,159,0,23733645651
202107,104,160,3,2348936364
202107,104,159,0,36868680930
202107,104,160,0,14749945582
202107,104,116,0,35473170855
202107,104,116,3,9304926431
202107,104,157,3,1676530186
202107,104,160,3,1048127001
202107,104,161,3,153152118
202107,104,161,3,26544235434
202107,104,161,3,24265724131
202107,104,159,0,30593766923
202107,104,160,3,4648211837
202107,104,157,0,27219878711
202107,104,160,3,17775107063
202107,104,159,0,18513449523
202107,104,160,0,24421228345
202107,104,160,3,16939044745
202107,104,160,3,28267627877
202107,104,116,3,25534800267
202107,104,116,3,23606820237
202107,104,160,3,3602943273
202107,104,160,0,34519272416
202107,104,116,3,17605525442
202107,104,160,0,24699920680
202107,104,161,3,30673316935
