BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,100,125,0,12367230629
202107,100,110,4,1862507834512
202107,104,152,3,339446184563
202107,102,149,1,442267576788
202107,100,154,1,5021107151
202107,104,145,1,1653066685800
202107,104,126,4,18602238029
202107,104,152,3,219626841858
202107,102,156,4,5097932551
202107,102,106,4,197607539880
202107,102,144,0,30520445
202107,100,128,3,1135581748851
202107,102,155,0,5171660475
202107,104,103,3,12366751838
202107,102,149,0,14785913128
202107,100,125,0,20438850202
202107,100,152,0,1487827724478
202107,104,153,3,179779092873
202107,102,115,1,17515984779
202107,104,136,3,1565225520184
202107,104,144,1,230270833308
202107,104,144,3,45270824839
202107,100,148,3,287882875545
202107,104,105,0,676348330
202107,100,109,4,21965470793
202107,104,146,4,35662559774
202107,102,147,3,23857773484
202107,102,112,1,6877038174
202107,104,147,0,9101028082
202107,102,144,3,22532154849
202107,102,132,4,4989699394
202107,100,135,3,15086289699
202107,102,135,1,170346957754
202107,102,140,3,182776890684
202107,102,114,3,19355507436
202107,102,137,0,1872524976311
202107,102,132,0,1228889381444
202107,104,132,3,17575133782
202107,100,114,4,536047023631
202107,104,129,1,752803267059
202107,102,103,4,83387203943
202107,104,148,4,408479936822
202107,104,148,4,4876616829
202107,104,121,3,1219188065960
202107,104,156,3,39708200668
202107,102,151,1,38299795160
202107,104,120,4,174215474420
202107,102,127,4,350304374240
202107,102,133,1,15400156368
202107,104,155,3,118437216872
202107,102,130,0,222412606675
202107,100,145,3,7816021628
202107,100,142,4,451075603544
202107,102,154,1,18877190402
202107,104,154,0,20253352682
202107,104,157,4,9775129203
202107,102,110,0,2218177834473
202107,102,158,0,935374526
202107,102,110,0,29139138810
202107,102,152,3,88904167572
202107,104,158,1,26913985328
202107,102,131,4,166050373812
202107,102,118,1,504111000501
202107,100,126,1,4862338684
202107,104,151,3,184515464426
202107,102,157,3,25645953516
202107,100,157,4,118676477822
202107,100,112,1,590823207386
202107,100,109,0,241090773422
202107,104,111,4,466639376291
202107,104,123,1,4039228255
202107,100,130,1,110280851088
202107,100,132,0,1770596993271
202107,100,143,1,147061070122
202107,100,154,4,1053602112325
202107,104,153,3,11749286738
202107,104,105,3,61428703975
202107,102,110,3,85013791640
202107,102,151,3,230345956144
202107,104,154,0,17551357890
202107,104,122,4,3240300718
202107,104,132,3,11227063228
202107,100,125,1,299379070001
202107,104,134,4,222555263843
202107,102,144,3,1182664303103
202107,104,107,0,417150132373
202107,104,125,0,994694625293
202107,104,149,1,12743348779
202107,100,109,0,1982624235823
202107,104,107,1,46785014231
202107,102,154,0,391825711006
202107,100,142,0,719339004960
202107,100,141,3,86241883409
202107,102,142,3,23158879640
202107,100,147,0,418947683187
202107,104,149,0,112149931237
202107,102,158,4,80957372449
202107,104,146,3,379765091190
202107,100,151,4,186081561077
202107,102,141,1,42258589916
202107,104,114,3,332740246147
202107,100,161,4,57135726311
202107,100,121,0,1319534445227
202107,100,143,1,10020893809
202107,100,146,0,63283147027
202107,104,126,3,3081639073279
202107,100,107,0,2253192226891
202107,102,115,1,449517912363
202107,104,152,3,396162308555
202107,100,117,1,11821570517
202107,104,144,0,37753479634
202107,102,145,3,999380756437
202107,104,156,3,83460485875
202107,102,125,0,1261277773490
202107,104,153,4,225083091904
202107,104,107,0,20018354515
202107,100,136,3,2158944845675
202107,104,101,3,67844839113
202107,100,122,1,349553880584
202107,100,147,3,683485722032
202107,102,143,3,200530281028
202107,100,138,0,112140218096
202107,104,146,3,2141379847742
202107,102,160,0,1029446186768
202107,100,114,3,97608525327
202107,100,151,4,233646719627
202107,104,131,4,68672208260
202107,102,160,0,21081415980
202107,100,159,4,348995869741
202107,102,103,0,13726021097
202107,104,154,4,743237696529
202107,102,131,1,1854694336408
202107,100,151,0,375078698502
202107,102,132,0,25830761813
202107,104,154,0,676863095068
202107,100,157,0,432770332390
202107,102,144,3,4877782809
202107,104,143,0,18649963943
202107,102,107,3,2772474087192
202107,102,135,3,252353201131
202107,104,101,4,1871457489139
202107,104,105,0,108786589914
202107,104,136,4,42159500731
202107,104,160,1,131183831287
202107,100,126,1,27543972280
202107,104,110,0,1438183538744
202107,104,122,4,179515893123
202107,100,131,3,146739157193
202107,102,145,3,14869721029
202107,100,143,0,36621497806
202107,102,127,4,1605002970486
202107,104,158,3,279774251977
202107,102,161,4,1299508732749
202107,100,131,1,196288947988
202107,100,129,0,9678287226
202107,102,130,3,18697919302
202107,100,103,3,1828304975298
202107,102,146,0,3108016619
202107,100,155,0,862853885780
202107,102,130,4,278523890434
202107,102,131,0,792297130003
202107,100,130,3,539480008701
202107,102,155,3,2949324042
202107,100,101,0,96019553192
202107,104,116,3,1991134165649
202107,104,103,4,2507365209256
202107,100,103,3,263109827025
202107,100,128,1,18084059540
202107,100,159,0,179526068615
202107,104,161,3,141150761701
202107,100,111,3,161128300925
202107,104,134,3,395497400482
202107,100,138,3,423128683910
202107,102,101,1,48640409018
202107,102,140,0,13744847301
202107,104,144,1,19878434523
202107,100,128,3,411397304296
202107,104,148,0,1716794078701
202107,102,144,4,3088352880
202107,104,109,4,318253155301
202107,104,129,4,49743596364
202107,104,133,0,182340117850
202107,104,161,1,21390086531
202107,100,150,1,2955276521717
202107,104,118,3,2245868282
202107,102,106,0,31342542112
202107,100,154,1,34177963047
202107,104,156,0,386109821797
202107,100,134,1,212734086641
202107,102,129,3,11899721971
202107,102,161,0,1992540381469
202107,104,150,3,408463769529
202107,102,106,4,6294362010
202107,100,155,0,495302017691
202107,102,151,1,16867898257
202107,104,106,3,487194181347
202107,104,123,0,420013865239
202107,104,131,0,804912061518
202107,104,133,1,80222264360
202107,104,136,3,13810123680
202107,100,144,3,222411496773
202107,104,101,1,29068478163
202107,104,126,1,1364949571567
202107,104,151,1,42857181423
202107,104,145,0,18456956514
202107,100,132,1,18444602718
202107,104,132,1,2679745140
202107,102,154,0,203199169556
202107,104,115,1,26182688482
202107,104,155,0,12521862242
202107,100,109,3,16437720206
202107,100,134,4,27314772888
202107,104,103,1,4394784777
202107,102,154,1,24644731920
202107,100,145,1,367214193
202107,102,122,3,12645524863
202107,104,111,3,19160927779
202107,104,133,4,662701245836
202107,102,137,3,36575099548
202107,104,130,3,125302441514
202107,102,127,0,101506633822
202107,104,122,4,255729006512
202107,102,130,3,823523012155
202107,100,138,4,634735501431
202107,104,126,0,1587390047067
202107,104,156,3,2168324788087
202107,100,101,1,9026807255
202107,102,126,0,71885115046
202107,104,126,1,200881594195
202107,100,133,0,340993944189
202107,104,129,3,58096683818
202107,100,141,4,2685477145507
202107,100,146,3,17430875723
202107,104,147,3,1453353051
202107,100,123,1,1579197148281
202107,100,123,3,166374821233
202107,102,161,4,240927280557
202107,102,130,3,455332619006
202107,100,150,3,25316074932
202107,100,111,3,289598739414
202107,100,116,0,16551143850
202107,104,161,0,24659736830
202107,102,123,1,427917667557
202107,104,143,3,399114322898
202107,100,154,4,184214528010
202107,102,152,0,247773868096
202107,100,137,0,3573829468498
202107,100,153,4,7228797452
202107,100,107,1,10237232591
202107,100,142,4,294674318136
202107,102,134,3,20200859953
202107,104,113,0,1840120044388
202107,104,150,0,1136056887562
202107,102,144,4,4824173124
202107,104,152,0,419806210578
202107,102,120,4,1830899401822
202107,100,151,0,4596167232
202107,102,150,0,868519960710
202107,104,128,3,5040573464
202107,102,118,3,293504375802
202107,100,153,0,24859581506
202107,102,158,1,25829839609
202107,104,132,3,57139949654
202107,100,141,3,11312121934
202107,100,111,0,4355420502
202107,104,143,3,434669852707
202107,102,154,0,1550961708508
202107,104,155,4,26399828450
202107,102,130,0,13596267848
202107,100,132,4,36240034122
202107,100,112,1,1374946716178
202107,100,157,3,1986004695528
202107,102,136,3,1149179686163
202107,104,135,4,1010661178397
202107,100,138,0,4303976873
202107,100,120,1,30498747133
202107,104,137,3,119637891528
202107,102,133,4,122941026418
202107,100,141,4,2602616397
202107,102,122,4,307169939896
202107,104,127,0,2327510135625
202107,102,116,3,796063352847
202107,102,112,3,2772483223027
202107,102,153,3,279732737751
202107,104,136,0,229805723204
202107,102,142,0,521808834551
202107,102,160,4,35308280668
202107,104,103,4,7565358859
202107,104,157,1,397303808596
202107,100,120,0,120698991149
202107,104,144,3,10496014158
202107,104,133,3,327592682357
202107,100,144,1,509374439164
202107,104,146,1,772463483395
202107,104,113,3,444186332954
202107,100,152,3,875841228060
202107,100,133,3,98723010921
202107,104,123,1,26745580595
202107,100,140,3,2775733672774
202107,100,111,4,14470154351
