BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,102,137,3,2410049224372
202107,102,137,3,19335712513
202107,104,105,3,1413516947914
202107,102,138,3,1536773037827
202107,102,105,3,15710462325
202107,102,105,3,18065159991
202107,102,137,3,6653756096
202107,102,130,3,5307020885
202107,102,137,3,1847143261702
202107,102,137,3,1916090106113
202107,102,137,3,1967289982498
202107,102,137,3,18535310612
202107,102,160,3,12949914926
202107,104,141,3,1524183251
202107,102,137,3,14002827837
202107,104,105,3,1800844442281
202107,102,137,3,1299206366063
202107,102,130,3,1057043980
202107,104,153,3,17964296947
202107,104,137,3,1463065416121
202107,104,138,3,1988907740394
202107,102,137,3,2170207429584
202107,102,153,3,5122757541
202107,102,137,3,5538577321
202107,102,137,3,1915049604536
202107,102,137,3,4426844367
202107,104,141,3,229269151763
202107,102,137,3,1032051474631
202107,102,105,3,1383916197479
202107,102,137,3,10339880577
202107,102,141,3,3314455112
202107,104,138,3,2037425050660
202107,102,105,3,3356162217
202107,104,137,3,1223472489371
202107,104,137,3,3097826542
202107,102,130,3,1368094128420
202107,102,138,3,2267097705313
202107,102,141,3,10726095049
202107,102,137,3,1451796210277
202107,102,130,3,918194464
202107,102,141,3,6860670670
202107,102,137,3,1562222491846
202107,104,105,3,1733493657169
202107,102,153,3,2642643185
202107,104,137,3,9028321146
202107,102,137,3,1649536501437
202107,102,130,3,6998660013
202107,102,130,3,1593480153483
202107,104,137,3,5004388276
202107,102,137,3,1150662268634
202107,102,137,3,8671652647
202107,102,130,3,12460493507
202107,104,138,3,21071135156
202107,102,138,3,1823174970339
202107,104,153,3,4862845043
202107,102,137,3,17935948358
202107,102,137,3,2130365483095
202107,102,153,3,6201947668
202107,104,138,3,2104904723809
202107,102,137,3,3526545166
202107,102,130,3,25041996307
202107,104,153,3,5234982463
202107,102,130,3,7938482510
202107,102,138,3,8396798343
202107,102,130,3,2077113271731
202107,102,105,3,1715787103119
202107,104,137,3,22894744272
202107,102,141,3,12519843550
202107,102,137,3,1469316642859
202107,104,105,3,1839104047527
202107,102,153,3,12355309820
202107,102,153,3,21329509628
202107,102,130,3,1853780353115
202107,102,141,3,9603192757
202107,102,105,3,1184226805077
202107,104,144,3,11759061166
202107,102,137,3,2139283424801
202107,102,137,3,5487613297
202107,102,137,3,57318484
202107,102,137,3,1756261593739
202107,102,138,3,1648407026709
202107,104,137,3,9203448646
202107,102,138,3,1538679189742
202107,102,144,3,14222925588
202107,104,137,3,6572761892
202107,104,137,3,307667482226
202107,104,153,3,348844140403
202107,102,138,3,1780257093913
202107,102,137,3,1416522242805
202107,102,105,3,1969163005259
202107,102,138,3,1528252932117
202107,102,130,3,26534071103
202107,102,153,3,10443730550
202107,102,137,3,1780716718343
202107,102,137,3,21994439438
202107,102,137,3,1552709258383
202107,102,137,3,6600887147
202107,104,137,3,6960029800
202107,102,141,3,8854633828
202107,102,137,3,1522549407057
202107,102,130,3,11780042890
202107,102,105,3,1584125990727
202107,102,138,3,6112239176
202107,102,137,3,10628504452
202107,102,137,3,9173818118
202107,102,153,3,15310268833
202107,102,137,3,1420325346475
202107,102,137,3,11014681342
202107,102,137,3,1647704948844
202107,102,137,3,5512236057
202107,102,137,3,763440398
202107,102,130,3,1653310929590
202107,102,137,3,1909541740954
202107,102,137,3,4845080931
202107,102,138,3,1555964586546
202107,102,153,3,11074572063
202107,102,137,3,1221040012420
202107,102,144,3,6298331661
202107,102,137,3,7837708193
202107,104,138,3,2021217903671
202107,104,138,3,1675074075328
202107,102,138,3,2781268119879
202107,104,138,3,1797718873617
202107,102,105,3,8065873137
202107,104,137,3,1207822562243
202107,102,137,3,1229859936136
202107,102,137,3,1236513526769
202107,102,137,3,2267612265121
202107,104,105,3,1710108240280
202107,102,130,3,4095856776
202107,104,153,3,13621759942
202107,104,137,3,83222289794
202107,102,137,3,577208732
202107,102,141,3,2568379451
202107,102,137,3,16864409045
202107,102,137,3,31104147200
202107,102,137,3,2199928560328
202107,102,138,3,11973661026
202107,102,137,3,4947524002
202107,102,153,3,8442655869
202107,102,137,3,21084498107
202107,102,141,4,11664465997
202107,102,144,3,8074242802
202107,102,137,3,2676379805544
202107,102,137,3,1383348238504
202107,102,137,3,451650161
202107,102,153,3,8135456011
202107,104,137,3,5887411012
202107,102,137,3,14331903135
202107,104,144,3,317493489512
202107,102,105,3,18274145917
202107,102,137,3,15841974145
202107,102,138,3,1611816281801
202107,102,137,3,7799220961
202107,102,144,3,17530220943
202107,102,130,3,6953520059
202107,104,153,3,24939206114
202107,102,130,3,10706982813
202107,104,137,3,303465982656
202107,104,137,3,6826527532
202107,104,137,3,1081429368330
202107,102,137,3,5343118421
202107,102,160,3,1920436866597
202107,104,137,3,1472971630804
202107,102,138,3,9530615101
202107,102,105,3,1344368161950
202107,102,137,3,769782146151
202107,104,130,3,25794603005
202107,104,137,3,2170484692246
202107,102,130,3,1790240401180
202107,102,137,3,7622354139
202107,102,160,3,5557635248
