BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,AHN,RLM,0,129117000
202107,AHN,UJN,0,2760000
202107,AHN,IGI,4,1020000
202107,AHN,SCD,4,28125000
202107,AHN,SSR,4,364000
202107,AHN,JIK,0,385662000
202107,AHN,XDG,0,38799000
202107,AHN,TCH,0,12100000
202107,AHN,JFG,0,701000
202107,AHN,YUJ,4,930000
202107,AHN,DSJ,0,636000
202107,AHN,HNR,0,69118000
202107,AHN,YNB,4,700000
202107,AHN,SXR,0,657386000
202107,AHN,ZDD,4,22345000
202107,AHN,GPM,4,7691000
202107,AHN,HQI,4,69929000
202107,AHN,UXE,4,17502000
202107,AHN,ZFS,4,124831000
202107,AHN,KYG,4,295181000
202107,AHN,PNA,4,853000
202107,AHN,CBX,4,1109350000
202107,AHN,XIE,4,120428000
202107,AHN,SIF,4,30555000
202107,AHN,RBR,4,1320000
202107,AHN,CVN,4,1180602000
202107,AHN,SHK,4,2015410000
202107,AHN,FLX,4,36692000
202107,AHN,KFW,4,2625000
202107,AHN,SMH,4,3389000
202107,AHN,KCK,4,1548000
202107,AHN,QOB,4,9322000
202107,AHN,KFW,0,2637943000
202107,AHN,AZR,0,3432798000
202107,AHN,SSR,0,4053093000
202107,AHN,QIM,0,21753000
202107,AHN,HZI,4,824857000
202107,AHN,UXE,0,595536000
202107,AHN,MIQ,4,283050000
202107,AHN,HZO,4,127411000
202107,AHN,NXL,4,59468000
202107,AHN,IDN,4,75788000
202107,AHN,RII,4,68771000
202107,AHN,AXQ,4,2629000
202107,AHN,ZVX,4,57919000
202107,AHN,TGT,4,84296000
202107,AHN,VEA,4,3842159000
202107,AHN,QDF,4,174650000
202107,AHN,WZU,0,285543000
202107,AHN,YUJ,0,4383789000
202107,AHN,WHF,4,4232000
202107,AHN,AZR,4,40000
202107,AHN,JVP,4,1485226000
202107,AHN,IUR,4,457318000
202107,AHN,FYT,4,143562000
202107,AHN,IEK,4,1822711000
202107,AHN,CAZ,4,123847000
202107,AHN,JOR,4,35301000
202107,AHN,JOR,0,315166107000
202107,AHN,QOB,0,14888184000
202107,AHN,MIQ,0,149264829000
202107,AHN,SMH,0,24997904000
202107,AHN,AIG,0,419057965000
202107,AHN,HZI,0,674340109000
202107,AHN,ZFS,0,38459541000
202107,AHN,HZO,0,35406662000
202107,AHN,VEA,0,2148619178000
202107,AHN,IEK,0,1570646158000
202107,AHN,SHK,0,1730635146000
202107,AHN,YCA,0,107006780000
202107,AHN,RBR,0,5117592000
202107,AHN,WHF,0,11174902000
202107,AHN,TGT,0,39051171000
202107,AHN,NXL,0,402518021000
202107,AHN,XIE,0,48221370000
202107,AHN,SIF,0,170973586000
202107,AHN,HQI,0,271317832000
202107,AHN,IUR,0,163819271000
202107,AHN,SCD,0,30335666000
202107,AHN,AXQ,0,3511317000
202107,AHN,ZVX,0,51004017000
202107,AHN,KYG,0,127834277000
202107,AHN,CAZ,0,73247241000
202107,AHN,IDN,0,158012443000
202107,AHN,QDF,0,112851753000
202107,AHN,BVI,0,1937084729000
202107,AHN,FYT,0,133087467000
202107,AHN,RII,0,61766235000
202107,AHN,JVP,0,1975216533000
202107,AHN,ZDD,0,24735329000
202107,AHN,CBX,0,1052335544000
202107,AHN,CVN,0,1730205693000
202107,AHN,EEB,0,77508776000
202107,AHN,PNA,0,5843219000
202107,AHN,KCK,0,4047813000
202107,AHN,FLX,0,23470325000
202107,AHN,IGI,0,33898000000
202107,AHN,YNB,0,8132639000
202107,AHN,GPM,0,2036065000
202107,AHN,EEB,4,234808000
202107,AHN,AIG,4,24170000
202107,AHN,BVI,4,1361630000
202107,AHN,YCA,4,2864000
202107,AHN,ZQS,0,14600000
202108,AHN,YNB,4,500000
202108,AHN,DSJ,0,2330000
202108,AHN,XIE,0,50278807000
202108,AHN,IUR,0,218570911000
202108,AHN,BVI,0,2188379267000
202108,AHN,CBX,0,1232745731000
202108,AHN,QIM,0,30982000
202108,AHN,NXL,0,203388820000
202108,AHN,SIF,0,239693378000
202108,AHN,IGI,4,20000
202108,AHN,TCH,0,5507000
202108,AHN,IDN,0,514611987000
202108,AHN,QDF,0,134839933000
202108,AHN,FYT,0,161988759000
202108,AHN,ZFS,0,48370398000
202108,AHN,YCA,4,6864000
202108,AHN,YUJ,4,930000
202108,AHN,JIK,0,89151000
202108,AHN,ZQS,0,22790000
202108,AHN,KFW,0,4017552000
202108,AHN,RBR,0,5625020000
