BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,AIG,SIF,4,3750000
202107,AIG,SMH,4,2066000
202107,AIG,RLM,4,50000
202107,AIG,NXL,4,5790000
202107,AIG,FLX,4,4330000
202107,AIG,QDF,4,36949000
202107,AIG,XIE,4,23107000
202107,AIG,IGI,4,9440000
202107,AIG,ZVX,4,12229000
202107,AIG,UXE,4,6220000
202107,AIG,SCD,4,11288000
202107,AIG,HZO,4,26635000
202107,AIG,FYT,4,45245000
202107,AIG,HQI,4,6144000
202107,AIG,ZFS,4,3241000
202107,AIG,JIK,0,284838000
202107,AIG,RBR,4,250000
202107,AIG,KYG,4,79381000
202107,AIG,CAZ,4,35504000
202107,AIG,EEB,4,60986000
202107,AIG,SXR,0,4214333000
202107,AIG,XDG,0,164372000
202107,AIG,YCA,4,823000
202107,AIG,HNR,0,100000
202107,AIG,QOB,4,1020000
202107,AIG,UJN,0,192000
202107,AIG,BVI,4,329690000
202107,AIG,UXE,0,3332276000
202107,AIG,WHF,0,15730572000
202107,AIG,AXQ,0,570172000
202107,AIG,PNA,0,7049437000
202107,AIG,ZDD,0,44611426000
202107,AIG,TGT,0,110039800000
202107,AIG,ZVX,0,42713682000
202107,AIG,YNB,0,58645317000
202107,AIG,KYG,0,109407255000
202107,AIG,ZFS,0,59439091000
202107,AIG,MIQ,0,260079545000
202107,AIG,AHN,0,104532699000
202107,AIG,BVI,0,842641402000
202107,AIG,QDF,0,112023937000
202107,AIG,VEA,0,480999427000
202107,AIG,CBX,0,723976928000
202107,AIG,QOB,0,87167124000
202107,AIG,KCK,0,38952207000
202107,AIG,KFW,0,21055840000
202107,AIG,SSR,0,1444107000
202107,AIG,NXL,0,2040674888000
202107,AIG,JOR,0,1908721857000
202107,AIG,IDN,0,724455117000
202107,AIG,IEK,0,1440855338000
202107,AIG,HZI,0,412388284000
202107,AIG,JVP,0,444829069000
202107,AIG,CVN,0,1010127697000
202107,AIG,HQI,0,1737493605000
202107,AIG,RII,0,36034855000
202107,AIG,TGT,4,37544000
202107,AIG,IUR,4,142670000
202107,AIG,RBR,0,16224377000
202107,AIG,IGI,0,182757410000
202107,AIG,YCA,0,453060156000
202107,AIG,EEB,0,87712561000
202107,AIG,RLM,0,6121833000
202107,AIG,YUJ,0,13533608000
202107,AIG,IUR,0,181001059000
202107,AIG,SIF,0,111132652000
202107,AIG,JVP,4,118204000
202107,AIG,WZU,0,15116466000
202107,AIG,SCD,0,67639860000
202107,AIG,GPM,0,1386690000
202107,AIG,HZO,0,43508897000
202107,AIG,CAZ,0,59919030000
202107,AIG,FYT,0,102247447000
202107,AIG,XIE,0,73394706000
202107,AIG,SHK,0,1027735221000
202107,AIG,FLX,0,4745773000
202107,AIG,JOR,4,39248000
202107,AIG,MIQ,4,73901000
202107,AIG,IDN,4,23005000
202107,AIG,AXQ,4,55000
202107,AIG,GPM,4,300000
202107,AIG,SHK,4,490475000
202107,AIG,CVN,4,380850000
202107,AIG,AZR,0,2544189000
202107,AIG,VEA,4,238463000
202107,AIG,HZI,4,166163000
202107,AIG,CBX,4,105711000
202107,AIG,SMH,0,148483069000
202107,AIG,RII,4,22334000
202107,AIG,ZDD,4,8773000
202107,AIG,AHN,4,39374000
202107,AIG,IEK,4,459468000
202108,AIG,KFW,4,750000
202108,AIG,ZQS,0,7200000
202108,AIG,RBR,4,200000
202108,AIG,AHN,4,30095000
202108,AIG,IEK,4,405789000
202108,AIG,CBX,4,107924000
202108,AIG,AZR,0,3741931000
202108,AIG,ZDD,4,5424000
202108,AIG,SIF,4,52066000
202108,AIG,EEB,4,51685000
202108,AIG,KYG,4,73693000
202108,AIG,XDG,0,23122000
202108,AIG,VEA,4,206305000
202108,AIG,MIQ,4,50659000
202108,AIG,QIM,0,28001000
202108,AIG,JIK,0,257079000
202108,AIG,RLM,4,20000
202108,AIG,QOB,4,20000
202108,AIG,YCA,4,1013000
202108,AIG,SMH,4,1766000
202108,AIG,XIE,4,16487000
202108,AIG,ZVX,4,10490000
202108,AIG,FYT,4,20846000
202108,AIG,JFG,0,235000
202108,AIG,SCD,4,9147000
202108,AIG,IGI,4,8040000
202108,AIG,UXE,4,6820000
202108,AIG,FLX,4,3230000
202108,AIG,HQI,4,304564000
202108,AIG,ZFS,4,5371000
202108,AIG,UJN,0,192000
202108,AIG,HQI,0,887781251000
