BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,AZR,WHF,0,980527000
202107,AZR,SMH,0,1000050000
202107,AZR,YUJ,0,504800000
202107,AZR,ZFS,0,521643000
202107,AZR,YNB,0,50032000
202107,AZR,WZU,0,17000
202107,AZR,KCK,0,17180000
202107,AZR,AXQ,0,4850000
202107,AZR,UXE,0,1000000
202107,AZR,IGI,0,122188000
202107,AZR,RBR,0,405410000
202107,AZR,HZO,0,919867000
202107,AZR,YCA,0,1685309000
202107,AZR,SCD,0,2029267000
202107,AZR,MIQ,0,2155934000
202107,AZR,RII,0,399797000
202107,AZR,ZVX,0,186316000
202107,AZR,JOR,0,7906593000
202107,AZR,CVN,0,16243117000
202107,AZR,JVP,0,5519144000
202107,AZR,TGT,0,1516480000
202107,AZR,PNA,0,758569000
202107,AZR,CAZ,0,952524000
202107,AZR,IEK,0,25518541000
202107,AZR,QOB,0,452040000
202107,AZR,XIE,0,714761000
202107,AZR,BVI,0,15546199000
202107,AZR,NXL,0,3122250000
202107,AZR,ZDD,0,160640000
202107,AZR,HQI,0,6246230000
202107,AZR,KYG,0,1039580000
202107,AZR,FYT,0,940740000
202107,AZR,IDN,0,6311523000
202107,AZR,VEA,0,12691554000
202107,AZR,HZI,0,4290855000
202107,AZR,SHK,0,15181235000
202107,AZR,CBX,0,4706334000
202107,AZR,SXR,0,907750000
202107,AZR,AIG,0,6255677000
202107,AZR,FLX,0,117611000
202107,AZR,QDF,0,305550000
202107,AZR,SIF,0,2612000000
202107,AZR,KFW,0,548697000
202107,AZR,IUR,0,1883575000
202107,AZR,AHN,0,1490910000
202107,AZR,EEB,0,199919000
202108,AZR,KCK,0,5000000
202108,AZR,QOB,0,97725000
202108,AZR,WHF,0,532230000
202108,AZR,WZU,0,1000
202108,AZR,UXE,0,1500000
202108,AZR,YUJ,0,524000000
202108,AZR,XDG,0,40000000
202108,AZR,AXQ,0,4801000
