BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,CAZ,AXQ,4,1810000
202107,CAZ,UXE,4,3375000
202107,CAZ,FLX,4,60285000
202107,CAZ,YNB,4,170000
202107,CAZ,IGI,4,190000
202107,CAZ,YUJ,4,825000
202107,CAZ,WHF,4,330000
202107,CAZ,RBR,4,1350000
202107,CAZ,HZO,1,177142000
202107,CAZ,FLX,1,48037000
202107,CAZ,PNA,4,2714000
202107,CAZ,ZFS,1,7851000
202107,CAZ,KCK,4,2830000
202107,CAZ,NXL,4,62498000
202107,CAZ,XDG,0,12860000
202107,CAZ,IEK,1,5104630000
202107,CAZ,QDF,4,649323000
202107,CAZ,IUR,4,3135976000
202107,CAZ,KYG,3,1910000
202107,CAZ,KFW,4,1820000
202107,CAZ,KYG,1,267620000
202107,CAZ,AHN,4,108692000
202107,CAZ,SXR,0,487750000
202107,CAZ,IGI,0,10715642000
202107,CAZ,RLM,0,62790000
202107,CAZ,HNR,0,8578000
202107,CAZ,RII,1,250035000
202107,CAZ,XIE,1,42251000
202107,CAZ,IDN,4,98997000
202107,CAZ,KYG,4,480526000
202107,CAZ,EEB,4,1962205000
202107,CAZ,EEB,3,46287000
202107,CAZ,GPM,3,4365000
202107,CAZ,BVI,3,126195000
202107,CAZ,CBX,3,9276000
202107,CAZ,JOR,4,63377000
202107,CAZ,HZO,4,811310000
202107,CAZ,ZFS,4,29046000
202107,CAZ,HZO,3,57784000
202107,CAZ,CVN,3,105244000
202107,CAZ,SHK,3,200955000
202107,CAZ,VEA,3,3854245000
202107,CAZ,IUR,3,66396000
202107,CAZ,BVI,1,2841804000
202107,CAZ,VEA,4,5251357000
202107,CAZ,HZI,4,7125713000
202107,CAZ,BVI,4,3281134000
202107,CAZ,ZVX,1,632448000
202107,CAZ,HZI,11,2114234000
202107,CAZ,SMH,4,5003000
202107,CAZ,RLM,4,1600000
202107,CAZ,YCA,4,96567000
202107,CAZ,HQI,4,44996000
202107,CAZ,QDF,1,1002107000
202107,CAZ,MIQ,1,6352000
202107,CAZ,IEK,4,6635997000
202107,CAZ,IDN,1,12363000
202107,CAZ,AHN,1,18042000
202107,CAZ,JVP,3,179314000
202107,CAZ,UJN,0,1577533000
