BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,CBX,KFW,4,9157000
202107,CBX,JIK,0,10370000
202107,CBX,KCK,4,13712000
202107,CBX,SMH,4,48250000
202107,CBX,RLM,4,3026000
202107,CBX,XDG,4,1000
202107,CBX,SXR,4,1000
202107,CBX,AZR,4,3704000
202107,CBX,IGI,4,16308000
202107,CBX,PNA,4,8944000
202107,CBX,TCH,0,24590000
202107,CBX,WHF,4,9962000
202107,CBX,ZQS,0,130721000
202107,CBX,WZU,4,105000
202107,CBX,QIM,4,200000
202107,CBX,HNR,4,200000
202107,CBX,JFG,0,12972000
202107,CBX,ZQS,4,101000
202107,CBX,RLM,0,2062577000
202107,CBX,DSJ,0,11222000
202107,CBX,HNR,0,338288000
202107,CBX,QIM,0,195653000
202107,CBX,XDG,0,339153000
202107,CBX,KCK,0,15934595000
202107,CBX,YNB,0,22456111000
202107,CBX,YCA,0,341013263000
202107,CBX,SIF,0,465632974000
202107,CBX,QOB,0,43419259000
202107,CBX,TGT,0,88421821000
202107,CBX,SMH,0,55936496000
202107,CBX,WZU,0,1755677000
202107,CBX,SXR,0,2169098000
202107,CBX,UXE,0,4809846000
202107,CBX,IGI,0,102128036000
202107,CBX,RBR,0,14215697000
202107,CBX,AZR,0,6693666000
202107,CBX,YUJ,0,8308996000
202107,CBX,WHF,0,28042245000
202107,CBX,SSR,0,16106130000
202107,CBX,QDF,0,291483093000
202107,CBX,JVP,0,1872118529000
202107,CBX,HZI,0,2033161106000
202107,CBX,AHN,0,1195955951000
202107,CBX,BVI,0,2516215190000
202107,CBX,SHK,0,3297240693000
202107,CBX,VEA,0,1949422296000
202107,CBX,RII,0,137988541000
202107,CBX,CAZ,0,175161828000
202107,CBX,CVN,0,1808234126000
202107,CBX,ZFS,0,120542929000
202107,CBX,FLX,0,23116259000
202107,CBX,JOR,0,1094064763000
202107,CBX,HZO,0,135589191000
202107,CBX,KYG,0,398258479000
202107,CBX,MIQ,0,627979461000
202107,CBX,ZDD,0,92000872000
202107,CBX,AXQ,0,18263202000
202107,CBX,HQI,0,1019175573000
202107,CBX,AIG,0,2161591830000
202107,CBX,IDN,0,483614275000
202107,CBX,SCD,0,61526807000
202107,CBX,ZVX,0,123403472000
202107,CBX,EEB,0,278847986000
202107,CBX,FYT,0,328108168000
202107,CBX,XIE,0,100542486000
202107,CBX,IUR,0,629755876000
202107,CBX,NXL,0,1338709181000
202107,CBX,PNA,0,14024332000
202107,CBX,KFW,0,6912982000
202107,CBX,IEK,0,4248899378000
202107,CBX,GPM,0,5653318000
202107,CBX,UJN,0,249011000
202107,CBX,FLX,4,237662000
202107,CBX,JOR,4,359001000
202107,CBX,KYG,4,2224377000
202107,CBX,VEA,4,10228792000
202107,CBX,CVN,4,9530159000
202107,CBX,UXE,4,88514000
202107,CBX,IDN,4,536763000
202107,CBX,AIG,4,466092000
202107,CBX,YUJ,4,10479000
202107,CBX,HZO,4,1782296000
202107,CBX,IUR,4,5324495000
202107,CBX,JVP,4,4793338000
202107,CBX,QOB,4,21834000
202107,CBX,BVI,4,11835210000
202107,CBX,IEK,4,16594918000
202107,CBX,FYT,4,1690376000
202107,CBX,MIQ,4,1931551000
202107,CBX,ZVX,4,561343000
202107,CBX,YCA,4,26840000
202107,CBX,CAZ,4,1132770000
202107,CBX,ZFS,4,203958000
202107,CBX,SIF,4,363969000
202107,CBX,NXL,4,162558000
202107,CBX,AHN,4,1959481000
202107,CBX,ZDD,4,315399000
202107,CBX,TGT,4,614976000
202107,CBX,RII,4,685450000
202107,CBX,SHK,1,6349000000
202107,CBX,RBR,4,14407000
202107,CBX,SSR,4,3801000
202107,CBX,HQI,4,398115000
202107,CBX,QDF,4,1807283000
202107,CBX,EEB,4,2557940000
202107,CBX,AXQ,4,40024000
202107,CBX,HZI,4,10632888000
202107,CBX,SHK,4,13264757000
202107,CBX,GPM,4,123744000
202107,CBX,YNB,4,5198000
202107,CBX,XIE,4,616380000
202107,CBX,SCD,4,216284000
202108,CBX,ZDD,0,86307911000
202108,CBX,FYT,0,353303003000
202108,CBX,SMH,0,335390315000
202108,CBX,EEB,0,302259554000
202108,CBX,HQI,0,773857176000
202108,CBX,RII,0,150993736000
202108,CBX,AHN,0,1544975586000
202108,CBX,SHK,0,3289685629000
202108,CBX,CVN,0,1884115934000
202108,CBX,MIQ,0,634099802000
202108,CBX,CAZ,0,186172352000
202108,CBX,ZQS,0,77965000
202108,CBX,NXL,0,851931878000
202108,CBX,SXR,0,1892419000
202108,CBX,FLX,0,23288220000
202108,CBX,AXQ,0,19767460000
202108,CBX,ZQS,4,101000
202108,CBX,JFG,4,10000
202108,CBX,TZF,0,129000
202108,CBX,XDG,4,1000
202108,CBX,SXR,4,1000
202108,CBX,RLM,4,3016000
202108,CBX,ZVX,4,518017000
202108,CBX,VEA,4,9612909000
202108,CBX,RLM,0,2828649000
