BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,CVN,HZI,14,60024000
202107,CVN,KFW,3,25042000
202107,CVN,SMH,3,309384000
202107,CVN,BVI,13,10190000
202107,CVN,PNA,1,5932162000
202107,CVN,BVI,15,2300000
202107,CVN,IEK,11,288297000
202107,CVN,YCA,1,99833000
202107,CVN,RII,21,4680000
202107,CVN,XIE,11,3555000
202107,CVN,HZO,13,1430000
202107,CVN,VEA,15,7160000
202107,CVN,JVP,16,5700000
202107,CVN,IEK,13,16070000
202107,CVN,IEK,16,14500000
202107,CVN,XIE,13,380000
202107,CVN,EEB,16,9933000
202107,CVN,HZO,16,2150000
202107,CVN,BVI,16,5700000
202107,CVN,KYG,16,100000
202107,CVN,ZDD,13,40000
202107,CVN,JVP,13,5040000
202107,CVN,ZDD,16,150000
202107,CVN,RII,15,40000
202107,CVN,FYT,13,70000
202107,CVN,QDF,11,799000
202107,CVN,RLM,4,33410000
202107,CVN,BVI,21,16058000
202107,CVN,FYT,21,8300000
202107,CVN,SHK,16,7600000
202107,CVN,IGI,1,11230031000
202107,CVN,AHN,4,57579570000
202107,CVN,JVP,4,26616902000
202107,CVN,ZDD,4,1276238000
202107,CVN,MIQ,4,4568694000
202107,CVN,KYG,4,11802048000
202107,CVN,WHF,4,36046000
202107,CVN,JVP,14,2370000
202107,CVN,BVI,4,76189705000
202107,CVN,UJN,4,330030000
202107,CVN,CBX,4,18606071000
202107,CVN,SCD,4,766707000
202107,CVN,XIE,4,4390628000
202107,CVN,FLX,1,1813093000
202107,CVN,UJN,3,141708000
202107,CVN,IDN,1,1231597000
202107,CVN,JOR,4,1511648000
202107,CVN,AIG,4,1010061000
202107,CVN,TGT,4,1829980000
202107,CVN,ZDD,11,1786000
202107,CVN,SIF,3,9664000
202107,CVN,IUR,14,28578000
202107,CVN,KFW,1,53417000
202107,CVN,GPM,4,404170000
202107,CVN,CAZ,14,19442000
202107,CVN,QOB,4,119211000
202107,CVN,PNA,4,94900000
202107,CVN,RII,4,2215714000
202107,CVN,VEA,4,43265952000
202107,CVN,FYT,15,40000
202107,CVN,HZI,23,9000000
202107,CVN,VEA,23,2400000
202107,CVN,SHK,23,1300000
202107,CVN,IEK,23,2900000
202107,CVN,QIM,1,274702000
202107,CVN,ZVX,23,100000
202107,CVN,YUJ,1,12880000
202107,CVN,QDF,12,240000
202107,CVN,JVP,23,500000
202107,CVN,ZDD,12,1740000
202107,CVN,FYT,12,2160000
202107,CVN,BVI,12,72407000
202107,CVN,EEB,12,96592000
202107,CVN,JVP,12,38892000
202107,CVN,HNR,1,6870000
202107,CVN,HZO,23,200000
202107,CVN,TCH,4,450000
202107,CVN,DSJ,3,252377000
202107,CVN,WHF,1,6695000
202107,CVN,SIF,1,62720000
202107,CVN,RBR,1,10160000
202107,CVN,AXQ,1,42016000
202107,CVN,SHK,12,111927000
202107,CVN,HZI,12,903219000
202107,CVN,IUR,12,344708000
202107,CVN,IEK,12,137267000
202107,CVN,CAZ,12,368260000
202107,CVN,VEA,12,203273000
202107,CVN,HZO,12,14553000
202107,CVN,XIE,12,1140000
202107,CVN,KYG,12,2933000
202107,CVN,EEB,14,6572000
202107,CVN,EEB,11,263275000
202107,CVN,BVI,14,5380000
202107,CVN,HZO,14,3254000
202107,CVN,VEA,14,13832000
202107,CVN,IUR,11,999505000
202107,CVN,CAZ,11,930263000
202107,CVN,HZI,11,2199949000
202107,CVN,VEA,11,525755000
202107,CVN,GPM,11,915000
202107,CVN,HZO,11,49455000
202107,CVN,JVP,11,82240000
202107,CVN,IUR,23,4900000
202107,CVN,RLM,1,22460000
202107,CVN,CAZ,23,4700000
202107,CVN,EEB,23,1500000
202107,CVN,BVI,23,900000
202107,CVN,QOB,1,852516000
202107,CVN,KCK,1,72337000
202107,CVN,GPM,12,300000
202107,CVN,TGT,12,300000
202107,CVN,IUR,16,31849000
202107,CVN,CAZ,15,17140000
202107,CVN,HZI,16,75332000
202107,CVN,VEA,16,13566000
202107,CVN,YNB,3,34000
202107,CVN,SSR,3,305000
202107,CVN,CAZ,16,24783000
202107,CVN,CBX,11,150000
202107,CVN,SHK,11,172759000
202107,CVN,YUJ,3,299000
202107,CVN,EEB,30,144000
202107,CVN,ZDD,21,2412000
202107,CVN,SHK,14,2926000
202107,CVN,KYG,15,200000
202107,CVN,HZI,27,1200000
202107,CVN,SHK,13,10910000
202107,CVN,KYG,11,4319000
202107,CVN,EEB,13,8910000
202107,CVN,EEB,15,3880000
202107,CVN,JVP,15,1340000
202107,CVN,XIE,15,80000
202107,CVN,HZO,15,620000
202107,CVN,SHK,15,3100000
202107,CVN,HZI,15,32970000
202107,CVN,IEK,15,3600000
202107,CVN,HZI,13,117460000
202107,CVN,IUR,13,44340000
202107,CVN,CAZ,13,64440000
202107,CVN,VEA,13,26430000
202107,CVN,FYT,11,1887000
202107,CVN,IUR,15,13490000
202107,CVN,IGI,3,164826000
202107,CVN,QDF,21,7428000
202107,CVN,JFG,0,13835000
202107,CVN,TCH,1,296600000
202107,CVN,WHF,3,324000
202107,CVN,QDF,14,802000
202107,CVN,AZR,1,109000
202107,CVN,JFG,3,5000
202107,CVN,BVI,11,141375000
202107,CVN,RLM,3,28591000
202107,CVN,QIM,3,26597362000
202107,CVN,DSJ,0,159843887000
202107,CVN,XDG,0,40796348000
202107,CVN,IUR,21,67543000
202107,CVN,NXL,3,1952884000
202107,CVN,JOR,1,4239615000
202107,CVN,ZFS,3,1090489000
202107,CVN,ZVX,1,26166066000
202107,CVN,SCD,3,916705000
202107,CVN,HZO,3,50110435000
202107,CVN,CAZ,3,20401872000
202107,CVN,TGT,3,220247505000
202107,CVN,JVP,3,794670193000
202107,CVN,WZU,0,4069645000
202107,CVN,VEA,21,229265000
202107,CVN,AHN,1,7897286000
202107,CVN,GPM,3,2176527000
202107,CVN,TZF,0,221398615000
202107,CVN,MIQ,3,115737754000
202107,CVN,EEB,1,11874418000
202107,CVN,QDF,1,33707738000
202107,CVN,SXR,0,8805513000
202107,CVN,SHK,21,36720000
202107,CVN,ZVX,21,31645000
202107,CVN,PNA,3,48262000
202107,CVN,JVP,21,155000
202107,CVN,HNR,0,630571000
202107,CVN,MIQ,1,1020090000
202107,CVN,XIE,1,26224894000
202107,CVN,IEK,3,934055425000
202107,CVN,RLM,0,12441025000
202107,CVN,RII,1,52136916000
202107,CVN,HZI,21,226662000
202107,CVN,EEB,21,7954000
202107,CVN,ZFS,1,663081000
202107,CVN,CAZ,21,352544000
202107,CVN,AIG,3,4583778000
202107,CVN,NXL,1,1209134000
202107,CVN,AHN,3,1162817000
202107,CVN,IDN,3,10081056000
202107,CVN,RII,3,202040713000
202107,CVN,QDF,3,80449167000
202107,CVN,SHK,3,1823432442000
202107,CVN,VEA,3,965745925000
202107,CVN,XIE,3,185676617000
202107,CVN,FYT,3,110510070000
202107,CVN,EEB,3,138908752000
202107,CVN,UXE,0,6363818000
202107,CVN,IGI,0,195588699000
202107,CVN,BVI,3,1401771692000
