BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,DSJ,HZO,0,1032819000
202107,DSJ,UJN,0,354380000
202107,DSJ,TGT,0,43833000
202107,DSJ,TCH,0,336888000
202107,DSJ,AHN,0,2589000
202107,DSJ,FLX,0,7181000
202107,DSJ,VEA,0,6677133000
202107,DSJ,CVN,0,101045858000
202107,DSJ,BVI,0,149419899000
202107,DSJ,JVP,0,26644147000
202107,DSJ,IUR,0,84779000
202107,DSJ,KYG,0,53473591000
202107,DSJ,XIE,0,36090614000
202107,DSJ,CAZ,0,228539000
202107,DSJ,QIM,0,3111832000
202107,DSJ,HZI,0,1361412000
202107,DSJ,ZVX,0,177636000
202107,DSJ,RII,0,1019063000
202107,DSJ,HZI,1,217106000
202107,DSJ,CBX,1,214772000
202107,DSJ,KYG,1,831933000
202107,DSJ,ZFS,1,11020000
202107,DSJ,SCD,1,10580000
202107,DSJ,AHN,1,50200000
202107,DSJ,AIG,1,8340000
202107,DSJ,EEB,0,11832000
202107,DSJ,RII,1,76310000
202107,DSJ,MIQ,1,5580000
202107,DSJ,ZFS,0,7210000
202107,DSJ,IEK,1,4912254000
202107,DSJ,VEA,1,600680000
202107,DSJ,BVI,1,6754643000
202107,DSJ,XIE,1,607805000
202107,DSJ,IUR,1,65154000
202107,DSJ,JVP,1,981875000
202107,DSJ,FYT,1,57120000
202107,DSJ,CAZ,1,13340000
202107,DSJ,KFW,1,13800000
202107,DSJ,JOR,1,5770000
202107,DSJ,ZDD,1,6360000
202107,DSJ,TGT,1,21660000
202107,DSJ,SHK,1,8052224000
202107,DSJ,CVN,1,4335892000
202107,DSJ,SCD,0,4627000
202107,DSJ,JOR,0,1430000
202107,DSJ,KFW,0,100000
202107,DSJ,MIQ,0,1480000
202107,DSJ,QDF,1,11130000
202107,DSJ,HQI,0,548000
202107,DSJ,IDN,0,3682000
202107,DSJ,HQI,1,3540000
202107,DSJ,NXL,1,2700000
202107,DSJ,IEK,0,26777824000
202107,DSJ,SHK,0,358277431000
202107,DSJ,FYT,0,940881000
202107,DSJ,QDF,0,308443000
202107,DSJ,ZDD,0,29891000
202107,DSJ,CBX,0,120333000
202108,DSJ,ZFS,1,11020000
202108,DSJ,IDN,0,2259000
202108,DSJ,NXL,1,2640000
202108,DSJ,MIQ,1,5864000
202108,DSJ,KFW,1,13800000
202108,DSJ,JOR,1,5510000
202108,DSJ,AIG,1,8340000
202108,DSJ,VEA,0,7121138000
202108,DSJ,KYG,0,90772293000
202108,DSJ,JVP,0,29687393000
202108,DSJ,HQI,0,993000
202108,DSJ,ZVX,0,156455000
202108,DSJ,XIE,0,28934358000
202108,DSJ,HZI,0,1531864000
202108,DSJ,BVI,0,233792160000
202108,DSJ,SHK,0,494789685000
202108,DSJ,AHN,1,59560000
202108,DSJ,HZI,1,251214000
202108,DSJ,IUR,0,69890000
202108,DSJ,CAZ,1,13520000
202108,DSJ,MIQ,0,864000
202108,DSJ,ZDD,1,6130000
202108,DSJ,UJN,0,411359000
202108,DSJ,JVP,1,1077406000
202108,DSJ,JOR,0,8880000
202108,DSJ,EEB,0,6976000
202108,DSJ,KFW,0,100000
202108,DSJ,SCD,0,2670000
202108,DSJ,SCD,1,13020000
202108,DSJ,AHN,0,4762000
202108,DSJ,ZDD,0,43549000
202108,DSJ,KYG,1,801410000
202108,DSJ,FLX,0,8034000
202108,DSJ,IUR,1,80258000
202108,DSJ,TGT,1,41520000
202108,DSJ,QDF,1,22560000
202108,DSJ,CBX,1,195951000
