BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,EEB,SXR,0,113690000
202107,EEB,KFW,4,60000
202107,EEB,YUJ,4,300000
202107,EEB,TCH,0,164070000
202107,EEB,QIM,0,86799000
202107,EEB,ZFS,4,15416000
202107,EEB,RLM,4,300000
202107,EEB,YNB,4,899000
202107,EEB,AXQ,4,880000
202107,EEB,XDG,0,4374000
202107,EEB,AZR,0,349033000
202107,EEB,UJN,0,3305301000
202107,EEB,RLM,0,565523000
202107,EEB,WZU,0,41402000
202107,EEB,YCA,4,3800000
202107,EEB,PNA,4,754000
202107,EEB,SIF,4,17028000
202107,EEB,QOB,4,5952000
202107,EEB,UXE,4,5570000
202107,EEB,FLX,4,51539000
202107,EEB,AIG,4,36865000
202107,EEB,JOR,4,42572000
202107,EEB,IGI,4,3330000
202107,EEB,SMH,4,2370000
202107,EEB,KCK,4,4360000
202107,EEB,SSR,4,500000
202107,EEB,HNR,0,10152000
202107,EEB,WHF,4,350000
202107,EEB,RBR,4,1570000
202107,EEB,HQI,4,35722000
202107,EEB,MIQ,4,72689000
202107,EEB,YUJ,0,1286144000
202107,EEB,GPM,4,100658000
202107,EEB,ZVX,4,432467000
202107,EEB,NXL,4,24070000
202107,EEB,IDN,4,54162000
202107,EEB,HZO,4,270264000
202107,EEB,TGT,4,33023000
202107,EEB,CBX,4,564765000
202107,EEB,IEK,4,3718306000
202107,EEB,RII,4,203243000
202107,EEB,QDF,4,437809000
202107,EEB,IUR,4,1328806000
202107,EEB,BVI,4,2518523000
202107,EEB,CVN,4,2013035000
202107,EEB,VEA,4,3260717000
202107,EEB,XIE,4,112128000
202107,EEB,ZDD,4,286382000
202107,EEB,SCD,4,37173000
202107,EEB,AHN,4,75448000
202107,EEB,JVP,4,927862000
202107,EEB,KFW,0,454675000
202107,EEB,KYG,4,401445000
202107,EEB,CAZ,4,430143000
202107,EEB,SHK,4,2585343000
202107,EEB,HZI,4,4449914000
202107,EEB,FYT,4,551513000
202107,EEB,HQI,0,163453961000
202107,EEB,FLX,0,100621551000
202107,EEB,SCD,0,13377567000
202107,EEB,ZFS,0,10788766000
202107,EEB,YCA,0,56090017000
202107,EEB,SSR,0,965808000
202107,EEB,XIE,0,17783421000
202107,EEB,KCK,0,1419655000
202107,EEB,IDN,0,69256300000
202107,EEB,AIG,0,223413148000
202107,EEB,ZVX,0,274653247000
202107,EEB,ZDD,0,283404069000
202107,EEB,NXL,0,186160216000
202107,EEB,CAZ,0,255092513000
202107,EEB,KYG,0,273891551000
202107,EEB,AHN,0,68533740000
202107,EEB,GPM,0,3571734000
202107,EEB,JOR,0,168270161000
202107,EEB,CVN,0,568316453000
202107,EEB,IUR,0,217883590000
202107,EEB,BVI,0,709089163000
202107,EEB,HZO,0,77070929000
202107,EEB,SIF,0,35536004000
202107,EEB,FYT,0,335440215000
202107,EEB,IEK,0,1701850383000
202107,EEB,VEA,0,915765286000
202107,EEB,CBX,0,205043711000
202107,EEB,MIQ,0,93637767000
202107,EEB,QDF,0,475985051000
202107,EEB,SHK,0,1095559119000
202107,EEB,HZI,0,903838984000
202107,EEB,PNA,0,1446726000
202107,EEB,RII,0,170429992000
202107,EEB,JVP,0,682559132000
202107,EEB,TGT,0,13746453000
202107,EEB,SMH,0,6656427000
202107,EEB,RBR,0,1860057000
202107,EEB,YNB,0,1082461000
202107,EEB,IGI,0,15855639000
202107,EEB,AXQ,0,622246000
202107,EEB,UXE,0,151297000
202107,EEB,QOB,0,8180908000
202107,EEB,WHF,0,2576627000
202108,EEB,YNB,4,899000
202108,EEB,SHK,0,1017755880000
202108,EEB,VEA,0,946833478000
202108,EEB,CAZ,0,246349754000
202108,EEB,JVP,0,613382444000
202108,EEB,AHN,0,90140813000
202108,EEB,QDF,0,416374314000
202108,EEB,ZVX,0,272186623000
202108,EEB,JOR,0,138453764000
202108,EEB,ZFS,0,12433918000
202108,EEB,HZO,0,84058083000
202108,EEB,SXR,0,118426000
202108,EEB,DSJ,0,478000
202108,EEB,SSR,4,500000
202108,EEB,TCH,0,122236000
202108,EEB,WHF,4,350000
202108,EEB,IGI,4,3330000
202108,EEB,RLM,4,300000
202108,EEB,KFW,4,60000
202108,EEB,YUJ,4,300000
202108,EEB,AXQ,4,880000
202108,EEB,RBR,4,1770000
