BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,FLX,TGT,3,5690000
202107,FLX,HZO,1,393770000
202107,FLX,IDN,1,1790000
202107,FLX,MIQ,4,5710000
202107,FLX,SMH,4,1160000
202107,FLX,IDN,4,11880000
202107,FLX,RII,4,1500000
202107,FLX,XIE,4,52241000
202107,FLX,UXE,0,44470000
202107,FLX,IGI,0,383194000
202107,FLX,GPM,4,5180000
202107,FLX,TGT,4,7650000
202107,FLX,JOR,4,21070000
202107,FLX,UXE,4,2000000
202107,FLX,KFW,0,87343000
202107,FLX,TZF,0,83600000
202107,FLX,YCA,0,1630261000
202107,FLX,MIQ,3,2490000
202107,FLX,ZVX,4,17302000
202107,FLX,SCD,4,10200000
202107,FLX,AHN,4,8430000
202107,FLX,SIF,4,3200000
202107,FLX,KYG,1,114610000
202107,FLX,CBX,1,436357000
202107,FLX,RBR,0,78520000
202107,FLX,KCK,0,67448000
202107,FLX,FYT,3,10329000
202107,FLX,ZFS,1,8153000
202107,FLX,GPM,1,2090000
202107,FLX,FYT,1,150998000
202107,FLX,TGT,1,25830000
202107,FLX,ZVX,1,28289000
202107,FLX,NXL,4,10550000
202107,FLX,ZVX,3,37811000
202107,FLX,QDF,1,20439000
202107,FLX,JOR,1,15146000
202107,FLX,NXL,1,15142000
202107,FLX,SCD,1,18038000
202107,FLX,XIE,1,187380000
202107,FLX,HQI,1,2200000
202107,FLX,SCD,3,5486000
202107,FLX,MIQ,1,23099000
202107,FLX,AIG,4,3515000
202107,FLX,ZDD,4,2140000
202107,FLX,HZO,3,110213000
202107,FLX,QIM,3,45600000
202107,FLX,AIG,3,5010000
202107,FLX,JIK,0,11000000
202107,FLX,NXL,3,421000
202107,FLX,WZU,0,200000
202107,FLX,UJN,3,23500000
202107,FLX,GPM,3,16800000
202107,FLX,YNB,4,50000
202107,FLX,AIG,1,7730000
202107,FLX,QOB,3,84000
202107,FLX,AHN,3,7226000
202107,FLX,DSJ,0,2720000
202107,FLX,QIM,1,4951000
202107,FLX,ZDD,1,27580000
202107,FLX,TCH,0,10790000
202107,FLX,HQI,4,13600000
202107,FLX,RII,1,10677000
202107,FLX,TCH,3,20000000
202107,FLX,HNR,0,882000
202107,FLX,JOR,3,2709000
202107,FLX,UJN,0,1940653000
202107,FLX,AHN,1,22548000
202107,FLX,SHK,0,173849981000
202107,FLX,CAZ,0,5102432000
202107,FLX,NXL,0,9094640000
202107,FLX,SIF,0,4512471000
202107,FLX,BVI,3,17498645000
202107,FLX,CVN,3,25635777000
202107,FLX,FYT,0,12966964000
202107,FLX,SCD,0,2452012000
202107,FLX,CBX,0,24276202000
202107,FLX,SHK,3,47087475000
202107,FLX,ZFS,0,2721121000
202107,FLX,RII,3,137180000
202107,FLX,YUJ,0,4295000
202107,FLX,KYG,4,25140000
202107,FLX,FYT,4,12048000
202107,FLX,JVP,4,72280000
202107,FLX,HZO,4,152048000
202107,FLX,QDF,3,50942000
202107,FLX,QOB,0,360105000
202107,FLX,IUR,1,492229000
202107,FLX,KYG,3,11481538000
202107,FLX,SSR,0,50525000
202107,FLX,JVP,1,1128987000
202107,FLX,QDF,4,2780000
202107,FLX,CVN,4,185906000
202107,FLX,IUR,4,321535000
202107,FLX,TGT,0,5701185000
202107,FLX,WHF,0,317690000
202107,FLX,CBX,3,144928000
202107,FLX,JVP,3,1834307000
202107,FLX,QIM,0,395812000
202107,FLX,HZI,1,7095791000
202107,FLX,VEA,1,7153910000
202107,FLX,AXQ,0,41843000
202107,FLX,SHK,1,3066899000
202107,FLX,IDN,3,277000
202107,FLX,YNB,0,249773000
202107,FLX,BVI,1,1669121000
202107,FLX,SMH,0,1133537000
202107,FLX,JOR,0,7980092000
202107,FLX,CVN,0,66863514000
202107,FLX,ZVX,0,4045074000
202107,FLX,KYG,0,6568459000
202107,FLX,RII,0,2926501000
202107,FLX,XIE,0,4105181000
202107,FLX,MIQ,0,7853359000
202107,FLX,CAZ,1,237630000
202107,FLX,SHK,4,512981000
202107,FLX,CVN,1,1631671000
202107,FLX,HZI,4,725053000
202107,FLX,VEA,4,626836000
202107,FLX,CAZ,4,31936000
202107,FLX,IEK,1,2627928000
