BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,FYT,ZVX,1,158041000
202107,FYT,AIG,1,93893000
202107,FYT,HZO,14,3010000
202107,FYT,HZI,12,638483000
202107,FYT,IUR,12,1396102000
202107,FYT,PNA,4,10950000
202107,FYT,QOB,4,6182000
202107,FYT,ZDD,1,59176000
202107,FYT,IGI,4,1036000
202107,FYT,SMH,4,10125000
202107,FYT,FLX,11,1566000
202107,FYT,BVI,16,6000000
202107,FYT,VEA,27,300000
202107,FYT,QDF,16,600000
202107,FYT,HZI,27,300000
202107,FYT,KYG,16,550000
202107,FYT,RII,13,1120000
202107,FYT,BVI,13,14390000
202107,FYT,EEB,16,5683000
202107,FYT,CVN,16,3150000
202107,FYT,EEB,13,9680000
202107,FYT,BVI,15,4000000
202107,FYT,SHK,13,8980000
202107,FYT,HZO,15,1120000
202107,FYT,IEK,13,35270000
202107,FYT,CAZ,13,115600000
202107,FYT,RII,27,300000
202107,FYT,SHK,16,5200000
202107,FYT,HZI,14,25296000
202107,FYT,JVP,16,3883000
202107,FYT,DSJ,0,518122000
202107,FYT,KYG,15,540000
202107,FYT,YCA,4,6930000
202107,FYT,CAZ,14,21120000
202107,FYT,KCK,4,3670000
202107,FYT,XDG,4,1860000
202107,FYT,AXQ,4,50000
202107,FYT,ZQS,0,3002000
202107,FYT,SXR,0,451769000
202107,FYT,IUR,16,49181000
202107,FYT,HZI,11,1591965000
202107,FYT,FLX,1,80170000
202107,FYT,RBR,4,3840000
202107,FYT,KFW,4,19120000
202107,FYT,ZDD,4,14724000
202107,FYT,HQI,4,31813000
202107,FYT,RBR,1,7336000
202107,FYT,JIK,0,505000
202107,FYT,KYG,14,2844000
202107,FYT,CVN,14,1422000
202107,FYT,VEA,14,11580000
202107,FYT,IUR,14,63299000
202107,FYT,IEK,14,8438000
202107,FYT,PNA,1,42985000
202107,FYT,QOB,1,24265000
202107,FYT,FLX,12,1740000
202107,FYT,BVI,23,800000
202107,FYT,CVN,23,12200000
202107,FYT,CVN,12,91684000
202107,FYT,KYG,12,17049000
202107,FYT,VEA,23,2100000
202107,FYT,TGT,12,300000
202107,FYT,XIE,12,300000
202107,FYT,HZO,11,96645000
202107,FYT,SHK,23,400000
202107,FYT,HZO,23,300000
202107,FYT,IEK,16,12733000
202107,FYT,BVI,14,1422000
202107,FYT,ZFS,1,70102000
202107,FYT,YCA,1,2850000
202107,FYT,KCK,1,6270000
202107,FYT,EEB,11,215014000
202107,FYT,BVI,11,310744000
202107,FYT,JOR,1,176169000
202107,FYT,GPM,1,41707000
202107,FYT,SHK,14,3484000
202107,FYT,EEB,14,5150000
202107,FYT,CAZ,11,2083329000
202107,FYT,VEA,11,1143812000
