BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,GPM,IGI,0,535375000
202107,GPM,RBR,0,74220000
202107,GPM,YUJ,0,50960000
202107,GPM,KCK,0,76270000
202107,GPM,CAZ,0,3057126000
202107,GPM,VEA,0,33614718000
202107,GPM,YNB,0,3025000
202107,GPM,SCD,0,387338000
202107,GPM,NXL,0,7157045000
202107,GPM,BVI,0,19390989000
202107,GPM,HZO,0,2530612000
202107,GPM,CVN,0,10458069000
202107,GPM,TGT,0,1244096000
202107,GPM,MIQ,0,659958000
202107,GPM,FLX,0,88865000
202107,GPM,AHN,0,2563119000
202107,GPM,FYT,0,1385660000
202107,GPM,RII,0,1160061000
202107,GPM,ZFS,0,133275000
202107,GPM,QOB,0,152033000
202107,GPM,SIF,0,951150000
202107,GPM,AIG,0,5022333000
202107,GPM,QDF,0,3459038000
202107,GPM,JVP,0,9980537000
202107,GPM,IDN,0,1886651000
202107,GPM,AZR,0,63150000
202107,GPM,UJN,0,362100000
202107,GPM,SMH,0,85895000
202107,GPM,WHF,0,20437000
202107,GPM,PNA,0,7450000
202107,GPM,HNR,0,100000
202107,GPM,UXE,0,100000
202107,GPM,SSR,0,105660000
202107,GPM,RLM,0,430000
202107,GPM,XIE,0,467220000
202107,GPM,KYG,0,1649467000
202107,GPM,HQI,0,4659054000
202107,GPM,JOR,0,4105775000
202107,GPM,ZVX,0,1731146000
202107,GPM,EEB,0,3134045000
202107,GPM,IUR,0,4913705000
202107,GPM,ZDD,0,2058254000
202107,GPM,CBX,0,5745389000
202107,GPM,SHK,0,18876862000
202107,GPM,IEK,0,24984617000
202107,GPM,HZI,0,45166594000
202107,GPM,YCA,0,2152390000
202107,GPM,KFW,0,6980000
202108,GPM,RLM,0,108300000
202108,GPM,YUJ,0,300000
202108,GPM,FLX,0,63315000
202108,GPM,WHF,0,20485000
202108,GPM,WZU,0,50000000
202108,GPM,RBR,0,191868000
202108,GPM,AXQ,0,2717000
202108,GPM,UXE,0,50000
