BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,HNR,JVP,3,466018000
202107,HNR,DSJ,3,48734000
202107,HNR,SHK,3,192783000
202107,HNR,VEA,3,796447000
202107,HNR,IEK,3,719424000
202107,HNR,HZI,3,293580000
202107,HNR,AHN,3,27139000
202107,HNR,HZI,0,1280000
202107,HNR,CVN,3,336899000
202107,HNR,BVI,3,783254000
202107,HNR,IEK,0,113054000
202107,HNR,CAZ,3,1000
202107,HNR,MIQ,3,9000
202107,HNR,EEB,3,10000
202107,HNR,AHN,0,3610000
202107,HNR,TGT,0,2670000
202107,HNR,SHK,0,23208000
202107,HNR,KYG,0,1601000
202107,HNR,BVI,0,25721000
202107,HNR,QIM,3,335046000
202107,HNR,CVN,0,114422000
202107,HNR,ZDD,0,1590000
202107,HNR,IEK,1,192790000
202107,HNR,JVP,1,37940000
202107,HNR,AHN,1,6330000
202107,HNR,CVN,1,167050000
202107,HNR,BVI,1,147350000
202107,HNR,TGT,1,7010000
202107,HNR,VEA,1,27090000
202107,HNR,SHK,1,182870000
202107,HNR,HZI,1,4130000
202107,HNR,SCD,1,5780000
202107,HNR,KYG,1,25090000
202107,HNR,JVP,0,1380000
202107,HNR,ZFS,3,64000
202107,HNR,VEA,0,3480000
202107,HNR,RII,3,207750000
202107,HNR,IUR,3,35771000
202107,HNR,XIE,3,2895000
202107,HNR,IDN,3,20000000
202107,HNR,HZO,3,7200000
202107,HNR,FYT,3,16466000
202107,HNR,CBX,3,18925000
202108,HNR,KYG,0,4140000
202108,HNR,SMH,3,23300000
202108,HNR,RII,3,50410000
202108,HNR,QDF,3,29000000
202108,HNR,JVP,3,2740866000
202108,HNR,CVN,3,231849000
202108,HNR,HZO,3,71740000
202108,HNR,TGT,0,3650000
202108,HNR,XIE,0,2160000
202108,HNR,AHN,0,3368000
202108,HNR,IEK,0,58120000
202108,HNR,ZVX,3,83310000
202108,HNR,KYG,3,602000
202108,HNR,CAZ,3,4636000
202108,HNR,CVN,1,156595000
202108,HNR,CVN,0,142060000
202108,HNR,SCD,1,5780000
202108,HNR,TGT,1,7010000
202108,HNR,VEA,1,25830000
202108,HNR,SHK,1,178820000
202108,HNR,AHN,1,5800000
202108,HNR,HZI,1,4260000
202108,HNR,KYG,1,29970000
202108,HNR,QIM,3,423200000
202108,HNR,IEK,1,176340000
202108,HNR,BVI,1,160470000
202108,HNR,JVP,1,34990000
202108,HNR,ZFS,3,99000
202108,HNR,VEA,0,10192000
202108,HNR,ZDD,0,1460000
202108,HNR,NXL,3,500000
202108,HNR,BVI,0,66573000
202108,HNR,JVP,0,9805000
202108,HNR,SHK,0,41335000
