BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,HQI,XIE,4,12275000
202107,HQI,ZDD,4,9997000
202107,HQI,TGT,4,40118000
202107,HQI,NXL,4,8151000
202107,HQI,IGI,4,1650000
202107,HQI,QDF,4,42129000
202107,HQI,QIM,0,8540000
202107,HQI,RII,4,6846000
202107,HQI,SCD,4,13286000
202107,HQI,ZFS,4,16621000
202107,HQI,CAZ,4,30094000
202107,HQI,PNA,4,615000
202107,HQI,QOB,4,180000
202107,HQI,SMH,4,290000
202107,HQI,YCA,4,600000
202107,HQI,HNR,0,70000
202107,HQI,XDG,0,6670000
202107,HQI,RBR,4,100000
202107,HQI,KFW,4,140000
202107,HQI,JVP,4,130595000
202107,HQI,BVI,4,380367000
202107,HQI,IUR,4,181451000
202107,HQI,HZI,4,152720000
202107,HQI,CVN,4,294397000
202107,HQI,KFW,0,2109826000
202107,HQI,KCK,0,59569565000
202107,HQI,GPM,0,1533075000
202107,HQI,YNB,0,13576310000
202107,HQI,RLM,0,1924477000
202107,HQI,PNA,0,4525136000
202107,HQI,JVP,0,221961984000
202107,HQI,AIG,0,1545408621000
202107,HQI,FYT,0,50648852000
202107,HQI,ZFS,0,64351637000
202107,HQI,BVI,0,618411703000
202107,HQI,IEK,0,1033198476000
202107,HQI,CBX,0,718603092000
202107,HQI,MIQ,0,288638122000
202107,HQI,HZO,0,36923917000
202107,HQI,KYG,0,77105111000
202107,HQI,NXL,0,1063978348000
202107,HQI,WHF,0,9392502000
202107,HQI,RII,0,23763777000
202107,HQI,SMH,0,128574879000
202107,HQI,CBX,4,152213000
202107,HQI,IGI,0,53009939000
202107,HQI,SXR,0,2870445000
202107,HQI,SCD,0,35868038000
202107,HQI,ZDD,0,6025600000
202107,HQI,IDN,0,435356516000
202107,HQI,JOR,0,1802963963000
202107,HQI,AZR,0,4780735000
202107,HQI,FLX,0,2130984000
202107,HQI,SSR,0,227617000
202107,HQI,EEB,0,51230869000
202107,HQI,TGT,0,74093692000
202107,HQI,AHN,0,56935306000
202107,HQI,HZI,0,489510819000
202107,HQI,YCA,0,506139450000
202107,HQI,HZO,4,55228000
202107,HQI,WZU,0,9686586000
202107,HQI,CAZ,0,66681551000
202107,HQI,SIF,0,83375890000
202107,HQI,VEA,0,571936381000
202107,HQI,IEK,4,509210000
202107,HQI,AIG,4,44291000
202107,HQI,JOR,4,30115000
202107,HQI,QOB,0,36651938000
202107,HQI,MIQ,4,264475000
202107,HQI,XIE,0,39765267000
202107,HQI,AXQ,0,560357000
202107,HQI,ZVX,0,25373832000
202107,HQI,IUR,0,186227389000
202107,HQI,CVN,0,525482909000
202107,HQI,SHK,0,661812563000
202107,HQI,QDF,0,71793484000
202107,HQI,UXE,0,1197112000
202107,HQI,RBR,0,14144506000
202107,HQI,YUJ,0,9979123000
202107,HQI,FLX,4,24455000
202107,HQI,GPM,4,4680000
202107,HQI,IDN,4,30301000
202107,HQI,ZVX,4,21004000
202107,HQI,AHN,4,45824000
202107,HQI,SHK,4,361259000
202107,HQI,FYT,4,35125000
202107,HQI,KYG,4,60603000
202107,HQI,EEB,4,100400000
202107,HQI,VEA,4,257392000
202108,HQI,XDG,0,5900000
202108,HQI,HNR,0,500000
202108,HQI,JFG,0,120000
202108,HQI,ZVX,0,35545190000
202108,HQI,JOR,0,653919690000
202108,HQI,KFW,4,40000
202108,HQI,CAZ,0,55026741000
202108,HQI,KYG,0,74198521000
202108,HQI,IUR,0,184159062000
202108,HQI,TGT,0,49655631000
202108,HQI,JVP,0,267108300000
202108,HQI,QDF,0,75273607000
202108,HQI,HZI,0,547099384000
202108,HQI,BVI,0,664639498000
202108,HQI,VEA,0,671231368000
202108,HQI,SHK,0,695369886000
202108,HQI,AIG,0,1032662082000
202108,HQI,IDN,0,1888561490000
202108,HQI,SIF,0,232298411000
202108,HQI,QIM,0,3580000
202108,HQI,UJN,0,522000
202108,HQI,PNA,4,615000
202108,HQI,JIK,0,2313000
202108,HQI,MIQ,0,267683149000
202108,HQI,HZO,0,37323562000
