BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,HZI,IEK,4,46287554000
202107,HZI,EEB,4,22252621000
202107,HZI,IUR,4,34043669000
202107,HZI,CVN,4,23230184000
202107,HZI,JOR,3,7984000
202107,HZI,IDN,3,11422000
202107,HZI,SCD,3,24089000
202107,HZI,AHN,4,508515000
202107,HZI,BVI,4,25576248000
202107,HZI,QDF,4,5610011000
202107,HZI,FLX,4,684442000
202107,HZI,XIE,1,513441000
202107,HZI,YUJ,4,5840000
202107,HZI,ZFS,4,172982000
202107,HZI,IGI,4,36252000
202107,HZI,YCA,4,56918000
202107,HZI,SCD,4,283977000
202107,HZI,SIF,4,203299000
202107,HZI,JOR,4,424632000
202107,HZI,XIE,4,1167405000
202107,HZI,MIQ,4,1205088000
202107,HZI,IDN,1,68159000
202107,HZI,QIM,1,220000
202107,HZI,TGT,1,257674000
202107,HZI,QIM,3,88434000
202107,HZI,DSJ,0,25228000
202107,HZI,RII,4,3352558000
202107,HZI,RBR,4,16324000
202107,HZI,ZQS,0,55210000
202107,HZI,YNB,4,6450000
202107,HZI,ZVX,1,1168725000
202107,HZI,RII,3,4074993000
202107,HZI,JVP,3,35605979000
202107,HZI,GPM,1,127209000
202107,HZI,CVN,3,13236943000
202107,HZI,ZFS,3,6432000
202107,HZI,FYT,3,1222968000
202107,HZI,FYT,1,1669554000
202107,HZI,FLX,3,1527389000
202107,HZI,QDF,1,4068404000
202107,HZI,HZO,3,2799608000
202107,HZI,IEK,3,34097987000
202107,HZI,EEB,3,2605872000
202107,HZI,GPM,3,710035000
202107,HZI,JOR,1,67967000
202107,HZI,AIG,3,2139000
202107,HZI,SHK,4,25591749000
202107,HZI,HZO,4,6746269000
202107,HZI,CBX,4,8111041000
202107,HZI,JVP,4,11292600000
202107,HZI,FYT,4,2928940000
202107,HZI,CAZ,4,8016251000
202107,HZI,IDN,4,576604000
202107,HZI,AXQ,4,6690000
202107,HZI,UXE,4,45926000
202107,HZI,SCD,1,56652000
202107,HZI,SMH,4,64712000
202107,HZI,KCK,4,19606000
202107,HZI,NXL,4,215501000
202107,HZI,PNA,4,20302000
202107,HZI,QOB,4,76267000
202107,HZI,HQI,4,492624000
202107,HZI,ZDD,4,1674199000
202107,HZI,KYG,4,3625810000
202107,HZI,TGT,4,475490000
202107,HZI,ZVX,4,3164652000
202107,HZI,GPM,4,3313413000
202107,HZI,AIG,4,267124000
202107,HZI,WHF,4,11550000
202107,HZI,RLM,4,3480000
202107,HZI,SXR,4,700000
202107,HZI,KFW,4,14138000
202107,HZI,SSR,4,1110000
202107,HZI,AHN,3,61285000
202107,HZI,QOB,3,371000
202107,HZI,NXL,3,59091000
202107,HZI,TZF,0,56275000
202107,HZI,MIQ,1,56347000
202107,HZI,KYG,3,1303821000
202107,HZI,SMH,3,5093000
202107,HZI,AXQ,1,3540000
202107,HZI,RBR,1,328000
202107,HZI,NXL,1,38072000
202107,HZI,AIG,1,8549000
202107,HZI,HQI,1,55717000
202107,HZI,PNA,3,593000
202107,HZI,ZFS,1,27449000
202107,HZI,HQI,3,4245000
202107,HZI,RBR,3,2039000
202107,HZI,SIF,1,3450000
202107,HZI,PNA,1,55000
202107,HZI,KCK,1,917000
202107,HZI,YCA,1,1915000
202107,HZI,SIF,3,688000
202107,HZI,KFW,3,2528000
202107,HZI,SMH,1,4265000
202107,HZI,QOB,1,24595000
202107,HZI,KFW,1,23890000
202107,HZI,YCA,3,1269000
202107,HZI,QIM,4,264000
202107,HZI,JFG,0,20000
202107,HZI,AZR,4,371000
202107,HZI,HNR,3,230000
202107,HZI,KCK,3,457000
202107,HZI,CVN,1,17280791000
202107,HZI,AHN,1,416381000
202107,HZI,IUR,1,8096738000
202107,HZI,HZO,1,1136160000
202107,HZI,WZU,0,971406000
202107,HZI,IEK,1,41500176000
202107,HZI,SHK,1,33681777000
202107,HZI,BVI,1,21409255000
202107,HZI,RII,1,4263652000
202107,HZI,JVP,1,15957023000
202107,HZI,XDG,0,338445000
202107,HZI,QIM,0,4549723000
202107,HZI,CBX,1,3603803000
202107,HZI,EEB,1,2680725000
202107,HZI,CAZ,1,6615682000
202107,HZI,HNR,0,167963000
202107,HZI,KYG,1,2129100000
202107,HZI,ZFS,0,84992047000
202107,HZI,JVP,0,4839403550000
202107,HZI,IEK,0,7738824775000
202107,HZI,CBX,0,1726447835000
202107,HZI,BVI,0,3891335707000
202107,HZI,CVN,0,3233955456000
202107,HZI,IDN,0,411578695000
202107,HZI,WHF,0,18581522000
202107,HZI,SCD,0,86847528000
202107,HZI,NXL,0,1042902229000
202107,HZI,XIE,0,160574231000
202107,HZI,JOR,0,964527304000
202107,HZI,KCK,0,17473270000
202107,HZI,ZDD,0,288708269000
202107,HZI,AIG,0,1154773274000
202107,HZI,MIQ,0,248903497000
202107,HZI,HZO,0,541682019000
202107,HZI,FYT,0,529760693000
202107,HZI,IUR,0,1673838315000
202107,HZI,SMH,0,70066897000
202107,HZI,EEB,0,949255720000
202107,HZI,RII,0,497545739000
202107,HZI,KYG,0,357046111000
202107,HZI,ZVX,0,590828787000
202107,HZI,CAZ,0,636002554000
202107,HZI,SIF,0,390507331000
202107,HZI,QOB,0,52172098000
202107,HZI,TGT,0,101390967000
202107,HZI,FLX,0,112954525000
202107,HZI,AHN,0,576568007000
202107,HZI,HQI,0,1152507123000
202107,HZI,QDF,0,873259024000
202107,HZI,AXQ,0,4721125000
202107,HZI,SHK,0,4938075060000
202107,HZI,UXE,0,1908686000
202107,HZI,GPM,0,60589731000
202107,HZI,RBR,0,17927192000
202107,HZI,YUJ,0,7790582000
202107,HZI,SSR,0,6468261000
202107,HZI,KFW,0,5040955000
202107,HZI,YNB,0,14479198000
202107,HZI,YCA,0,262640173000
202107,HZI,IGI,0,87419028000
202107,HZI,AZR,0,6003871000
202107,HZI,PNA,0,9928132000
202107,HZI,UJN,0,58493711000
202107,HZI,SXR,0,2183954000
202107,HZI,FLX,1,601747000
202107,HZI,TCH,0,852067000
202107,HZI,RLM,0,1469353000
202107,HZI,MIQ,3,20786000
202107,HZI,TGT,3,242710000
202107,HZI,XIE,3,766017000
202107,HZI,JIK,0,182353000
202107,HZI,ZVX,3,3294198000
202107,HZI,SHK,3,20478318000
202107,HZI,BVI,3,15179716000
202107,HZI,CAZ,3,3583803000
202107,HZI,QDF,3,5804547000
202107,HZI,CBX,3,1834762000
202107,HZI,IUR,3,4007887000
202107,HZI,ZDD,3,1866475000
202107,HZI,ZDD,1,1751568000
202108,HZI,DSJ,3,620000
202108,HZI,SHK,0,4844929992000
202108,HZI,YCA,0,66513784000
202108,HZI,IDN,0,1417446787000
202108,HZI,QDF,0,830445378000
202108,HZI,JOR,0,797204027000
202108,HZI,CAZ,0,653184608000
202108,HZI,SMH,0,335835150000
202108,HZI,UJN,0,57030040000
202108,HZI,BVI,0,4023443748000
202108,HZI,JVP,0,4633056577000
202108,HZI,IEK,0,7428973311000
202108,HZI,HQI,3,1473000
202108,HZI,QIM,3,70256000
202108,HZI,RBR,3,1430000
202108,HZI,MIQ,3,6950000
202108,HZI,AHN,0,768554138000
202108,HZI,CBX,0,1787527466000
202108,HZI,IGI,0,139428755000
202108,HZI,TGT,0,80993176000
202108,HZI,AXQ,0,4847246000
202108,HZI,SMH,1,3995000
202108,HZI,QIM,4,264000
202108,HZI,KFW,1,10390000
202108,HZI,KCK,1,995000
202108,HZI,PNA,1,55000
202108,HZI,HNR,3,230000
202108,HZI,AXQ,1,3230000
202108,HZI,AZR,4,1371000
202108,HZI,NXL,1,38783000
202108,HZI,KFW,3,1897000
202108,HZI,SIF,3,1600000
202108,HZI,RBR,1,446000
202108,HZI,YCA,3,1156000
202108,HZI,QIM,1,220000
202108,HZI,SXR,4,800000
202108,HZI,KCK,3,220000
202108,HZI,AIG,1,7554000
202108,HZI,SIF,1,3777000
202108,HZI,RII,4,3566564000
202108,HZI,SCD,4,306385000
