BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,HZO,QDF,3,1417000
202107,HZO,IUR,3,89600000
202107,HZO,TGT,3,6751000
202107,HZO,TGT,4,18626000
202107,HZO,SCD,3,52000
202107,HZO,HQI,4,19779000
202107,HZO,AIG,4,10678000
202107,HZO,AHN,3,228000
202107,HZO,IDN,3,9000
202107,HZO,ZFS,4,9705000
202107,HZO,WZU,0,125002000
202107,HZO,HZI,1,3067455000
202107,HZO,CAZ,1,423009000
202107,HZO,XIE,3,79000
202107,HZO,XIE,4,125541000
202107,HZO,NXL,4,8110000
202107,HZO,KYG,1,360415000
202107,HZO,QOB,4,16429000
202107,HZO,XIE,0,53025640000
202107,HZO,RBR,0,513531000
202107,HZO,YCA,0,30869452000
202107,HZO,CVN,1,2171607000
202107,HZO,SHK,0,1543898064000
202107,HZO,KFW,0,853258000
202107,HZO,GPM,4,48153000
202107,HZO,KYG,4,268715000
202107,HZO,VEA,4,2017574000
202107,HZO,HZI,3,60981000
202107,HZO,YNB,0,473551000
202107,HZO,KYG,0,147996275000
202107,HZO,CAZ,3,556000
202107,HZO,ZDD,4,75380000
202107,HZO,IGI,0,9196672000
202107,HZO,QIM,0,22586559000
202107,HZO,JOR,4,26536000
202107,HZO,IDN,4,32040000
202107,HZO,FYT,1,1677726000
202107,HZO,FLX,4,133691000
202107,HZO,AXQ,0,241409000
202107,HZO,JVP,4,695034000
202107,HZO,CVN,3,655224000
202107,HZO,SHK,3,2055878000
202107,HZO,YCA,4,2220000
202107,HZO,AZR,0,6958577000
202107,HZO,BVI,1,8463618000
202107,HZO,SHK,1,3386640000
202107,HZO,SCD,0,11882899000
202107,HZO,IEK,3,6540657000
202107,HZO,JOR,0,115565417000
202107,HZO,AHN,0,29678891000
202107,HZO,VEA,0,594917332000
202107,HZO,FYT,0,101629657000
202107,HZO,RII,0,37081622000
202107,HZO,IEK,0,1029299944000
202107,HZO,HZI,4,2597508000
202107,HZO,IUR,1,380703000
202107,HZO,JVP,1,2073364000
202107,HZO,MIQ,4,57957000
202107,HZO,ZDD,3,5608000
202107,HZO,JOR,3,75000
202107,HZO,SMH,4,4070000
202107,HZO,QDF,4,141496000
202107,HZO,KYG,3,2322000
202107,HZO,FYT,3,1203000
202107,HZO,RLM,0,24388000
202107,HZO,RBR,4,1717000
202107,HZO,QOB,3,14000
202107,HZO,UXE,4,3750000
202107,HZO,ZVX,1,155528000
202107,HZO,EEB,1,866473000
202107,HZO,SIF,4,18443000
202107,HZO,TCH,0,2156620000
202107,HZO,CAZ,4,403409000
202107,HZO,UJN,0,731501000
202107,HZO,CBX,4,298499000
202107,HZO,HQI,0,121210602000
202107,HZO,FLX,3,101000
202107,HZO,PNA,0,1229952000
202107,HZO,BVI,3,2534888000
202107,HZO,SIF,0,20542243000
202107,HZO,CBX,0,97794654000
202107,HZO,ZVX,0,55651639000
202107,HZO,IEK,1,12236728000
202107,HZO,AIG,0,139619484000
202107,HZO,IUR,0,162981973000
202107,HZO,NXL,0,143964197000
202107,HZO,IDN,1,38840000
202107,HZO,QDF,1,198639000
202107,HZO,ZFS,1,8003000
202107,HZO,KFW,4,360000
202107,HZO,PNA,1,3010000
202107,HZO,SCD,1,10270000
202107,HZO,AIG,1,20010000
202107,HZO,ZDD,1,446710000
202107,HZO,CBX,1,447826000
202107,HZO,XIE,1,101324000
202107,HZO,TGT,1,100341000
202107,HZO,XDG,0,30530000
202107,HZO,RII,1,321106000
202107,HZO,AHN,1,62170000
202107,HZO,JOR,1,21356000
202107,HZO,MIQ,1,25950000
202107,HZO,FLX,1,27106000
202107,HZO,DSJ,0,627000
202107,HZO,KCK,4,2400000
202107,HZO,PNA,4,100000
202107,HZO,IGI,4,115000
202107,HZO,RII,17,6000000
202107,HZO,YNB,4,100000
202107,HZO,IUR,17,36372000
202107,HZO,HNR,4,200000
202107,HZO,HNR,0,1480000
202107,HZO,MIQ,3,539400000
202107,HZO,NXL,1,839000
202107,HZO,QOB,1,4170000
202107,HZO,SHK,4,1713988000
202107,HZO,CAZ,0,49694758000
202107,HZO,QDF,0,48013415000
202107,HZO,IDN,0,37081766000
202107,HZO,IEK,4,2690739000
202107,HZO,SMH,0,5371512000
202107,HZO,TGT,0,22364218000
202107,HZO,FLX,0,23604108000
202107,HZO,ZDD,0,45583832000
202107,HZO,CVN,4,1391556000
202107,HZO,EEB,0,105061859000
202107,HZO,MIQ,0,74383936000
202107,HZO,GPM,0,3848411000
202107,HZO,CVN,0,777696113000
202107,HZO,HZI,0,607779996000
202107,HZO,BVI,0,885372195000
202107,HZO,JVP,0,615840873000
202107,HZO,SCD,4,12080000
202107,HZO,CBX,3,21186000
202107,HZO,RII,3,8665042000
202107,HZO,ZVX,3,20871170000
202107,HZO,ZVX,4,106236000
202107,HZO,YUJ,0,2448527000
202107,HZO,UXE,0,252208000
202107,HZO,AHN,4,31688000
202107,HZO,FYT,4,284242000
202107,HZO,VEA,1,4148158000
202107,HZO,RII,4,169474000
202107,HZO,EEB,3,135000
202107,HZO,SSR,0,244912000
202107,HZO,SXR,0,737135000
202107,HZO,ZFS,0,7697458000
202107,HZO,QOB,0,3412532000
202107,HZO,BVI,4,1569437000
202107,HZO,IUR,4,824646000
202107,HZO,EEB,4,560361000
202107,HZO,WHF,0,934941000
202107,HZO,KCK,0,2031790000
202107,HZO,JVP,3,8628630000
202107,HZO,VEA,3,4037501000
202108,HZO,IGI,4,115000
202108,HZO,AIG,1,16960000
202108,HZO,SCD,3,37000
202108,HZO,SMH,4,2070000
202108,HZO,XIE,3,47000
202108,HZO,QOB,3,13000
202108,HZO,PNA,1,3010000
202108,HZO,YCA,4,920000
202108,HZO,ZVX,3,10297360000
202108,HZO,SIF,4,15720000
202108,HZO,SCD,1,12018000
202108,HZO,XDG,0,11422000
202108,HZO,EEB,1,832094000
202108,HZO,FLX,0,21797328000
202108,HZO,BVI,0,920112939000
202108,HZO,SHK,0,1558612409000
202108,HZO,CVN,0,687896577000
202108,HZO,VEA,0,660386390000
202108,HZO,CBX,0,104318042000
202108,HZO,AHN,0,38598951000
202108,HZO,CVN,4,1469701000
202108,HZO,HZI,0,611860033000
202108,HZO,JIK,0,500000
202108,HZO,HNR,0,40000
202108,HZO,FYT,0,106999523000
202108,HZO,XIE,0,69442799000
