BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,IDN,JIK,0,2000000
202107,IDN,HNR,0,3145000
202107,IDN,UJN,0,44000000
202107,IDN,JFG,0,1000000
202107,IDN,QIM,0,7960000
202107,IDN,KYG,0,71596483000
202107,IDN,AHN,0,102723570000
202107,IDN,CBX,0,203833967000
202107,IDN,JOR,0,1086587296000
202107,IDN,IEK,0,925762420000
202107,IDN,SHK,0,565211286000
202107,IDN,VEA,0,331849480000
202107,IDN,SSR,0,1097292000
202107,IDN,RBR,0,8190540000
202107,IDN,TGT,0,36965003000
202107,IDN,QOB,0,27106962000
202107,IDN,KFW,0,3200317000
202107,IDN,YNB,0,20706715000
202107,IDN,HZO,0,47430730000
202107,IDN,SXR,0,6601034000
202107,IDN,WZU,0,5256324000
202107,IDN,AXQ,0,867252000
202107,IDN,IGI,0,48061843000
202107,IDN,BVI,0,512215402000
202107,IDN,EEB,0,56109912000
202107,IDN,RLM,0,2624929000
202107,IDN,YUJ,0,6902245000
202107,IDN,WHF,0,28304516000
202107,IDN,PNA,0,13231673000
202107,IDN,UXE,0,1778565000
202107,IDN,SCD,0,17610425000
202107,IDN,ZDD,0,12858350000
202107,IDN,ZVX,0,19788002000
202107,IDN,NXL,0,849361200000
202107,IDN,SIF,0,147445480000
202107,IDN,RII,0,23513928000
202107,IDN,HQI,0,1114547376000
202107,IDN,MIQ,0,311084205000
202107,IDN,AIG,0,1294287950000
202107,IDN,AZR,0,3949752000
202107,IDN,XDG,0,198074000
202107,IDN,FLX,0,2227204000
202107,IDN,GPM,0,2090040000
202107,IDN,SMH,0,74352555000
202107,IDN,KCK,0,46785378000
202107,IDN,XIE,0,34076560000
202107,IDN,ZFS,0,47152898000
202107,IDN,IUR,0,182180211000
202107,IDN,FYT,0,54099912000
202107,IDN,CAZ,0,46478887000
202107,IDN,CVN,0,486581771000
202107,IDN,JVP,0,202057017000
202107,IDN,HZI,0,291283121000
202107,IDN,QDF,0,47430643000
202107,IDN,YCA,0,412623582000
202108,IDN,XDG,0,229889000
202108,IDN,JIK,0,10000000
202108,IDN,UJN,0,228000
202108,IDN,KYG,0,109732514000
202108,IDN,YNB,0,15954699000
202108,IDN,TGT,0,96713410000
202108,IDN,QIM,0,49537000
202108,IDN,JFG,0,16100000
202108,IDN,JVP,0,291504185000
202108,IDN,BVI,0,753404863000
202108,IDN,WHF,0,17180081000
202108,IDN,SHK,0,906448910000
202108,IDN,CBX,0,337923993000
202108,IDN,HZI,0,408890830000
202108,IDN,IEK,0,1331610233000
202108,IDN,GPM,0,2134965000
202108,IDN,SSR,0,1180116000
202108,IDN,KFW,0,9790558000
