BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,IEK,QIM,4,4502772000
202107,IEK,RLM,4,23530000
202107,IEK,KFW,4,44388000
202107,IEK,UJN,3,878908000
202107,IEK,HNR,4,4130000
202107,IEK,SMH,1,759382000
202107,IEK,UJN,4,4960000
202107,IEK,TGT,11,1110000
202107,IEK,BVI,15,40000
202107,IEK,HZI,15,3240000
202107,IEK,CVN,16,100000
202107,IEK,CAZ,13,44650000
202107,IEK,SHK,15,320000
202107,IEK,CVN,13,8120000
202107,IEK,IUR,16,600000
202107,IEK,KYG,11,26591000
202107,IEK,EEB,13,1180000
202107,IEK,HZO,13,4170000
202107,IEK,KFW,1,277179000
202107,IEK,SXR,4,1400000
202107,IEK,KCK,1,32069000
202107,IEK,ZDD,26,130560000
202107,IEK,QOB,1,639430000
202107,IEK,SCD,3,168027000
202107,IEK,RII,26,248639000
202107,IEK,HQI,4,781515000
202107,IEK,ZFS,4,592823000
202107,IEK,FLX,4,516041000
202107,IEK,SSR,4,3055000
202107,IEK,RBR,4,41058000
202107,IEK,AIG,1,5645442000
202107,IEK,KCK,4,37932000
202107,IEK,UXE,4,163343000
202107,IEK,SMH,4,184625000
202107,IEK,CAZ,4,7493177000
202107,IEK,GPM,4,862251000
202107,IEK,HZO,4,9010885000
202107,IEK,CBX,4,19920018000
202107,IEK,XIE,4,3922991000
202107,IEK,ZDD,4,1649737000
202107,IEK,ZQS,0,1476724000
202107,IEK,JIK,0,316738000
202107,IEK,RBR,1,73807000
202107,IEK,KYG,4,12034997000
202107,IEK,RII,4,2796480000
202107,IEK,IUR,4,31949708000
202107,IEK,JVP,4,29945012000
202107,IEK,BVI,4,67878784000
202107,IEK,AHN,4,2263461000
202107,IEK,HZI,4,64952765000
202107,IEK,SHK,4,65631295000
202107,IEK,VEA,4,66372643000
202107,IEK,QDF,4,7851454000
202107,IEK,YNB,4,10800000
202107,IEK,WHF,4,35158000
202107,IEK,AZR,4,9740000
202107,IEK,GPM,3,28032000
202107,IEK,FLX,26,3770000
202107,IEK,QIM,3,521444000
202107,IEK,FYT,26,196880000
202107,IEK,YUJ,4,22675000
202107,IEK,ZFS,3,80455000
202107,IEK,NXL,4,1570328000
202107,IEK,TGT,4,1652198000
202107,IEK,YCA,4,147714000
202107,IEK,EEB,4,15188577000
202107,IEK,AIG,4,787595000
202107,IEK,BVI,14,2370000
202107,IEK,AXQ,4,28855000
202107,IEK,IUR,23,1600000
202107,IEK,SHK,11,345609000
202107,IEK,HNR,1,528000
202107,IEK,BVI,11,438072000
202107,IEK,VEA,23,600000
202107,IEK,HZI,11,770250000
202107,IEK,CAZ,11,553093000
202107,IEK,ZVX,26,15204000
202107,IEK,YNB,1,4552000
202107,IEK,HZO,28,30150000
202107,IEK,YCA,1,403586000
202107,IEK,CVN,12,84342000
202107,IEK,HZO,18,54004000
202107,IEK,CAZ,18,1232732000
202107,IEK,IUR,11,327952000
202107,IEK,YCA,3,5804000
202107,IEK,VEA,12,115662000
202107,IEK,ZDD,28,9430000
202107,IEK,FYT,28,8160000
202107,IEK,IGI,3,8680000
202107,IEK,YNB,3,1310000
202107,IEK,IUR,28,156201000
202107,IEK,FLX,18,23370000
202107,IEK,CVN,18,735209000
202107,IEK,BVI,18,1117648000
202107,IEK,CAZ,23,400000
202107,IEK,FYT,12,300000
202107,IEK,FLX,28,1850000
202107,IEK,DSJ,4,130000
202107,IEK,PNA,3,2245000
202107,IEK,ZVX,23,100000
202107,IEK,KYG,18,1630000
202107,IEK,EEB,26,72244000
202107,IEK,HQI,3,1603000
202107,IEK,VEA,14,11874000
202107,IEK,SHK,14,2844000
202107,IEK,HZI,14,27224000
202107,IEK,CAZ,14,7438000
202107,IEK,HZO,26,27727000
202107,IEK,AIG,3,291144000
202107,IEK,XIE,12,600000
202107,IEK,HZI,23,1400000
202107,IEK,SMH,3,3170000
202107,IEK,BVI,23,800000
202107,IEK,EEB,12,10166000
202107,IEK,ZVX,28,9840000
202107,IEK,EEB,23,300000
202107,IEK,JVP,23,700000
202107,IEK,SHK,23,800000
202107,IEK,WHF,1,61117000
202107,IEK,BVI,12,170181000
202107,IEK,SHK,12,178214000
202107,IEK,CVN,23,6900000
202107,IEK,ZVX,12,59520000
202107,IEK,KYG,12,13058000
202107,IEK,HZO,12,11640000
202107,IEK,CAZ,12,214672000
202107,IEK,IUR,12,106422000
202107,IEK,JVP,12,88152000
202107,IEK,IDN,28,10734000
202107,IEK,TGT,12,866000
202107,IEK,IGI,1,38105000
202107,IEK,HZI,12,287487000
202107,IEK,YUJ,1,16349000
202107,IEK,VEA,11,312455000
202107,IEK,JVP,11,264368000
202107,IEK,QDF,28,9040000
202107,IEK,RLM,3,51903000
202107,IEK,RLM,1,595203000
202107,IEK,QOB,3,8143000
202107,IEK,CVN,29,832948000
202107,IEK,HZI,18,2238293000
202107,IEK,SHK,18,1105865000
202107,IEK,VEA,18,3765904000
202107,IEK,QDF,18,249837000
