BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,IGI,YCA,0,30070475000
202107,IGI,QOB,0,1614035000
202107,IGI,JVP,4,60881000
202107,IGI,CBX,4,69486000
202107,IGI,AIG,4,8200000
202107,IGI,AHN,4,10693000
202107,IGI,RLM,0,8940000
202107,IGI,QOB,4,70000
202107,IGI,SMH,4,1100000
202107,IGI,QDF,4,8435000
202107,IGI,RII,4,25041000
202107,IGI,ZFS,4,5410000
202107,IGI,FLX,4,2000000
202107,IGI,CAZ,4,7022000
202107,IGI,MIQ,4,34183000
202107,IGI,TGT,4,5138000
202107,IGI,KYG,4,50884000
202107,IGI,CVN,4,300595000
202107,IGI,SXR,0,233109000
202107,IGI,SSR,0,22476000
202107,IGI,PNA,0,60510000
202107,IGI,HQI,4,21370000
202107,IGI,JOR,4,8520000
202107,IGI,EEB,4,12570000
202107,IGI,AXQ,4,400000
202107,IGI,KFW,4,100000
202107,IGI,NXL,4,2037000
202107,IGI,SIF,4,11000000
202107,IGI,SCD,4,9494000
202107,IGI,XIE,4,2511000
202107,IGI,FLX,0,172448000
202107,IGI,YNB,0,428410000
202107,IGI,ZFS,0,3132628000
202107,IGI,SMH,0,5630452000
202107,IGI,MIQ,0,5313791000
202107,IGI,ZDD,4,210000
202107,IGI,ZVX,4,2150000
202107,IGI,FYT,4,10280000
202107,IGI,AZR,0,26260000
202107,IGI,YUJ,0,339700000
202107,IGI,TGT,0,1457087000
202107,IGI,IDN,4,47609000
202107,IGI,UXE,4,2250000
202107,IGI,VEA,4,132241000
202107,IGI,WZU,0,1391000
202107,IGI,GPM,4,900000
202107,IGI,KFW,0,141200000
202107,IGI,GPM,0,11790000
202107,IGI,AXQ,0,10516000
202107,IGI,XDG,0,80100000
202107,IGI,YUJ,4,400000
202107,IGI,RLM,4,1440000
202107,IGI,RBR,4,1950000
202107,IGI,YCA,4,300000
202107,IGI,UXE,0,30250000
202107,IGI,KCK,0,141031000
202107,IGI,SIF,0,2005874000
202107,IGI,SCD,0,992020000
202107,IGI,VEA,0,12539782000
202107,IGI,HQI,0,9001338000
202107,IGI,EEB,0,1184293000
202107,IGI,AHN,0,2444017000
202107,IGI,AIG,0,32547756000
202107,IGI,NXL,0,106258089000
202107,IGI,RBR,0,93853000
202107,IGI,KYG,0,6414500000
202107,IGI,HZI,4,157271000
202107,IGI,HZO,4,10093000
202107,IGI,IEK,4,293837000
202107,IGI,FYT,0,3902255000
202107,IGI,IUR,0,4807912000
202107,IGI,BVI,0,17925946000
202107,IGI,HZI,0,9803727000
202107,IGI,RII,0,1155019000
202107,IGI,ZDD,0,219571000
202107,IGI,JOR,0,15302519000
202107,IGI,CBX,0,7469443000
202107,IGI,ZVX,0,892643000
202107,IGI,QDF,0,1154853000
202107,IGI,IDN,0,11124371000
202107,IGI,SHK,4,353117000
202107,IGI,WHF,0,62431000
202107,IGI,JVP,0,4129256000
202107,IGI,IEK,0,40755065000
202107,IGI,CAZ,0,2120210000
202107,IGI,XIE,0,999224000
202107,IGI,BVI,4,244963000
202107,IGI,IUR,4,137822000
202107,IGI,CVN,0,20671905000
202107,IGI,SHK,0,21266233000
202107,IGI,HZO,0,190534000
202108,IGI,SXR,0,125000000
202108,IGI,YUJ,0,53995000
202108,IGI,GPM,0,250000
202108,IGI,JVP,0,3815184000
202108,IGI,TGT,0,771656000
202108,IGI,HZO,0,284909000
202108,IGI,QOB,0,61361000
202108,IGI,CAZ,0,835291000
202108,IGI,YCA,4,300000
202108,IGI,GPM,4,900000
202108,IGI,SMH,4,1100000
202108,IGI,AXQ,0,3452000
202108,IGI,FLX,0,6100000
202108,IGI,KFW,0,93287000
202108,IGI,SSR,0,26575000
202108,IGI,XDG,0,4010000
202108,IGI,UXE,0,50501000
202108,IGI,AXQ,4,400000
202108,IGI,KFW,4,100000
202108,IGI,YNB,0,312833000
202108,IGI,RBR,0,42776000
202108,IGI,QOB,4,70000
202108,IGI,FLX,4,1500000
