BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,IUR,CBX,0,459307271000
202107,IUR,WZU,0,1329850000
202107,IUR,YNB,4,2050000
202107,IUR,TCH,0,30795000
202107,IUR,BVI,1,244852000
202107,IUR,IEK,1,469310000
202107,IUR,CVN,1,3720000
202107,IUR,IGI,4,46876000
202107,IUR,RBR,4,6590000
202107,IUR,FYT,3,29000
202107,IUR,YUJ,4,8265000
202107,IUR,KCK,4,6233000
202107,IUR,RLM,4,1800000
202107,IUR,KFW,4,4268000
202107,IUR,SXR,0,411310000
202107,IUR,PNA,4,13567000
202107,IUR,XDG,0,94770000
202107,IUR,KYG,3,711330000
202107,IUR,BVI,3,4761757000
202107,IUR,CVN,3,212661000
202107,IUR,JIK,0,190000
202107,IUR,DSJ,0,378000
202107,IUR,QDF,3,23000000
202107,IUR,AZR,4,250000
202107,IUR,MIQ,3,50500000
202107,IUR,HZI,3,38033000
202107,IUR,QIM,3,78600000
202107,IUR,TCH,3,15459000
202107,IUR,AHN,3,189000
202107,IUR,HZO,3,6187000
202107,IUR,CAZ,3,2306000
202107,IUR,XIE,3,196624000
202107,IUR,UXE,0,988372000
202107,IUR,VEA,3,55098000
202107,IUR,IEK,3,941290000
202107,IUR,JVP,3,2177931000
202107,IUR,SHK,3,828320000
202107,IUR,RLM,0,155034000
202107,IUR,IGI,0,60603178000
202107,IUR,AZR,0,3510883000
202107,IUR,WHF,0,5156376000
202107,IUR,RBR,0,5507909000
202107,IUR,KCK,0,3535277000
202107,IUR,KFW,0,2103814000
202107,IUR,QIM,0,138158000
202107,IUR,ZFS,0,28085480000
202107,IUR,SMH,0,13375940000
202107,IUR,QOB,0,22514289000
202107,IUR,AXQ,0,1900411000
202107,IUR,MIQ,0,372416163000
202107,IUR,SCD,0,31749876000
202107,IUR,FLX,0,20695587000
202107,IUR,ZDD,0,85965764000
202107,IUR,SIF,0,93932749000
202107,IUR,JOR,0,564810186000
202107,IUR,FYT,0,396626787000
202107,IUR,KYG,0,525374795000
202107,IUR,RII,0,277182004000
202107,IUR,QDF,0,210856622000
202107,IUR,HZO,0,160487859000
202107,IUR,YNB,0,4466387000
202107,IUR,AIG,0,542541956000
202107,IUR,EEB,0,272188086000
202107,IUR,CAZ,0,128898111000
202107,IUR,ZVX,0,110859497000
202107,IUR,SHK,0,1856464055000
202107,IUR,VEA,0,1618999612000
202107,IUR,IDN,0,188865572000
202107,IUR,CVN,0,2887505509000
202107,IUR,IEK,0,2460288022000
202107,IUR,HZI,0,1636813034000
202107,IUR,AHN,0,145562058000
202107,IUR,XIE,0,33114286000
202107,IUR,NXL,0,561883114000
202107,IUR,SSR,0,1857300000
202107,IUR,YCA,0,189122952000
202107,IUR,GPM,0,3914083000
202107,IUR,PNA,0,6735449000
202107,IUR,TGT,0,52542600000
202107,IUR,HQI,0,487871885000
202107,IUR,UJN,0,3088135000
202107,IUR,YUJ,0,1702032000
202107,IUR,JVP,0,1304189426000
202107,IUR,BVI,0,2127636380000
202107,IUR,YCA,4,100685000
202107,IUR,XIE,4,394750000
202107,IUR,UXE,4,43243000
202107,IUR,MIQ,4,777214000
202107,IUR,FYT,4,1561159000
202107,IUR,QDF,4,1661896000
202107,IUR,CBX,4,3907511000
202107,IUR,KYG,4,2204852000
202107,IUR,ZDD,4,289584000
202107,IUR,CAZ,4,1292047000
202107,IUR,HZI,4,13133482000
202107,IUR,QOB,4,17540000
202107,IUR,WHF,4,10735000
202107,IUR,HZO,4,1282623000
202107,IUR,JOR,4,849774000
202107,IUR,RII,4,986708000
202107,IUR,FLX,4,112026000
202107,IUR,GPM,4,195973000
202107,IUR,VEA,4,10900684000
202107,IUR,AXQ,4,4485000
202107,IUR,HNR,4,220000
202107,IUR,SMH,4,20490000
202107,IUR,IDN,4,405661000
202107,IUR,AIG,4,184090000
202107,IUR,CVN,4,12118737000
202107,IUR,AHN,4,413349000
202107,IUR,JVP,4,3561505000
202107,IUR,ZVX,4,639773000
202107,IUR,NXL,4,195340000
202107,IUR,HNR,0,230289000
202107,IUR,ZFS,4,132809000
202107,IUR,IEK,4,14929014000
202107,IUR,SHK,4,16401500000
202107,IUR,SIF,4,222157000
202107,IUR,TGT,4,311906000
202107,IUR,BVI,4,26637497000
202107,IUR,SCD,4,297202000
202107,IUR,HQI,4,326519000
202107,IUR,EEB,4,2326192000
202108,IUR,EEB,3,10000000
202108,IUR,AHN,3,189000
202108,IUR,ZVX,0,104961879000
202108,IUR,IEK,0,2453591674000
202108,IUR,SHK,0,1991185377000
202108,IUR,CVN,3,197905000
202108,IUR,RLM,4,2400000
202108,IUR,JIK,0,7712000
202108,IUR,SHK,3,625401000
202108,IUR,TCH,3,1942000000
202108,IUR,QIM,3,135000000
202108,IUR,WZU,4,500000
202108,IUR,JOR,0,455176881000
202108,IUR,FYT,0,357122073000
202108,IUR,ZFS,0,28181289000
202108,IUR,BVI,1,166312000
202108,IUR,XDG,0,59578000
202108,IUR,IEK,1,306809000
202108,IUR,CVN,1,3650000
202108,IUR,DSJ,0,1480000
202108,IUR,XIE,3,2286686000
202108,IUR,TCH,0,15516000
202108,IUR,CAZ,3,4094000
202108,IUR,SSR,4,650000
202108,IUR,HZO,3,6910000
202108,IUR,MIQ,3,50500000
202108,IUR,QDF,3,23000000
202108,IUR,KFW,0,1152424000
