BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,JFG,JVP,0,118162000
202107,JFG,SHK,3,152000
202107,JFG,KYG,0,1008000
202107,JFG,BVI,0,2927992000
202107,JFG,CVN,0,138542000
202107,JFG,CVN,3,285000
202107,JFG,SHK,0,312645000
202107,JFG,MIQ,0,300000
202107,JFG,SSR,0,358000
202107,JFG,CBX,0,10150000
202107,JFG,IEK,0,221342000
202107,JFG,SHK,4,10000
202107,JFG,AHN,0,5500000
202107,JFG,SIF,0,4760000
202107,JFG,HZI,0,10000
202107,JFG,BVI,4,30000
202107,JFG,VEA,0,1790000
202108,JFG,CBX,4,17000
202108,JFG,IUR,0,346000
202108,JFG,HZI,0,2691000
202108,JFG,AHN,4,700000
202108,JFG,KYG,4,10000
202108,JFG,EEB,0,29000
202108,JFG,MIQ,0,159758000
202108,JFG,CAZ,0,413000
202108,JFG,XIE,0,228000
202108,JFG,AIG,0,108683000
202108,JFG,IEK,4,1000
202108,JFG,SHK,3,197000
202108,JFG,AIG,4,300000
202108,JFG,FYT,4,200000
202108,JFG,RII,0,1000
202108,JFG,JOR,0,10630000
202108,JFG,CVN,4,1000000
202108,JFG,SHK,4,11000
202108,JFG,QDF,0,125000
