BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,JIK,AHN,0,666800000
202107,JIK,IUR,0,20170000
202107,JIK,ZFS,0,3180000
202107,JIK,HZI,0,82689000
202107,JIK,VEA,0,70416000
202107,JIK,CVN,0,471555000
202107,JIK,SHK,0,554573000
202107,JIK,QDF,0,110826000
202107,JIK,RII,0,489000
202107,JIK,CAZ,0,146000
202107,JIK,KYG,0,51024000
202107,JIK,FYT,0,300000
202107,JIK,SIF,0,17000000
202107,JIK,ZDD,0,42000
202107,JIK,HZO,0,442000
202107,JIK,EEB,0,534000
202107,JIK,NXL,0,10000000
202107,JIK,MIQ,0,100000
202107,JIK,IDN,0,3300000
202107,JIK,GPM,0,19100000
202107,JIK,BVI,0,427336000
202107,JIK,JVP,0,188233000
202107,JIK,XIE,0,5395000
202107,JIK,CBX,0,26331000
202107,JIK,ZVX,0,14399000
202107,JIK,IEK,0,245147000
202108,JIK,CBX,0,71865000
202108,JIK,JVP,0,275110000
202108,JIK,AXQ,0,16000
202108,JIK,SCD,0,15000000
202108,JIK,HQI,0,30000000
202108,JIK,HZO,0,35457000
202108,JIK,CAZ,0,65022000
202108,JIK,KYG,0,1852000
202108,JIK,SIF,0,7190000
202108,JIK,RII,0,22112000
202108,JIK,IDN,0,13300000
202108,JIK,EEB,0,124000
