BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,JOR,WZU,0,2804854000
202107,JOR,XDG,0,38415000
202107,JOR,UJN,0,834000
202107,JOR,ZQS,0,450000
202107,JOR,JIK,0,7130000
202107,JOR,HNR,0,200000
202107,JOR,QIM,0,9332000
202107,JOR,TCH,0,7000
202107,JOR,YNB,0,9263930000
202107,JOR,PNA,0,2099509000
202107,JOR,KCK,0,16433393000
202107,JOR,FYT,0,59706643000
202107,JOR,TGT,0,68843792000
202107,JOR,AHN,0,87866503000
202107,JOR,YCA,0,278626579000
202107,JOR,IUR,0,185806104000
202107,JOR,HZI,0,317487108000
202107,JOR,HQI,0,1360218619000
202107,JOR,KFW,0,2822704000
202107,JOR,RBR,0,5678004000
202107,JOR,IGI,0,41646112000
202107,JOR,SSR,0,562353000
202107,JOR,QDF,0,75420009000
202107,JOR,RII,0,27591024000
202107,JOR,CAZ,0,46859684000
202107,JOR,IDN,0,336423502000
202107,JOR,UXE,0,3913301000
202107,JOR,MIQ,0,273745838000
202107,JOR,NXL,0,679373391000
202107,JOR,BVI,0,669945607000
202107,JOR,CBX,0,225014810000
202107,JOR,ZVX,0,21237236000
202107,JOR,EEB,0,51362808000
202107,JOR,XIE,0,39907452000
202107,JOR,CVN,0,614889397000
202107,JOR,JVP,0,258675198000
202107,JOR,AZR,0,3410544000
202107,JOR,RLM,0,1258500000
202107,JOR,GPM,0,1119244000
202107,JOR,IEK,0,971534870000
202107,JOR,SHK,0,685633697000
202107,JOR,HZO,0,36994445000
202107,JOR,ZFS,0,33148554000
202107,JOR,SMH,0,70095506000
202107,JOR,YUJ,0,5803849000
202107,JOR,SCD,0,30937807000
202107,JOR,WHF,0,9131062000
202107,JOR,AIG,0,1175815052000
202107,JOR,SXR,0,1377236000
202107,JOR,ZDD,0,10925610000
202107,JOR,VEA,0,396415632000
202107,JOR,SIF,0,98826531000
202107,JOR,KYG,0,86240899000
202107,JOR,AXQ,0,484497000
202107,JOR,FLX,0,5188309000
202107,JOR,QOB,0,29569370000
202108,JOR,JFG,0,111500000
202108,JOR,QIM,0,16650000
202108,JOR,SCD,0,40424699000
202108,JOR,UXE,0,1343919000
202108,JOR,BVI,0,821697298000
202108,JOR,CBX,0,320555062000
