BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,JVP,FYT,30,11906000
202107,JVP,RII,30,4001000
202107,JVP,GPM,3,48323000
202107,JVP,YUJ,1,16119000
202107,JVP,YNB,4,7160000
202107,JVP,SHK,16,2500000
202107,JVP,KYG,16,100000
202107,JVP,KYG,15,320000
202107,JVP,KYG,11,10253000
202107,JVP,XIE,11,1492000
202107,JVP,EEB,13,6670000
202107,JVP,XIE,13,320000
202107,JVP,QDF,13,320000
202107,JVP,UJN,4,50000
202107,JVP,FYT,24,4450000
202107,JVP,EEB,3,1860592000
202107,JVP,IUR,14,33296000
202107,JVP,ZVX,3,753203000
202107,JVP,IUR,30,27920000
202107,JVP,QDF,3,1654468000
202107,JVP,FLX,3,39455000
202107,JVP,BVI,30,8097000
202107,JVP,NXL,3,569805000
202107,JVP,CBX,3,4735075000
202107,JVP,VEA,3,32054370000
202107,JVP,FYT,3,2248533000
202107,JVP,ZFS,3,519603000
202107,JVP,HQI,3,640651000
202107,JVP,AIG,3,1317055000
202107,JVP,CVN,24,8229000
202107,JVP,HZI,30,121770000
202107,JVP,QDF,30,15221000
202107,JVP,RLM,4,3867000
202107,JVP,AZR,4,2450000
202107,JVP,YUJ,4,41720000
202107,JVP,KCK,4,17846000
202107,JVP,IGI,4,19508000
202107,JVP,HZO,30,4437000
202107,JVP,SHK,30,26253000
202107,JVP,IEK,30,20245000
202107,JVP,EEB,30,6025000
202107,JVP,CVN,30,22529000
202107,JVP,MIQ,3,114888000
202107,JVP,KYG,3,3284699000
202107,JVP,CAZ,30,65126000
202107,JVP,VEA,30,22807000
202107,JVP,IEK,24,26913000
202107,JVP,HZO,12,11837000
202107,JVP,KFW,3,3900000
202107,JVP,CVN,23,6600000
202107,JVP,IUR,23,1600000
202107,JVP,IEK,23,600000
202107,JVP,CAZ,23,800000
202107,JVP,VEA,23,800000
202107,JVP,PNA,1,150329000
202107,JVP,EEB,23,300000
202107,JVP,QIM,3,44300000
202107,JVP,KYG,12,6180000
202107,JVP,CAZ,12,130792000
202107,JVP,SHK,12,87739000
202107,JVP,IUR,12,205156000
202107,JVP,VEA,12,238162000
202107,JVP,ZDD,12,240000
202107,JVP,SIF,3,96500000
202107,JVP,SHK,23,500000
202107,JVP,HZO,23,100000
202107,JVP,FYT,12,300000
202107,JVP,QDF,12,274000
202107,JVP,RLM,1,5128000
202107,JVP,YNB,1,6826000
202107,JVP,YCA,1,228953000
202107,JVP,HZI,23,1700000
202107,JVP,BVI,23,1300000
202107,JVP,YUJ,3,250000
202107,JVP,PNA,3,12800000
202107,JVP,RII,12,300000
202107,JVP,ZVX,12,300000
202107,JVP,XIE,12,300000
202107,JVP,XDG,4,100000
202107,JVP,IGI,3,297210000
202107,JVP,SCD,3,69091000
202107,JVP,CVN,12,39959000
202107,JVP,IEK,12,94891000
202107,JVP,EEB,12,61059000
202107,JVP,BVI,12,90991000
202107,JVP,HZI,14,25914000
202107,JVP,HZI,12,370551000
202107,JVP,SMH,3,650810000
202107,JVP,ZDD,30,974000
202107,JVP,SIF,1,33924000
202107,JVP,RBR,3,36552000
202107,JVP,RII,24,2640000
202107,JVP,HNR,1,5740000
202107,JVP,QOB,3,19534000
202107,JVP,YCA,3,45977000
202107,JVP,JIK,4,600000
202107,JVP,EEB,24,7470000
202107,JVP,JFG,0,10000
202107,JVP,KCK,3,9050000
202107,JVP,QDF,24,300000
202107,JVP,UXE,1,2500000
202107,JVP,VEA,24,2537000
202107,JVP,IUR,24,8224000
202107,JVP,HNR,4,1810000
202107,JVP,AXQ,3,18000000
202107,JVP,IUR,16,8533000
202107,JVP,VEA,27,600000
202107,JVP,HZI,27,300000
202107,JVP,BVI,15,2180000
202107,JVP,IEK,15,2910000
