BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,KCK,FLX,0,48357000
202107,KCK,SXR,0,1885054000
202107,KCK,AXQ,0,9442000
202107,KCK,YUJ,0,10000000
202107,KCK,UXE,0,97372000
202107,KCK,SSR,0,25273000
202107,KCK,SIF,0,2865247000
202107,KCK,AHN,0,2109677000
202107,KCK,CBX,0,8579865000
202107,KCK,TGT,0,942473000
202107,KCK,HQI,0,29533141000
202107,KCK,NXL,0,14684210000
202107,KCK,ZVX,0,463543000
202107,KCK,HZI,0,7103566000
202107,KCK,RII,0,1769426000
202107,KCK,QDF,0,4700165000
202107,KCK,XIE,0,1599038000
202107,KCK,QOB,0,2005639000
202107,KCK,SHK,0,31896000000
202107,KCK,IEK,0,69088506000
202107,KCK,ZFS,0,1049830000
202107,KCK,EEB,0,600685000
202107,KCK,YNB,0,158514000
202107,KCK,IGI,0,741715000
202107,KCK,JOR,0,20867973000
202107,KCK,RBR,0,157295000
202107,KCK,AIG,0,31251603000
202107,KCK,WZU,0,38987000
202107,KCK,BVI,0,22112604000
202107,KCK,IDN,0,17630552000
202107,KCK,CAZ,0,1012353000
202107,KCK,HZO,0,340692000
202107,KCK,RLM,0,19580000
202107,KCK,KFW,0,1570573000
202107,KCK,GPM,0,38469000
202107,KCK,AZR,0,20674000
202107,KCK,WHF,0,700323000
202107,KCK,SCD,0,486470000
202107,KCK,YCA,0,5885235000
202107,KCK,FYT,0,2004292000
202107,KCK,MIQ,0,2564871000
202107,KCK,PNA,0,169510000
202107,KCK,ZDD,0,792459000
202107,KCK,SMH,0,3629749000
202107,KCK,KYG,0,2996272000
202107,KCK,IUR,0,2628732000
202107,KCK,CVN,0,20287579000
202107,KCK,JVP,0,10140075000
202107,KCK,VEA,0,16042087000
202108,KCK,GPM,0,78022000
202108,KCK,QOB,0,438227000
202108,KCK,AZR,0,33294000
202108,KCK,RLM,0,16860000
