BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,KFW,RII,4,430000
202107,KFW,SCD,4,5280000
202107,KFW,IDN,4,3453000
202107,KFW,ZDD,4,1500000
202107,KFW,HZO,4,4829000
202107,KFW,JOR,4,1940000
202107,KFW,AHN,4,11820000
202107,KFW,IUR,4,21747000
202107,KFW,MIQ,4,29520000
202107,KFW,AZR,0,800794000
202107,KFW,UXE,0,11555000
202107,KFW,IGI,0,71560000
202107,KFW,AXQ,0,18739000
202107,KFW,GPM,0,25899000
202107,KFW,SHK,4,138317000
202107,KFW,VEA,4,80026000
202107,KFW,XIE,4,1050000
202107,KFW,JVP,4,20393000
202107,KFW,TGT,4,8870000
202107,KFW,CAZ,4,8239000
202107,KFW,AXQ,4,50000
202107,KFW,NXL,4,760000
202107,KFW,QOB,4,250000
202107,KFW,HQI,4,1860000
202107,KFW,GPM,4,3000000
202107,KFW,YUJ,4,7600000
202107,KFW,AIG,4,1120000
202107,KFW,SMH,4,724000
202107,KFW,UJN,0,192000
202107,KFW,SIF,4,500000
202107,KFW,ZFS,4,1950000
202107,KFW,FLX,4,1500000
202107,KFW,RLM,0,33700000
202107,KFW,ZVX,4,320000
202107,KFW,IEK,0,31011017000
202107,KFW,QDF,0,1683383000
202107,KFW,PNA,0,1031884000
202107,KFW,EEB,0,992964000
202107,KFW,YNB,0,577709000
202107,KFW,IEK,4,169922000
202107,KFW,KYG,0,3463146000
202107,KFW,IUR,0,1784187000
202107,KFW,JVP,0,8218235000
202107,KFW,VEA,0,10115460000
202107,KFW,MIQ,0,10252105000
202107,KFW,JOR,0,15230412000
202107,KFW,CAZ,0,264714000
202107,KFW,ZFS,0,505035000
202107,KFW,CVN,4,164405000
202107,KFW,XIE,0,2082469000
202107,KFW,YCA,0,6223262000
202107,KFW,QOB,0,1483577000
202107,KFW,HQI,0,14726333000
202107,KFW,HZI,0,4336407000
202107,KFW,NXL,0,11465368000
202107,KFW,BVI,4,109101000
202107,KFW,CBX,4,37695000
202107,KFW,KYG,4,27275000
202107,KFW,UXE,4,1700000
202107,KFW,WHF,0,4515858000
202107,KFW,HZO,0,762272000
202107,KFW,YUJ,0,135670000
202107,KFW,CVN,0,17745314000
202107,KFW,SIF,0,3595017000
202107,KFW,AHN,0,2656077000
202107,KFW,SCD,0,972357000
202107,KFW,KCK,0,443835000
202107,KFW,RII,0,812563000
202107,KFW,FYT,0,1663492000
202107,KFW,SMH,0,1210509000
202107,KFW,QDF,4,4188000
202107,KFW,HZI,4,35397000
202107,KFW,IDN,0,8045474000
202107,KFW,ZDD,0,83093000
202107,KFW,RBR,0,6540428000
202107,KFW,SXR,0,1179343000
202107,KFW,SSR,0,33484000
202107,KFW,EEB,4,10974000
202107,KFW,SHK,0,23266520000
202107,KFW,TGT,0,949905000
202107,KFW,FYT,4,11673000
202107,KFW,ZVX,0,167077000
202107,KFW,BVI,0,31139466000
202107,KFW,AIG,0,12767680000
202107,KFW,FLX,0,7238000
202107,KFW,CBX,0,8626828000
202108,KFW,XDG,0,5000500000
202108,KFW,QOB,4,250000
202108,KFW,ZVX,0,163761000
202108,KFW,VEA,4,74831000
202108,KFW,AIG,0,4666764000
202108,KFW,JVP,0,6699759000
202108,KFW,BVI,0,19757306000
202108,KFW,KCK,0,416032000
202108,KFW,YUJ,4,7600000
202108,KFW,RLM,0,24975000
202108,KFW,IDN,4,2953000
202108,KFW,YNB,0,107728000
202108,KFW,UXE,0,27586000
202108,KFW,QIM,0,200000000
202108,KFW,SMH,4,784000
202108,KFW,CAZ,4,1229000
202108,KFW,GPM,0,3220000
202108,KFW,WZU,0,225729000
202108,KFW,SSR,0,22380000
202108,KFW,AXQ,4,50000
202108,KFW,AHN,4,12420000
202108,KFW,SXR,0,1171700000
202108,KFW,XIE,4,2050000
202108,KFW,SMH,0,7864724000
