BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,KYG,RBR,4,7061000
202107,KYG,QOB,4,13501000
202107,KYG,FLX,1,553348000
202107,KYG,SIF,4,13618000
202107,KYG,IGI,4,17530000
202107,KYG,PNA,4,3783000
202107,KYG,GPM,4,67069000
202107,KYG,WHF,4,30000
202107,KYG,YUJ,4,2710000
202107,KYG,ZVX,3,21817000
202107,KYG,UXE,4,2250000
202107,KYG,IUR,3,6967824000
202107,KYG,SHK,3,6342182000
202107,KYG,TGT,3,93845000
202107,KYG,ZDD,3,3780084000
202107,KYG,BVI,3,6652612000
202107,KYG,CAZ,3,460582000
202107,KYG,HZO,3,5382300000
202107,KYG,HZI,3,9283633000
202107,KYG,CVN,3,4480166000
202107,KYG,MIQ,3,246547000
202107,KYG,QDF,3,485258000
202107,KYG,FYT,1,5297811000
202107,KYG,RLM,0,440124000
202107,KYG,RII,1,1394926000
202107,KYG,ZVX,1,1136738000
202107,KYG,SCD,1,243641000
202107,KYG,NXL,1,142303000
202107,KYG,QOB,1,1870434000
202107,KYG,TGT,1,359480000
202107,KYG,AIG,1,761707000
202107,KYG,ZFS,1,83485000
202107,KYG,HQI,1,36716000
202107,KYG,MIQ,1,56562000
202107,KYG,RBR,1,10000
202107,KYG,YNB,4,200000
202107,KYG,AZR,4,25000
202107,KYG,YUJ,1,168000
202107,KYG,HNR,0,6819000
202107,KYG,JFG,0,11553000
202107,KYG,KCK,4,3500000
202107,KYG,GPM,1,34476000
202107,KYG,KFW,1,6449000
202107,KYG,RLM,1,20000
202107,KYG,KCK,1,6710000
202107,KYG,WHF,1,1630000
202107,KYG,SMH,1,6060000
202107,KYG,FLX,3,8030000
202107,KYG,XDG,0,214949000
202107,KYG,TCH,0,102968714000
202107,KYG,UJN,0,27079454000
202107,KYG,SXR,0,1118210000
202107,KYG,DSJ,0,142187894000
202107,KYG,TZF,0,138282891000
202107,KYG,KFW,0,6265203000
202107,KYG,ZQS,0,50340000
202107,KYG,JVP,1,16427151000
202107,KYG,BVI,1,57071254000
202107,KYG,SHK,1,47128487000
202107,KYG,VEA,0,2810731539000
202107,KYG,SHK,0,26730434285000
202107,KYG,IEK,0,6810435881000
202107,KYG,CVN,0,10995311833000
202107,KYG,MIQ,0,233942377000
202107,KYG,BVI,0,17273908126000
202107,KYG,CAZ,0,149567966000
202107,KYG,JVP,0,5000148793000
202107,KYG,CBX,0,365293681000
202107,KYG,SIF,0,76051110000
202107,KYG,YNB,0,3676334000
202107,KYG,AIG,0,428647094000
202107,KYG,FLX,0,57082468000
202107,KYG,TGT,0,767501230000
202107,KYG,ZVX,0,188102809000
202107,KYG,IDN,0,142949534000
202107,KYG,HZI,0,1030407162000
202107,KYG,XIE,0,2311135489000
202107,KYG,QIM,0,166006335000
202107,KYG,KCK,0,2860469000
202107,KYG,AZR,0,1801528000
202107,KYG,YUJ,0,1512401000
202107,KYG,QOB,0,10464804000
202107,KYG,WHF,0,6840311000
202107,KYG,GPM,0,7782733000
202107,KYG,YCA,0,87547198000
202107,KYG,WZU,0,338177000
202107,KYG,ZFS,0,24266727000
202107,KYG,IGI,0,35365700000
202107,KYG,SCD,0,14984707000
202107,KYG,SMH,0,23196952000
202107,KYG,ZDD,0,121691490000
202107,KYG,RII,0,362002366000
202107,KYG,SSR,0,1069717000
202107,KYG,NXL,0,305188276000
202107,KYG,RBR,0,8420804000
202107,KYG,AHN,0,219334741000
202107,KYG,HQI,0,223335890000
202107,KYG,JOR,0,285868369000
202107,KYG,FYT,0,393841150000
202107,KYG,IUR,0,591633073000
202107,KYG,HZO,0,159889128000
202107,KYG,EEB,0,549154506000
202107,KYG,QDF,0,398339180000
202107,KYG,AXQ,0,873289000
202107,KYG,UXE,0,1489579000
202107,KYG,PNA,0,3232891000
202107,KYG,FLX,4,116617000
202107,KYG,HQI,4,128262000
202107,KYG,FYT,4,851263000
202107,KYG,SHK,4,8491616000
202107,KYG,JVP,4,2488648000
202107,KYG,BVI,4,8131304000
202107,KYG,ZFS,4,92985000
202107,KYG,ZDD,4,177497000
202107,KYG,KFW,4,8703000
202107,KYG,QDF,1,2789828000
202107,KYG,IEK,4,10498657000
202107,KYG,SCD,4,177776000
202107,KYG,HZO,4,1254116000
202107,KYG,VEA,4,5972447000
202107,KYG,CBX,4,2600561000
202107,KYG,JOR,4,251206000
202107,KYG,RII,4,207729000
202107,KYG,IDN,4,394916000
202107,KYG,EEB,4,1512309000
202107,KYG,YCA,4,18367000
202107,KYG,AHN,4,391509000
202107,KYG,HZI,4,5260341000
202107,KYG,XIE,4,508498000
202107,KYG,IUR,1,2375643000
202107,KYG,AHN,1,383828000
202107,KYG,CBX,1,2239049000
202107,KYG,JOR,1,897500000
202107,KYG,HZI,1,16954794000
202107,KYG,CVN,1,37554450000
202107,KYG,VEA,1,29411986000
202107,KYG,IEK,1,54676459000
202107,KYG,XIE,3,8733000
202107,KYG,GPM,3,18203000
202107,KYG,AHN,3,33672000
202107,KYG,FYT,3,1545581000
202107,KYG,JVP,3,1200662000
202107,KYG,VEA,3,6416693000
202107,KYG,IEK,3,5560469000
202107,KYG,CBX,3,2257000
202107,KYG,EEB,3,4708768000
202107,KYG,RII,3,520948000
202107,KYG,CAZ,1,1462055000
202107,KYG,XIE,1,1823988000
202107,KYG,EEB,1,2741746000
202107,KYG,IUR,4,3552176000
202107,KYG,CVN,4,7244541000
202107,KYG,CAZ,4,709775000
202107,KYG,NXL,4,74438000
202107,KYG,ZDD,1,522162000
202107,KYG,IDN,1,490572000
202107,KYG,QDF,4,680989000
202107,KYG,ZVX,4,199564000
202107,KYG,MIQ,4,1175816000
202107,KYG,AIG,4,140096000
202107,KYG,SMH,4,25763000
202107,KYG,HZO,1,366252000
202107,KYG,TGT,4,437876000
202108,KYG,JOR,3,59000
202108,KYG,WHF,4,30000
202108,KYG,RII,0,363008869000
202108,KYG,CVN,3,4583851000
