BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,MIQ,WHF,1,1105200000
202107,MIQ,CAZ,1,186241000
202107,MIQ,HQI,1,12686643000
202107,MIQ,NXL,1,10090895000
202107,MIQ,ZDD,1,606469000
202107,MIQ,EEB,1,231829000
202107,MIQ,IUR,1,1910653000
202107,MIQ,JVP,1,6035736000
202107,MIQ,AHN,1,876904000
202107,MIQ,HZI,1,6116119000
202107,MIQ,XIE,4,66301000
202107,MIQ,SCD,4,35086000
202107,MIQ,FLX,4,120405000
202107,MIQ,NXL,4,26423000
202107,MIQ,AHN,4,137384000
202107,MIQ,KYG,4,233211000
202107,MIQ,ZVX,4,18832000
202107,MIQ,HQI,4,17717000
202107,MIQ,JOR,4,35048000
202107,MIQ,SHK,4,1433489000
202107,MIQ,BVI,4,858977000
202107,MIQ,CVN,4,1267679000
202107,MIQ,VEA,4,1198383000
202107,MIQ,CBX,4,252214000
202107,MIQ,IGI,4,2010000
202107,MIQ,AXQ,4,3400000
202107,MIQ,WHF,4,1707000
202107,MIQ,KFW,4,1359000
202107,MIQ,YCA,4,3000000
202107,MIQ,QOB,4,1283000
202107,MIQ,RLM,4,255000
202107,MIQ,FLX,1,97280000
202107,MIQ,YCA,1,4105071000
202107,MIQ,IGI,1,892200000
202107,MIQ,YUJ,4,2529000
202107,MIQ,JVP,4,1155414000
202107,MIQ,HZO,1,72229000
202107,MIQ,ZVX,1,229749000
202107,MIQ,EEB,4,538847000
202107,MIQ,SMH,4,2461000
202107,MIQ,KCK,4,1740000
202107,MIQ,UJN,0,30946000
202107,MIQ,HQI,3,860679000
202107,MIQ,QOB,1,395322000
202107,MIQ,QDF,1,639719000
202107,MIQ,TGT,1,1042728000
202107,MIQ,YCA,3,332332000
202107,MIQ,RBR,4,150000
202107,MIQ,WZU,0,1848442000
202107,MIQ,ZFS,1,869609000
202107,MIQ,SIF,1,369205000
202107,MIQ,SCD,1,540675000
202107,MIQ,IDN,1,6239009000
202107,MIQ,JOR,1,18053543000
202107,MIQ,XIE,1,578694000
202107,MIQ,RII,1,309320000
