BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,NXL,RLM,0,600379000
202107,NXL,GPM,0,892385000
202107,NXL,XDG,0,6841000
202107,NXL,UJN,0,2915000
202107,NXL,ZQS,0,1000000
202107,NXL,JFG,0,764000
202107,NXL,HNR,0,2000000
202107,NXL,YCA,0,131851003000
202107,NXL,YUJ,0,11842480000
202107,NXL,KCK,0,3153864000
202107,NXL,AXQ,0,367940000
202107,NXL,MIQ,0,84017213000
202107,NXL,XIE,0,21014364000
202107,NXL,HZO,0,11357725000
202107,NXL,SMH,0,32228570000
202107,NXL,CAZ,0,18054649000
202107,NXL,EEB,0,18595615000
202107,NXL,SIF,0,68837944000
202107,NXL,IUR,0,50978370000
202107,NXL,HZI,0,157055976000
202107,NXL,JVP,0,108728618000
202107,NXL,HQI,0,522847185000
202107,NXL,VEA,0,183459978000
202107,NXL,IDN,0,196133248000
202107,NXL,AIG,0,451452842000
202107,NXL,CBX,0,195300725000
202107,NXL,JOR,0,358593574000
202107,NXL,ZFS,0,19688089000
202107,NXL,YNB,0,53672260000
202107,NXL,FLX,0,1922402000
202107,NXL,CVN,0,228298681000
202107,NXL,IEK,0,1083777519000
202107,NXL,ZDD,0,5121732000
202107,NXL,QDF,0,23650041000
202107,NXL,BVI,0,247194162000
202107,NXL,PNA,0,1666069000
202107,NXL,QOB,0,28990085000
202107,NXL,SCD,0,16531139000
202107,NXL,ZVX,0,9775746000
202107,NXL,RII,0,11011432000
202107,NXL,SHK,0,286291686000
202107,NXL,UXE,0,668770000
202107,NXL,WZU,0,1156044000
202107,NXL,FYT,0,19524168000
202107,NXL,AHN,0,52460467000
202107,NXL,IGI,0,72857883000
202107,NXL,KYG,0,34751083000
202107,NXL,TGT,0,30232882000
202107,NXL,SSR,0,493434000
202107,NXL,KFW,0,1411741000
202107,NXL,WHF,0,5295357000
202107,NXL,AZR,0,1215580000
202107,NXL,SXR,0,1620140000
202107,NXL,RBR,0,1628169000
202107,NXL,JIK,0,1099000
202108,NXL,HNR,0,6008000
202108,NXL,ZQS,0,54900000
202108,NXL,JFG,0,4426000
202108,NXL,AZR,0,1327961000
202108,NXL,RLM,0,1790761000
202108,NXL,UJN,0,62092000
202108,NXL,AHN,0,89749104000
202108,NXL,RII,0,18457169000
