BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,PNA,FLX,0,27175000
202107,PNA,XIE,4,4337000
202107,PNA,RII,4,39097000
202107,PNA,ZVX,4,1145000
202107,PNA,QDF,4,18400000
202107,PNA,HZO,4,13285000
202107,PNA,CAZ,4,13329000
202107,PNA,QOB,0,526041000
202107,PNA,AIG,4,3290000
202107,PNA,GPM,4,2500000
202107,PNA,IDN,4,10427000
202107,PNA,SCD,4,11089000
202107,PNA,AXQ,0,3109000
202107,PNA,SSR,0,26444000
202107,PNA,AHN,4,9871000
202107,PNA,UXE,4,1040000
202107,PNA,QIM,0,327000
202107,PNA,WHF,4,30000
202107,PNA,ZDD,4,203000
202107,PNA,RLM,0,20153000
202107,PNA,UJN,0,228000
202107,PNA,GPM,0,1150000
202107,PNA,FLX,4,500000
202107,PNA,YUJ,0,233951000
202107,PNA,SIF,4,2550000
202107,PNA,NXL,4,4919000
202107,PNA,ZFS,4,3150000
202107,PNA,KFW,4,530000
202107,PNA,JOR,4,2301000
202107,PNA,SMH,4,2940000
202107,PNA,QOB,4,500000
202107,PNA,XDG,0,39031000
202107,PNA,RBR,4,200000
202107,PNA,YCA,4,330000
202107,PNA,AXQ,4,500000
202107,PNA,IGI,4,585000
202107,PNA,YUJ,4,20000
202107,PNA,CBX,0,12966377000
202107,PNA,IUR,4,102753000
202107,PNA,SIF,0,1565704000
202107,PNA,SHK,4,288388000
202107,PNA,SXR,0,67540000
202107,PNA,IEK,0,48020461000
202107,PNA,SHK,0,32271926000
202107,PNA,VEA,0,15670899000
202107,PNA,CVN,0,39558793000
202107,PNA,AIG,0,14783357000
202107,PNA,JOR,0,9549933000
202107,PNA,XIE,0,1782069000
202107,PNA,TGT,0,2461836000
202107,PNA,IDN,0,15573975000
202107,PNA,UXE,0,20730000
202107,PNA,HQI,0,23851594000
202107,PNA,NXL,0,10615406000
202107,PNA,HQI,4,77126000
202107,PNA,SCD,0,420435000
202107,PNA,KFW,0,498990000
202107,PNA,YCA,0,3022653000
202107,PNA,KCK,0,276408000
202107,PNA,JVP,4,35280000
202107,PNA,VEA,4,432120000
202107,PNA,MIQ,4,19085000
202107,PNA,IEK,4,177881000
202107,PNA,RBR,0,293829000
202107,PNA,IGI,0,474490000
202107,PNA,SMH,0,1455354000
202107,PNA,CBX,4,85794000
202107,PNA,YNB,0,467115000
202107,PNA,EEB,0,2017962000
202107,PNA,FYT,0,6194846000
202107,PNA,QDF,0,13890042000
202107,PNA,JVP,0,10924780000
202107,PNA,KYG,0,3320552000
202107,PNA,RII,0,3046279000
202107,PNA,HZO,0,980356000
202107,PNA,IUR,0,6450743000
202107,PNA,BVI,0,24750776000
202107,PNA,WHF,0,435874000
202107,PNA,EEB,4,21485000
202107,PNA,CVN,4,298472000
202107,PNA,BVI,4,164650000
202107,PNA,WZU,0,464000
202107,PNA,ZVX,0,604719000
202107,PNA,AZR,0,392265000
202107,PNA,KYG,4,39999000
202107,PNA,FYT,4,28712000
202107,PNA,MIQ,0,6757852000
202107,PNA,AHN,0,3683406000
202107,PNA,HZI,0,13705512000
202107,PNA,HZI,4,126727000
202107,PNA,TGT,4,7465000
202107,PNA,ZDD,0,1969829000
202107,PNA,ZFS,0,9475041000
202107,PNA,CAZ,0,1427987000
202108,PNA,ZDD,4,203000
202108,PNA,IDN,4,105964000
202108,PNA,KFW,4,560000
202108,PNA,CAZ,4,13633000
202108,PNA,CVN,4,331510000
202108,PNA,YUJ,0,1273327000
202108,PNA,IGI,4,585000
202108,PNA,QOB,4,500000
202108,PNA,RBR,4,200000
202108,PNA,GPM,4,3500000
202108,PNA,UXE,4,1040000
202108,PNA,YNB,4,2000000
202108,PNA,IGI,0,1295949000
202108,PNA,YUJ,4,20000
202108,PNA,QIM,0,229000
202108,PNA,RLM,0,30000000
202108,PNA,FLX,4,500000
202108,PNA,WHF,4,30000
202108,PNA,SSR,0,23245000
202108,PNA,WZU,0,266166000
202108,PNA,ZVX,4,1145000
