BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,QDF,ZDD,1,68785000
202107,QDF,CAZ,14,25700000
202107,QDF,TZF,0,1894710000
202107,QDF,RBR,4,317000
202107,QDF,NXL,4,32139000
202107,QDF,FLX,4,20799000
202107,QDF,ZVX,4,14345000
202107,QDF,KFW,4,34015000
202107,QDF,AIG,3,508662000
202107,QDF,IUR,27,300000
202107,QDF,FYT,13,380000
202107,QDF,CVN,16,3400000
202107,QDF,RII,11,1822000
202107,QDF,RII,13,40000
202107,QDF,RII,16,300000
202107,QDF,XIE,13,40000
202107,QDF,VEA,15,15890000
202107,QDF,HZO,11,30720000
202107,QDF,IEK,16,10183000
202107,QDF,FYT,15,120000
202107,QDF,JVP,13,4910000
202107,QDF,IUR,13,79860000
202107,QDF,CAZ,13,91900000
202107,QDF,JVP,16,4300000
202107,QDF,BVI,16,4900000
202107,QDF,IUR,16,43233000
202107,QDF,EEB,15,3140000
202107,QDF,CVN,11,65338000
202107,QDF,IUR,11,2093633000
202107,QDF,EEB,14,8094000
202107,QDF,KCK,4,2030000
202107,QDF,HQI,3,112815000
202107,QDF,QOB,4,5710000
202107,QDF,PNA,4,17414000
202107,QDF,WHF,4,830000
202107,QDF,KYG,11,11297000
202107,QDF,YCA,4,11450000
202107,QDF,FLX,1,47610000
202107,QDF,HNR,0,11910000
202107,QDF,VEA,11,1056180000
202107,QDF,VEA,13,48030000
202107,QDF,EEB,23,1200000
202107,QDF,CAZ,12,674612000
202107,QDF,JVP,23,200000
202107,QDF,KYG,14,802000
202107,QDF,IUR,15,28260000
202107,QDF,BVI,12,83412000
202107,QDF,VEA,23,3600000
202107,QDF,BVI,23,1500000
202107,QDF,VEA,12,392887000
202107,QDF,IUR,12,705380000
202107,QDF,IEK,12,124550000
202107,QDF,GPM,12,3409000
202107,QDF,HZO,12,13163000
202107,QDF,CAZ,23,4400000
202107,QDF,IEK,23,2200000
202107,QDF,IUR,23,7600000
202107,QDF,RBR,1,3010000
202107,QDF,SMH,1,22825000
202107,QDF,RII,12,840000
202107,QDF,QOB,1,16430000
202107,QDF,HZI,12,1259717000
202107,QDF,EEB,12,85607000
202107,QDF,XDG,0,220041000
202107,QDF,IEK,14,9416000
202107,QDF,KFW,1,11782000
