BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,QIM,JVP,1,7238273000
202107,QIM,BVI,1,29772826000
202107,QIM,SHK,1,36740296000
202107,QIM,SCD,0,10097000
202107,QIM,HZI,0,7886811000
202107,QIM,XIE,0,223796816000
202107,QIM,VEA,0,30116098000
202107,QIM,SHK,0,3356607790000
202107,QIM,CVN,0,305767386000
202107,QIM,DSJ,1,35100000
202107,QIM,VEA,1,5773516000
202107,QIM,XIE,1,3709820000
202107,QIM,KYG,1,3790793000
202107,QIM,HZI,1,2708671000
202107,QIM,JOR,0,6834000
202107,QIM,IUR,0,822209000
202107,QIM,BVI,0,1030528777000
202107,QIM,IDN,0,88584000
202107,QIM,UJN,0,53149010000
202107,QIM,AIG,0,295286000
202107,QIM,CAZ,0,171471000
202107,QIM,EEB,0,192400000
202107,QIM,FLX,0,385190000
202107,QIM,RII,0,4837212000
202107,QIM,CBX,0,482589000
202107,QIM,AHN,0,56188000
202107,QIM,QDF,0,5287896000
202107,QIM,ZVX,0,1692769000
202107,QIM,HZO,0,789153000
202107,QIM,ZDD,0,378413000
202107,QIM,TGT,0,1169406000
202107,QIM,DSJ,0,13682436000
202107,QIM,FYT,0,36645809000
202107,QIM,CVN,1,26059749000
202107,QIM,MIQ,0,13874000
202107,QIM,IEK,1,30358334000
202107,QIM,TCH,0,4936790000
202107,QIM,KFW,0,406000
202107,QIM,YCA,0,3209000
202107,QIM,JVP,0,4546574372000
202107,QIM,KYG,0,331645371000
202107,QIM,IEK,0,195669696000
202107,QIM,RLM,1,4610000
202107,QIM,IDN,1,175054000
202107,QIM,JOR,1,38792000
202107,QIM,SSR,0,2260000
202107,QIM,CAZ,1,249839000
202107,QIM,YCA,1,2000
202107,QIM,EEB,1,55103000
202107,QIM,IUR,1,1541310000
202107,QIM,MIQ,1,23930000
202107,QIM,KFW,1,7770000
202107,QIM,ZFS,1,25028000
202107,QIM,QOB,1,7530000
202107,QIM,FLX,1,15560000
202107,QIM,NXL,1,24950000
202107,QIM,HQI,1,4881000
202107,QIM,PNA,1,7690000
202107,QIM,SCD,1,31709000
202107,QIM,NXL,0,2986000
202107,QIM,QDF,1,547609000
202107,QIM,FYT,1,1635535000
202107,QIM,TGT,1,232039000
202107,QIM,AHN,1,377083000
202107,QIM,ZVX,1,187945000
202107,QIM,AIG,1,66230000
202107,QIM,HNR,0,60000
202107,QIM,RLM,0,144000
202107,QIM,ZDD,1,41190000
202107,QIM,RII,1,457986000
202107,QIM,CBX,1,1711928000
202107,QIM,HZO,1,129808000
202107,QIM,ZFS,0,4996000
202107,QIM,TZF,0,205000000
202107,QIM,GPM,0,61000
202107,QIM,PNA,0,85000
202107,QIM,HQI,0,153000
202107,QIM,TCH,1,23600000
202107,QIM,GPM,1,1720000
202108,QIM,FLX,1,11520000
202108,QIM,KFW,1,9700000
202108,QIM,ZFS,1,35170000
202108,QIM,ZVX,1,188127000
202108,QIM,TGT,1,312872000
202108,QIM,XIE,1,4883655000
202108,QIM,RII,1,329864000
202108,QIM,AHN,0,68261000
202108,QIM,GPM,1,1720000
202108,QIM,RLM,1,4610000
202108,QIM,RLM,0,130000
202108,QIM,SCD,0,6698000
202108,QIM,MIQ,0,11666000
202108,QIM,JOR,0,4940000
202108,QIM,QDF,1,529039000
202108,QIM,NXL,1,26520000
202108,QIM,SCD,1,19893000
202108,QIM,AIG,1,35220000
202108,QIM,PNA,1,8820000
202108,QIM,HZO,1,153465000
202108,QIM,PNA,0,103000
202108,QIM,SMH,0,1490000
202108,QIM,HQI,1,5420000
202108,QIM,QOB,1,121040000
202108,QIM,NXL,0,3164000
202108,QIM,YCA,0,500000
202108,QIM,KFW,0,1190000
202108,QIM,DSJ,1,13356000
202108,QIM,IDN,1,274164000
202108,QIM,ZDD,1,46193000
202108,QIM,MIQ,1,49130000
202108,QIM,IDN,0,115068000
202108,QIM,HQI,0,471000
202108,QIM,AIG,0,1214000
