BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,QOB,MIQ,4,26340000
202107,QOB,HQI,4,904000
202107,QOB,AIG,4,2390000
202107,QOB,IUR,4,33429000
202107,QOB,IDN,4,8100000
202107,QOB,IGI,4,2020000
202107,QOB,VEA,4,111029000
202107,QOB,GPM,0,151483000
202107,QOB,HZO,0,1836614000
202107,QOB,SMH,0,2647985000
202107,QOB,IGI,0,4400179000
202107,QOB,EEB,4,28865000
202107,QOB,JOR,0,34026622000
202107,QOB,BVI,0,64990903000
202107,QOB,IUR,0,6784543000
202107,QOB,SCD,0,1625417000
202107,QOB,CVN,0,48860780000
202107,QOB,JVP,0,14909039000
202107,QOB,SHK,0,67047138000
202107,QOB,MIQ,0,5959940000
202107,QOB,CAZ,0,3634694000
202107,QOB,NXL,0,41165904000
202107,QOB,AIG,0,83311040000
202107,QOB,RII,0,2702794000
202107,QOB,HZI,0,38713880000
202107,QOB,IEK,0,88424251000
202107,QOB,VEA,0,40971565000
202107,QOB,KCK,0,349119000
202107,QOB,CVN,4,232705000
202107,QOB,AHN,0,7141246000
202107,QOB,EEB,0,4377152000
202107,QOB,YCA,0,11305492000
202107,QOB,XIE,4,28160000
202107,QOB,BVI,4,212950000
202107,QOB,CBX,4,49782000
202107,QOB,KFW,0,3845736000
202107,QOB,RBR,0,299173000
202107,QOB,YUJ,0,507752000
202107,QOB,ZDD,4,13582000
202107,QOB,SMH,4,200000
202107,QOB,JOR,4,6653000
202107,QOB,QDF,4,6570000
202107,QOB,ZVX,4,3710000
202107,QOB,YCA,4,3350000
202107,QOB,RII,4,7595000
202107,QOB,SCD,4,7335000
202107,QOB,CAZ,4,6575000
202107,QOB,HZO,4,12580000
202107,QOB,FYT,4,6976000
202107,QOB,AHN,4,10060000
202107,QOB,SHK,4,170403000
202107,QOB,JVP,4,53437000
202107,QOB,KYG,4,30751000
202107,QOB,QDF,0,6254749000
202107,QOB,IDN,0,19977450000
202107,QOB,HQI,0,33207113000
202107,QOB,IEK,4,257847000
202107,QOB,FYT,0,4639311000
202107,QOB,UXE,0,8585000
202107,QOB,PNA,4,30000
202107,QOB,KFW,4,580000
202107,QOB,RLM,0,30716000
202107,QOB,SIF,4,700000
202107,QOB,FLX,4,1000000
202107,QOB,YUJ,4,100000
202107,QOB,QIM,0,220000
202107,QOB,NXL,4,750000
202107,QOB,ZFS,4,2300000
202107,QOB,GPM,4,1460000
202107,QOB,TGT,4,3950000
202107,QOB,WZU,0,676100000
202107,QOB,CBX,0,15921761000
202107,QOB,SIF,0,5562532000
202107,QOB,KYG,0,5913263000
202107,QOB,ZVX,0,1959830000
202107,QOB,XIE,0,2291466000
202107,QOB,AXQ,0,14380000
202107,QOB,HZI,4,91042000
202107,QOB,TGT,0,2358985000
202107,QOB,PNA,0,274254000
202107,QOB,SSR,0,81163000
202107,QOB,FLX,0,218777000
202107,QOB,ZDD,0,778329000
202107,QOB,YNB,0,879516000
202107,QOB,AZR,0,1088698000
202107,QOB,WHF,0,498052000
202107,QOB,SXR,0,487608000
202107,QOB,ZFS,0,1718200000
202108,QOB,YCA,4,3350000
202108,QOB,SMH,4,200000
202108,QOB,TGT,4,4000000
202108,QOB,IDN,0,43683177000
202108,QOB,NXL,0,19741177000
202108,QOB,JVP,0,16790950000
202108,QOB,WHF,4,500000
202108,QOB,YUJ,4,100000
202108,QOB,FLX,4,1500000
202108,QOB,PNA,4,30000
202108,QOB,BVI,0,47255423000
202108,QOB,MIQ,0,3435398000
202108,QOB,RII,0,1350908000
202108,QOB,EEB,0,2688563000
202108,QOB,YUJ,0,380215000
202108,QOB,SIF,0,5996128000
202108,QOB,JOR,0,18372023000
202108,QOB,IEK,0,79372169000
202108,QOB,SSR,0,29712000
202108,QOB,IGI,0,8408600000
202108,QOB,ZVX,4,3550000
202108,QOB,JOR,4,6153000
202108,QOB,IGI,4,2020000
202108,QOB,UXE,0,24660000
202108,QOB,AIG,4,2390000
202108,QOB,RLM,0,30241000
202108,QOB,XDG,0,133150000
202108,QOB,SCD,4,1985000
202108,QOB,ZDD,4,11652000
202108,QOB,KFW,4,580000
