BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,RBR,QOB,0,214089000
202107,RBR,KCK,0,320199000
202107,RBR,TGT,0,4694642000
202107,RBR,RLM,0,200000
202107,RBR,IGI,0,293453000
202107,RBR,QDF,0,4802919000
202107,RBR,EEB,0,4145614000
202107,RBR,ZVX,0,2382074000
202107,RBR,FYT,0,4623891000
202107,RBR,ZFS,0,3237572000
202107,RBR,ZQS,0,2001000000
202107,RBR,SIF,0,7355988000
202107,RBR,GPM,0,99193000
202107,RBR,UXE,0,361000000
202107,RBR,AZR,0,466430000
202107,RBR,WZU,0,8948000
202107,RBR,XDG,0,4000000
202107,RBR,FLX,0,79583000
202107,RBR,PNA,0,249084000
202107,RBR,SSR,0,485754000
202107,RBR,YUJ,0,1426141000
202107,RBR,YCA,0,17246529000
202107,RBR,XIE,0,1247132000
202107,RBR,IDN,0,9527667000
202107,RBR,CAZ,0,2117646000
202107,RBR,SCD,0,2753095000
202107,RBR,AIG,0,33452399000
202107,RBR,IEK,0,87152040000
202107,RBR,CBX,0,10847146000
202107,RBR,CVN,0,38267029000
202107,RBR,BVI,0,48704235000
202107,RBR,JVP,0,17164200000
202107,RBR,KYG,0,7124944000
202107,RBR,HZO,0,1062652000
202107,RBR,AHN,0,4671812000
202107,RBR,MIQ,0,19857887000
202107,RBR,WHF,0,469490000
202107,RBR,IUR,0,7450101000
202107,RBR,VEA,0,26353547000
202107,RBR,JOR,0,18588790000
202107,RBR,HZI,0,23304682000
202107,RBR,NXL,0,8675867000
202107,RBR,RII,0,1559927000
202107,RBR,HQI,0,14791131000
202107,RBR,ZDD,0,445294000
202107,RBR,SMH,0,5550841000
202107,RBR,SXR,0,283400000
202107,RBR,AXQ,0,23467000
202107,RBR,YNB,0,259064000
202107,RBR,KFW,0,72861000
202107,RBR,SHK,0,45415119000
202108,RBR,SXR,0,165540000
202108,RBR,HZO,0,708754000
202108,RBR,QOB,0,34011000
202108,RBR,AZR,0,422390000
202108,RBR,FLX,0,765141000
202108,RBR,GPM,0,441948000
202108,RBR,WZU,0,114519000
202108,RBR,RLM,0,10230000
202108,RBR,QIM,0,530000
202108,RBR,ZFS,0,1512951000
