BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,RII,PNA,4,15837000
202107,RII,KCK,4,1770000
202107,RII,GPM,1,320703000
202107,RII,ZDD,1,96872000
202107,RII,TZF,0,73780000
202107,RII,YCA,4,3910000
202107,RII,AIG,4,36640000
202107,RII,QOB,4,3660000
202107,RII,JVP,14,3318000
202107,RII,SMH,4,5270000
202107,RII,ZFS,4,41370000
202107,RII,JOR,4,33215000
202107,RII,ZVX,4,12243000
202107,RII,AXQ,1,3770000
202107,RII,WZU,0,124374000
202107,RII,SXR,0,69143000
202107,RII,XDG,4,2800000
202107,RII,HZO,15,640000
202107,RII,CVN,16,1400000
202107,RII,JVP,16,1000000
202107,RII,IEK,16,2600000
202107,RII,VEA,27,1200000
202107,RII,EEB,13,3180000
202107,RII,CAZ,13,24860000
202107,RII,IEK,13,2730000
202107,RII,JVP,11,20307000
202107,RII,FYT,11,14368000
202107,RII,KYG,11,1044000
202107,RII,FYT,15,200000
202107,RII,HZO,13,1520000
202107,RII,HZI,16,30550000
202107,RII,FYT,13,1140000
202107,RII,GPM,11,1116000
202107,RII,JVP,27,300000
202107,RII,QDF,11,708000
202107,RII,SHK,16,1200000
202107,RII,CVN,13,1830000
202107,RII,BVI,13,640000
202107,RII,QDF,15,40000
202107,RII,KYG,13,380000
202107,RII,CAZ,27,300000
202107,RII,BVI,16,1500000
202107,RII,SHK,13,760000
202107,RII,VEA,13,20750000
202107,RII,HZI,15,14250000
202107,RII,CAZ,15,8760000
202107,RII,IUR,15,4240000
202107,RII,SHK,15,680000
202107,RII,VEA,15,5440000
202107,RII,FYT,14,474000
202107,RII,BVI,15,160000
202107,RII,KYG,15,120000
202107,RII,JVP,15,240000
202107,RII,EEB,16,1500000
202107,RII,CAZ,16,10900000
202107,RII,FYT,16,1800000
202107,RII,IUR,13,9960000
202107,RII,HZI,13,58040000
202107,RII,EEB,15,760000
202107,RII,YUJ,4,30000
202107,RII,YNB,4,620000
202107,RII,ZDD,4,8337000
202107,RII,HNR,0,30815000
202107,RII,GPM,15,80000
202107,RII,IEK,15,640000
202107,RII,JVP,13,1140000
202107,RII,HZO,16,400000
202107,RII,KYG,16,350000
202107,RII,BVI,11,13735000
202107,RII,RBR,1,37176000
202107,RII,SCD,1,187906000
202107,RII,HZI,11,799767000
202107,RII,WHF,4,2380000
202107,RII,UXE,4,5870000
202107,RII,RBR,4,720000
202107,RII,QOB,1,8500000
202107,RII,IEK,14,948000
202107,RII,CVN,23,2600000
202107,RII,VEA,23,1000000
202107,RII,FYT,12,12509000
202107,RII,SHK,23,200000
202107,RII,EEB,23,200000
202107,RII,HZO,23,200000
202107,RII,HZO,12,22667000
202107,RII,HZI,12,410152000
202107,RII,KYG,12,2040000
202107,RII,CAZ,23,2300000
202107,RII,JVP,23,600000
202107,RII,HZI,23,4200000
202107,RII,IUR,23,800000
202107,RII,BVI,23,100000
202107,RII,VEA,12,156608000
202107,RII,SHK,12,31604000
202107,RII,CAZ,12,295001000
202107,RII,IUR,12,130236000
202107,RII,IEK,12,22656000
202107,RII,BVI,12,11142000
202107,RII,CVN,12,7581000
202107,RII,EEB,12,36379000
202107,RII,QDF,12,600000
202107,RII,JVP,12,8653000
202107,RII,FLX,1,63392000
202107,RII,GPM,12,300000
202107,RII,KYG,23,100000
202107,RII,IEK,23,300000
202107,RII,FLX,4,10140000
202107,RII,HQI,1,45243000
202107,RII,QIM,1,188000000
202107,RII,CVN,14,474000
202107,RII,SHK,14,2926000
202107,RII,JOR,1,105009000
202107,RII,AIG,1,140936000
202107,RII,IUR,16,6716000
202107,RII,YCA,1,1290000
202107,RII,IUR,11,240001000
202107,RII,IEK,11,40741000
202107,RII,CVN,11,12289000
202107,RII,DSJ,0,28331000
202107,RII,AXQ,4,2300000
202107,RII,WHF,1,3000000
202107,RII,VEA,11,326078000
202107,RII,CAZ,11,444942000
202107,RII,VEA,16,12083000
202107,RII,EEB,11,45187000
202107,RII,HZO,11,27620000
202107,RII,SHK,11,27802000
202107,RII,IGI,1,4290000
202107,RII,SIF,1,100000
202107,RII,KFW,4,160000
202107,RII,TCH,1,6720000
202107,RII,IGI,4,1710000
202107,RII,KCK,1,24848000
202107,RII,TGT,1,377899000
202107,RII,IDN,1,396910000
202107,RII,TCH,0,1060935000
202107,RII,PNA,1,76556000
202107,RII,IGI,0,7276168000
202107,RII,UXE,0,95359000
202107,RII,SCD,4,23767000
202107,RII,CAZ,4,491134000
202107,RII,IDN,4,90821000
202107,RII,XIE,4,70515000
202107,RII,EEB,4,1170709000
202107,RII,CVN,4,2087746000
202107,RII,IUR,4,1841770000
202107,RII,FYT,4,1405372000
202107,RII,BVI,4,2047249000
202107,RII,HQI,4,37913000
202107,RII,MIQ,4,145825000
202107,RII,CBX,4,885857000
202107,RII,IEK,4,3318485000
202107,RII,JVP,4,1576646000
202107,RII,TGT,4,37169000
202107,RII,QDF,4,220114000
202107,RII,SHK,4,1819510000
202107,RII,HZO,4,559354000
202107,RII,HZI,4,5202310000
202107,RII,VEA,4,3783771000
202107,RII,GPM,4,64983000
202107,RII,NXL,4,47505000
202107,RII,SMH,1,7497000
202107,RII,ZFS,1,42003000
202107,RII,ZFS,0,8475418000
202107,RII,XDG,0,2726170000
202107,RII,YUJ,0,464650000
202107,RII,SMH,0,5150187000
202107,RII,AXQ,0,330109000
202107,RII,YNB,0,686101000
202107,RII,KCK,0,2090480000
202107,RII,NXL,0,75331681000
202107,RII,SCD,0,7610004000
202107,RII,AIG,0,92681672000
202107,RII,YCA,0,14748835000
202107,RII,EEB,14,1896000
202107,RII,HQI,0,53230236000
202107,RII,HZI,14,33714000
202107,RII,VEA,14,12998000
202107,RII,CAZ,14,16614000
202107,RII,HZO,0,63551886000
202107,RII,BVI,0,1666389160000
202107,RII,KYG,0,234108139000
202107,RII,FYT,0,442083257000
202107,RII,IUR,0,257193445000
202107,RII,CAZ,0,75115024000
202107,RII,SHK,0,4558324396000
202107,RII,VEA,0,1316142436000
202107,RII,HZI,0,1006561001000
202107,RII,XIE,0,37273937000
202107,RII,JVP,0,1219466777000
202107,RII,QIM,0,3986696000
202107,RII,TGT,0,49077919000
202107,RII,CAZ,1,4757784000
202107,RII,EEB,0,266038618000
202107,RII,ZVX,0,27354964000
202107,RII,PNA,0,2191535000
202107,RII,QDF,0,138460432000
202107,RII,QDF,1,2145516000
202107,RII,AHN,0,69030518000
202107,RII,KYG,1,2887776000
202107,RII,HZO,1,1601265000
202107,RII,IUR,1,11938270000
202107,RII,FYT,1,16050373000
202107,RII,EEB,1,2192879000
202107,RII,CVN,1,27887020000
202107,RII,HZI,1,73297277000
202107,RII,IEK,1,57952687000
202107,RII,SHK,1,34189318000
202107,RII,BVI,1,32703784000
202107,RII,CBX,1,6532739000
202107,RII,JVP,1,31830972000
202107,RII,VEA,1,69205119000
202107,RII,MIQ,0,70613452000
202107,RII,IUR,14,13050000
202107,RII,JOR,0,59841822000
202107,RII,AHN,4,114329000
202107,RII,KYG,4,276720000
202107,RII,MIQ,1,195548000
202107,RII,RLM,0,67017000
202107,RII,IDN,0,44009436000
202107,RII,SIF,0,32289260000
202107,RII,ZDD,0,29604135000
202107,RII,CVN,0,981876352000
202107,RII,IEK,0,1611147459000
202107,RII,CBX,0,183637939000
202107,RII,XIE,1,552475000
202107,RII,AHN,1,728798000
202107,RII,SSR,0,856489000
202107,RII,KFW,0,1073274000
202107,RII,UJN,0,7882193000
202107,RII,WHF,0,1570974000
202107,RII,QOB,0,2802173000
202107,RII,FLX,0,4107286000
202107,RII,RBR,0,1418461000
202107,RII,GPM,0,3001292000
202107,RII,ZVX,1,192528000
202107,RII,NXL,1,232752000
202107,RII,AZR,0,364793000
202108,RII,IUR,12,131122000
202108,RII,HZI,12,415452000
202108,RII,JVP,12,8813000
202108,RII,EEB,23,200000
202108,RII,EEB,12,36259000
202108,RII,SHK,12,31964000
202108,RII,HZO,12,23387000
202108,RII,CVN,12,7041000
202108,RII,CAZ,12,300527000
202108,RII,KCK,1,8590000
202108,RII,YUJ,4,30000
202108,RII,JVP,23,600000
202108,RII,KYG,23,100000
202108,RII,GPM,12,300000
202108,RII,KYG,12,2040000
202108,RII,CVN,23,2600000
202108,RII,IEK,23,400000
202108,RII,VEA,23,1200000
202108,RII,RLM,4,300000
202108,RII,IEK,12,22056000
202108,RII,HZI,23,4600000
202108,RII,BVI,12,11622000
202108,RII,VEA,12,156310000
202108,RII,YCA,1,1460000
202108,RII,IUR,23,1000000
202108,RII,CAZ,23,2200000
202108,RII,FYT,12,13169000
202108,RII,BVI,23,100000
202108,RII,HZO,23,200000
202108,RII,QDF,12,300000
202108,RII,SCD,1,241314000
202108,RII,HZI,14,273080000
202108,RII,ZDD,4,10492000
202108,RII,QDF,0,133820026000
202108,RII,CBX,0,191026571000
202108,RII,AHN,0,77824291000
202108,RII,TGT,0,74301152000
202108,RII,IUR,0,271193927000
202108,RII,ZVX,0,34053684000
202108,RII,SHK,0,4603218082000
202108,RII,HZI,0,973352489000
202108,RII,VEA,0,1242325143000
202108,RII,RLM,0,236138000
202108,RII,PNA,1,451045000
202108,RII,SHK,23,100000
202108,RII,YNB,4,500000
202108,RII,HZO,0,58032550000
202108,RII,XIE,0,31061353000
202108,RII,CAZ,11,472734000
202108,RII,GPM,11,1116000
202108,RII,JVP,27,300000
202108,RII,JVP,11,22458000
202108,RII,CVN,11,14239000
202108,RII,KYG,11,923000
202108,RII,SHK,15,640000
202108,RII,JVP,15,280000
202108,RII,QDF,15,40000
202108,RII,BVI,13,640000
202108,RII,CAZ,27,300000
202108,RII,KCK,4,1670000
202108,RII,CVN,13,1830000
202108,RII,FYT,15,200000
202108,RII,FLX,1,51688000
202108,RII,CAZ,14,154016000
202108,RII,QDF,11,1108000
202108,RII,SHK,11,28772000
202108,RII,WHF,4,2380000
202108,RII,EEB,16,1500000
202108,RII,IEK,13,2730000
202108,RII,GPM,1,46742000
202108,RII,IEK,11,44806000
202108,RII,KYG,15,120000
202108,RII,KYG,13,380000
202108,RII,HZO,15,640000
202108,RII,AXQ,1,4110000
202108,RII,IEK,16,2000000
202108,RII,BVI,15,160000
202108,RII,HZI,13,58140000
202108,RII,CAZ,13,25430000
202108,RII,HZI,16,29850000
202108,RII,EEB,15,760000
