BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,RLM,RII,0,5567000
202107,RLM,CAZ,0,28829000
202107,RLM,IDN,0,361180000
202107,RLM,IGI,0,3650000
202107,RLM,FLX,0,78000
202107,RLM,KCK,0,13391000
202107,RLM,MIQ,0,113045000
202107,RLM,NXL,0,4151052000
202107,RLM,SMH,0,42737000
202107,RLM,ZDD,0,10516000
202107,RLM,GPM,0,125000000
202107,RLM,KFW,0,1000000
202107,RLM,YUJ,0,1000000
202107,RLM,WHF,0,320000
202107,RLM,YNB,0,3000000
202107,RLM,UXE,0,2475000
202107,RLM,YCA,0,25099000
202107,RLM,RBR,0,30000000
202107,RLM,SCD,0,4320000
202107,RLM,HZO,0,1870000
202107,RLM,TGT,0,2221000
202107,RLM,CVN,0,1442127000
202107,RLM,AIG,0,1982155000
202107,RLM,JOR,0,948628000
202107,RLM,XIE,0,28326000
202107,RLM,ZFS,0,300000
202107,RLM,VEA,0,654754000
202107,RLM,SHK,0,1642854000
202107,RLM,IUR,0,49500000
202107,RLM,KYG,0,330308000
202107,RLM,FYT,0,151424000
202107,RLM,IEK,0,2912102000
202107,RLM,EEB,0,82435000
202107,RLM,HQI,0,2033347000
202107,RLM,CBX,0,319027000
202107,RLM,AHN,0,111908000
202107,RLM,HZI,0,252542000
202107,RLM,JVP,0,355644000
202107,RLM,PNA,0,40000000
202107,RLM,QDF,0,402898000
202107,RLM,ZVX,0,52594000
202107,RLM,BVI,0,1317404000
202107,RLM,SIF,0,87040000
202108,RLM,IGI,0,500000
202108,RLM,WZU,0,150080000
202108,RLM,YNB,0,104000
202108,RLM,GPM,0,161065000
202108,RLM,NXL,0,110364000
202108,RLM,HZO,0,2206000
202108,RLM,SIF,0,91588000
202108,RLM,CAZ,0,66724000
202108,RLM,ZDD,0,5000000
202108,RLM,ZFS,0,2986000
202108,RLM,KFW,0,500000
202108,RLM,KCK,0,82370000
202108,RLM,SCD,0,100000
