BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,SCD,WHF,4,2430000
202107,SCD,SSR,4,50000
202107,SCD,RBR,4,2613000
202107,SCD,NXL,4,59174000
202107,SCD,PNA,4,8910000
202107,SCD,UJN,0,1536000
202107,SCD,AZR,4,510000
202107,SCD,RLM,4,4040000
202107,SCD,GPM,4,19562000
202107,SCD,YUJ,4,3521000
202107,SCD,SMH,4,6980000
202107,SCD,IGI,4,6093000
202107,SCD,YNB,4,3410000
202107,SCD,AXQ,4,1908000
202107,SCD,WZU,0,31341000
202107,SCD,XDG,4,10000
202107,SCD,QIM,0,20000000
202107,SCD,HNR,0,3700000
202107,SCD,KFW,4,14769000
202107,SCD,IUR,4,899196000
202107,SCD,KYG,4,398788000
202107,SCD,RII,4,118626000
202107,SCD,QDF,4,299404000
202107,SCD,XIE,4,72259000
202107,SCD,IEK,0,168552824000
202107,SCD,CVN,0,113943978000
202107,SCD,CAZ,0,8674282000
202107,SCD,HQI,0,131959237000
202107,SCD,CBX,0,46076967000
202107,SCD,VEA,0,92431426000
202107,SCD,QOB,0,2141005000
202107,SCD,PNA,0,495388000
202107,SCD,CBX,4,714908000
202107,SCD,MIQ,4,543795000
202107,SCD,BVI,4,1599508000
202107,SCD,HZO,4,306756000
202107,SCD,SSR,0,221745000
202107,SCD,SIF,0,25177347000
202107,SCD,IDN,0,30525720000
202107,SCD,ZFS,0,7449872000
202107,SCD,AHN,0,27669134000
202107,SCD,SHK,0,132598314000
202107,SCD,FLX,0,1318389000
202107,SCD,VEA,4,1554382000
202107,SCD,IDN,4,156192000
202107,SCD,ZDD,4,44535000
202107,SCD,FLX,4,50022000
202107,SCD,UXE,4,53205000
202107,SCD,HQI,4,36994000
202107,SCD,RLM,0,438111000
202107,SCD,SHK,4,1647286000
202107,SCD,AHN,4,140345000
202107,SCD,TGT,0,4407720000
202107,SCD,JVP,0,55167123000
202107,SCD,JOR,0,104198221000
202107,SCD,NXL,0,95852259000
202107,SCD,ZDD,0,1676893000
202107,SCD,AIG,0,144104656000
202107,SCD,FYT,4,308210000
202107,SCD,ZFS,4,45845000
202107,SCD,CVN,4,1405705000
202107,SCD,SIF,4,69790000
202107,SCD,KCK,4,4260000
202107,SCD,QOB,4,4685000
202107,SCD,JOR,4,115771000
202107,SCD,YCA,0,32275880000
202107,SCD,EEB,0,10565757000
202107,SCD,XIE,0,5506048000
202107,SCD,IUR,0,33046638000
202107,SCD,RII,0,5669396000
202107,SCD,HZI,0,82932423000
202107,SCD,HZO,0,9019422000
202107,SCD,FYT,0,11493003000
202107,SCD,ZVX,0,3650319000
202107,SCD,SMH,0,5304692000
202107,SCD,GPM,0,428190000
202107,SCD,WHF,0,2421691000
202107,SCD,SXR,0,172696000
202107,SCD,EEB,4,581970000
202107,SCD,AIG,4,91822000
202107,SCD,KCK,0,486259000
202107,SCD,KFW,0,457840000
202107,SCD,YNB,0,1912923000
202107,SCD,IGI,0,4033037000
202107,SCD,JVP,4,572268000
202107,SCD,RBR,0,2646977000
202107,SCD,YCA,4,14642000
202107,SCD,TGT,4,178567000
202107,SCD,QDF,0,14529347000
202107,SCD,KYG,0,9829166000
202107,SCD,YUJ,0,1798691000
202107,SCD,ZVX,4,74945000
202107,SCD,MIQ,0,35791137000
202107,SCD,BVI,0,103941924000
202107,SCD,AZR,0,4289821000
202107,SCD,AXQ,0,130810000
202107,SCD,UXE,0,503672000
202107,SCD,HZI,4,1436565000
202107,SCD,CAZ,4,248507000
202107,SCD,IEK,4,2369073000
202108,SCD,WZU,0,1775890000
202108,SCD,XDG,4,10000
202108,SCD,HNR,0,20000
202108,SCD,NXL,0,51418897000
202108,SCD,QDF,0,13698459000
202108,SCD,CVN,0,100405861000
202108,SCD,FYT,0,13594619000
202108,SCD,SHK,0,126282738000
202108,SCD,IDN,0,137914589000
202108,SCD,AHN,0,28675022000
202108,SCD,ZFS,0,6819541000
202108,SCD,XDG,0,5002000
202108,SCD,JIK,0,52210000
202108,SCD,QIM,0,9000000
202108,SCD,WHF,4,2330000
202108,SCD,RBR,0,2004353000
202108,SCD,YNB,0,2142113000
202108,SCD,SXR,0,93141000
202108,SCD,KYG,0,12991761000
202108,SCD,WHF,0,3572212000
