BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,SHK,RBR,4,58237000
202107,SHK,PNA,4,55149000
202107,SHK,SSR,4,4630000
202107,SHK,EEB,14,9680000
202107,SHK,JVP,14,6162000
202107,SHK,SMH,1,288186000
202107,SHK,HZI,16,105181000
202107,SHK,YUJ,4,58313000
202107,SHK,KCK,3,43550000
202107,SHK,SXR,4,300000
202107,SHK,HZO,16,8733000
202107,SHK,IUR,16,82347000
202107,SHK,IEK,16,73769000
202107,SHK,CAZ,16,54781000
202107,SHK,AZR,4,9875000
202107,SHK,UJN,1,6200000
202107,SHK,UXE,3,101000
202107,SHK,CBX,11,1101000
202107,SHK,ZDD,11,1859000
202107,SHK,IUR,27,1200000
202107,SHK,EEB,16,17150000
202107,SHK,KYG,16,4550000
202107,SHK,CBX,15,40000
202107,SHK,FYT,15,80000
202107,SHK,EEB,13,12480000
202107,SHK,FYT,11,4468000
202107,SHK,MIQ,11,310000
202107,SHK,VEA,13,64610000
202107,SHK,IEK,15,66435000
202107,SHK,KYG,15,4720000
202107,SHK,TGT,16,200000
202107,SHK,TGT,11,5230000
202107,SHK,CVN,13,29120000
202107,SHK,HZO,15,8300000
202107,SHK,JVP,16,33233000
202107,SHK,XIE,11,25985000
202107,SHK,IUR,13,92310000
202107,SHK,BVI,27,1200000
202107,SHK,UXE,4,247083000
202107,SHK,QOB,1,1052582000
202107,SHK,KFW,1,103316000
202107,SHK,SIF,1,61704000
202107,SHK,HZO,27,300000
202107,SHK,VEA,16,41282000
202107,SHK,CVN,16,31483000
202107,SHK,WHF,1,3804586000
202107,SHK,IDN,1,3325555000
202107,SHK,AIG,1,746310000
202107,SHK,HZO,14,11968000
202107,SHK,BVI,14,18727000
202107,SHK,YCA,1,80891000
202107,SHK,YNB,4,16825000
202107,SHK,RLM,4,19466000
202107,SHK,AXQ,4,38457000
202107,SHK,KFW,3,19992000
202107,SHK,TCH,3,288147000
202107,SHK,QIM,4,5304360000
202107,SHK,KCK,4,54174000
202107,SHK,BVI,12,602208000
202107,SHK,UJN,3,32089000
202107,SHK,FLX,1,6137066000
202107,SHK,FLX,12,674000
202107,SHK,FYT,12,3540000
202107,SHK,QDF,12,1200000
202107,SHK,JVP,23,2000000
202107,SHK,IUR,23,7700000
202107,SHK,IEK,23,7200000
202107,SHK,QDF,23,100000
202107,SHK,VEA,15,42710000
202107,SHK,VEA,12,554448000
202107,SHK,RLM,3,600000
202107,SHK,KYG,14,3712000
202107,SHK,CVN,12,298852000
202107,SHK,HZI,12,1171816000
202107,SHK,YNB,1,1176000
202107,SHK,GPM,12,300000
202107,SHK,HNR,1,38057000
202107,SHK,CAZ,11,1956821000
202107,SHK,JIK,1,29200000
202107,SHK,TCH,1,31204000
202107,SHK,RBR,1,29873000
202107,SHK,IUR,15,64060000
