BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,SIF,XDG,0,19950000
202107,SIF,SXR,0,888814000
202107,SIF,JFG,0,1000000
202107,SIF,RLM,0,159238000
202107,SIF,ZQS,0,45000000
202107,SIF,AXQ,0,668745000
202107,SIF,YCA,0,28933774000
202107,SIF,KCK,0,5064337000
202107,SIF,RBR,0,8288304000
202107,SIF,QOB,0,2713790000
202107,SIF,ZFS,0,50897771000
202107,SIF,SCD,0,16623927000
202107,SIF,HZO,0,10825573000
202107,SIF,IDN,0,125120391000
202107,SIF,NXL,0,105167159000
202107,SIF,ZVX,0,29163129000
202107,SIF,FLX,0,1768396000
202107,SIF,RII,0,26693047000
202107,SIF,JVP,0,347565184000
202107,SIF,AHN,0,61104901000
202107,SIF,CBX,0,259513504000
202107,SIF,SMH,0,75970163000
202107,SIF,XIE,0,45992086000
202107,SIF,IEK,0,1340220997000
202107,SIF,SHK,0,814990089000
202107,SIF,CVN,0,540634224000
202107,SIF,AIG,0,182856253000
202107,SIF,WZU,0,42876000
202107,SIF,KFW,0,2525857000
202107,SIF,EEB,0,15218034000
202107,SIF,KYG,0,136828391000
202107,SIF,VEA,0,498019203000
202107,SIF,HZI,0,196570038000
202107,SIF,TGT,0,48344683000
202107,SIF,YUJ,0,20770477000
202107,SIF,MIQ,0,69191867000
202107,SIF,SSR,0,237101000
202107,SIF,PNA,0,2204607000
202107,SIF,JOR,0,111206405000
202107,SIF,IGI,0,12205580000
202107,SIF,CAZ,0,47487833000
202107,SIF,HQI,0,145246669000
202107,SIF,YNB,0,8936672000
202107,SIF,FYT,0,64460424000
202107,SIF,IUR,0,68000037000
202107,SIF,BVI,0,452140494000
202107,SIF,QDF,0,153806450000
202107,SIF,WHF,0,4869994000
202107,SIF,GPM,0,269963000
202107,SIF,ZDD,0,6295032000
202107,SIF,UXE,0,579420000
202107,SIF,AZR,0,2396609000
202108,SIF,RLM,0,123122000
202108,SIF,WZU,0,3111944000
202108,SIF,UJN,0,2430000
202108,SIF,XDG,0,20000000
202108,SIF,ZVX,0,30761413000
202108,SIF,MIQ,0,93962640000
202108,SIF,IGI,0,15197748000
202108,SIF,ZFS,0,50229109000
202108,SIF,FLX,0,2215090000
