BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,SSR,AZR,0,1530000
202107,SSR,HQI,0,562996000
202107,SSR,FYT,0,1422777000
202107,SSR,SMH,0,30601000
202107,SSR,AXQ,0,28125000
202107,SSR,SIF,0,681548000
202107,SSR,KYG,0,783887000
202107,SSR,IGI,0,17177000
202107,SSR,QDF,0,1267694000
202107,SSR,QOB,0,30293000
202107,SSR,YUJ,0,6696000
202107,SSR,YCA,0,86251000
202107,SSR,XIE,0,167923000
202107,SSR,YNB,0,29961000
202107,SSR,RII,0,716877000
202107,SSR,HZO,0,600849000
202107,SSR,KCK,0,19721000
202107,SSR,JVP,0,5281135000
202107,SSR,CVN,0,5297119000
202107,SSR,CBX,0,8841904000
202107,SSR,IEK,0,13989991000
202107,SSR,HZI,0,9156977000
202107,SSR,EEB,0,695136000
202107,SSR,FLX,0,98547000
202107,SSR,ZFS,0,440435000
202107,SSR,KFW,0,2564000
202107,SSR,WHF,0,42201000
202107,SSR,PNA,0,5178000
202107,SSR,WZU,0,526000
202107,SSR,TGT,0,128066000
202107,SSR,NXL,0,561994000
202107,SSR,GPM,0,6616000
202107,SSR,UXE,0,3192000
202107,SSR,RBR,0,22820000
202107,SSR,SCD,0,47502000
202107,SSR,JOR,0,397111000
202107,SSR,ZVX,0,444644000
202107,SSR,ZDD,0,169228000
202107,SSR,MIQ,0,272936000
202107,SSR,SHK,0,10434579000
202107,SSR,BVI,0,7925652000
202107,SSR,AHN,0,1718440000
202107,SSR,VEA,0,6735390000
202107,SSR,CAZ,0,767424000
202107,SSR,AIG,0,852787000
202107,SSR,IUR,0,1547796000
202107,SSR,IDN,0,690655000
202108,SSR,KFW,0,2115000
202108,SSR,YNB,0,16006000
202108,SSR,YUJ,0,14237000
202108,SSR,GPM,0,7908000
202108,SSR,AZR,0,515000
202108,SSR,PNA,0,7452000
202108,SSR,UXE,0,6661000
