BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,SXR,ZFS,0,3044883000
202107,SXR,IGI,0,230836000
202107,SXR,QDF,0,415352000
202107,SXR,SCD,0,32600000
202107,SXR,HZO,0,260308000
202107,SXR,SIF,0,2196940000
202107,SXR,JOR,0,2514952000
202107,SXR,ZVX,0,5840000
202107,SXR,YNB,0,2479710000
202107,SXR,RII,0,5753000
202107,SXR,AZR,0,42800000
202107,SXR,ZDD,0,31880000
202107,SXR,KCK,0,40200000
202107,SXR,WHF,0,8350000
202107,SXR,SSR,0,514000
202107,SXR,PNA,0,9600000
202107,SXR,GPM,0,10000
202107,SXR,RBR,0,33703000
202107,SXR,SHK,0,4874446000
202107,SXR,AIG,0,2835992000
202107,SXR,QOB,0,656776000
202107,SXR,SMH,0,352580000
202107,SXR,TGT,0,1043586000
202107,SXR,BVI,0,6593029000
202107,SXR,CBX,0,1312367000
202107,SXR,HQI,0,1767160000
202107,SXR,EEB,0,15631000
202107,SXR,CVN,0,4622459000
202107,SXR,HZI,0,995861000
202107,SXR,KYG,0,522470000
202107,SXR,IUR,0,108734000
202107,SXR,XIE,0,539242000
202107,SXR,IEK,0,14442387000
202107,SXR,FYT,0,24196000
202107,SXR,AHN,0,186813000
202107,SXR,YCA,0,938630000
202107,SXR,VEA,0,3343962000
202107,SXR,JVP,0,1469750000
202107,SXR,CAZ,0,279942000
202107,SXR,MIQ,0,708482000
202107,SXR,IDN,0,2913721000
202107,SXR,NXL,0,2458707000
202108,SXR,KFW,0,4500000
202108,SXR,MIQ,0,279865000
202108,SXR,FYT,0,15644000
202108,SXR,NXL,0,2577429000
202108,SXR,AIG,0,1495128000
202108,SXR,ZDD,0,43200000
202108,SXR,RLM,0,1200000
202108,SXR,EEB,0,1047000
202108,SXR,YCA,0,7500000
202108,SXR,YUJ,0,94900000
202108,SXR,RII,0,100106000
202108,SXR,IGI,0,451270000
202108,SXR,RBR,0,1300000
202108,SXR,SMH,0,91452000
