BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,TCH,JVP,0,93794136000
202107,TCH,CVN,0,235940444000
202107,TCH,HZI,0,39072946000
202107,TCH,CBX,0,230226000
202107,TCH,BVI,0,163179021000
202107,TCH,FLX,0,27255000
202107,TCH,CAZ,0,368223000
202107,TCH,ZFS,0,40471000
202107,TCH,DSJ,0,12119066000
202107,TCH,AHN,1,154827000
202107,TCH,EEB,1,142494000
202107,TCH,HZI,1,2536822000
202107,TCH,TGT,0,993607000
202107,TCH,CBX,1,712734000
202107,TCH,SMH,0,874000
202107,TCH,UJN,0,7802771000
202107,TCH,TGT,1,189804000
202107,TCH,QDF,1,211185000
202107,TCH,CVN,1,21258459000
202107,TCH,GPM,0,30712000
202107,TCH,BVI,1,17684421000
202107,TCH,TZF,0,644796518000
202107,TCH,XIE,1,1014644000
202107,TCH,GPM,1,13630000
202107,TCH,IUR,1,272382000
202107,TCH,JVP,1,3754605000
202107,TCH,KYG,1,1450598000
202107,TCH,CAZ,1,224585000
202107,TCH,IEK,1,14144032000
202107,TCH,SHK,1,18454251000
202107,TCH,VEA,1,3644664000
202107,TCH,HZO,0,847243000
202107,TCH,IUR,0,118617000
202107,TCH,ZDD,0,183153000
202107,TCH,EEB,0,451425000
202107,TCH,QIM,0,58992994000
202107,TCH,RII,0,7310370000
202107,TCH,VEA,0,35806301000
202107,TCH,KYG,0,20181420000
202107,TCH,ZVX,0,5399892000
202107,TCH,XIE,0,196684656000
202107,TCH,QDF,0,6648183000
202107,TCH,SHK,0,223426962000
202107,TCH,IEK,0,48847015000
202107,TCH,FYT,0,3400508000
202107,TCH,AHN,0,15606000
202107,TCH,SMH,1,12880000
202107,TCH,JOR,1,37290000
202107,TCH,NXL,0,300000
202107,TCH,MIQ,1,13260000
202107,TCH,MIQ,0,1960000
202107,TCH,AIG,1,6290000
202107,TCH,JOR,0,8910000
202107,TCH,RII,1,651010000
202107,TCH,ZVX,1,170821000
202107,TCH,NXL,1,17100000
202107,TCH,FYT,1,226407000
202107,TCH,ZDD,1,35748000
202107,TCH,HZO,1,20850000
202107,TCH,FLX,1,11840000
202107,TCH,SCD,1,13540000
202107,TCH,ZFS,1,18411000
202107,TCH,HQI,1,8000000
202107,TCH,AIG,0,5632000
202107,TCH,IDN,1,308040000
202107,TCH,IDN,0,2040000
202107,TCH,WZU,0,1069000
202107,TCH,SCD,0,2480000
202107,TCH,HQI,0,324000
202108,TCH,SCD,1,12710000
202108,TCH,GPM,0,6272000
202108,TCH,FLX,1,10060000
202108,TCH,JOR,0,5940000
202108,TCH,ZFS,0,31843000
202108,TCH,CBX,0,248766000
202108,TCH,TZF,0,607033136000
202108,TCH,BVI,1,15653154000
202108,TCH,HZO,0,954656000
202108,TCH,ZVX,0,4583630000
202108,TCH,CVN,1,19330486000
202108,TCH,HZI,0,34999199000
202108,TCH,CAZ,0,382891000
202108,TCH,FYT,0,3153275000
202108,TCH,VEA,0,102872371000
202108,TCH,BVI,0,104774816000
202108,TCH,SHK,0,216776008000
202108,TCH,KYG,0,15454877000
202108,TCH,NXL,1,17100000
202108,TCH,AIG,1,6310000
202108,TCH,SCD,0,1310000
202108,TCH,HQI,0,251000
202108,TCH,MIQ,0,215000
202108,TCH,CBX,1,712812000
202108,TCH,TGT,0,628858000
202108,TCH,RII,1,464900000
202108,TCH,HZO,1,25130000
202108,TCH,GPM,1,8070000
202108,TCH,EEB,1,89357000
202108,TCH,SMH,1,8010000
202108,TCH,IDN,1,4030000
202108,TCH,ZFS,1,28500000
202108,TCH,TGT,1,144054000
202108,TCH,IUR,1,238598000
202108,TCH,QDF,1,199620000
202108,TCH,UJN,0,6901780000
202108,TCH,DSJ,0,613255000
202108,TCH,ZVX,1,154097000
202108,TCH,CAZ,1,168429000
202108,TCH,FYT,1,220893000
202108,TCH,JOR,1,30730000
202108,TCH,HQI,1,8000000
202108,TCH,MIQ,1,6490000
202108,TCH,SMH,0,695000
202108,TCH,IDN,0,894000
202108,TCH,XIE,1,1046362000
202108,TCH,ZDD,1,38160000
202108,TCH,AIG,0,936448000
202108,TCH,AHN,1,144849000
202108,TCH,FLX,0,8405000
