BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,TGT,AXQ,4,1938000
202107,TGT,HNR,0,1602043000
202107,TGT,MIQ,1,2830000
202107,TGT,RBR,4,2481000
202107,TGT,IGI,4,2700000
202107,TGT,QOB,4,4030000
202107,TGT,KFW,4,3938000
202107,TGT,PNA,4,2020000
202107,TGT,WHF,4,3625000
202107,TGT,YCA,4,6420000
202107,TGT,ZVX,3,174000000
202107,TGT,KCK,4,1951000
202107,TGT,WZU,0,847577000
202107,TGT,RLM,0,388159000
202107,TGT,TCH,0,228735000
202107,TGT,KYG,1,347410000
202107,TGT,QDF,1,150338000
202107,TGT,IDN,1,9900000
202107,TGT,RII,3,520000000
202107,TGT,ZDD,1,42070000
202107,TGT,XIE,1,263143000
202107,TGT,HZO,1,31582000
202107,TGT,ZVX,1,82630000
202107,TGT,VEA,3,470000000
202107,TGT,FLX,1,19948000
202107,TGT,JVP,3,455000000
202107,TGT,CAZ,1,200331000
202107,TGT,SHK,3,2900000000
202107,TGT,HQI,1,300000
202107,TGT,EEB,1,105404000
202107,TGT,ZQS,0,150000
202107,TGT,SSR,4,500000
202107,TGT,GPM,1,3575000
202107,TGT,RLM,4,100000
202107,TGT,ZDD,3,1000000000
202107,TGT,AXQ,1,1430000
202107,TGT,SCD,1,3170000
202107,TGT,JOR,1,9379000
202107,TGT,DSJ,0,304550000
202107,TGT,BVI,3,677000000
202107,TGT,IEK,3,1000000000
202107,TGT,NXL,1,23872000
202107,TGT,TZF,0,5650000
202107,TGT,XDG,0,250000
202107,TGT,RII,0,336079758000
202107,TGT,NXL,0,349377670000
202107,TGT,HZI,0,135489002000
202107,TGT,JVP,0,1221596381000
202107,TGT,CBX,0,55134122000
202107,TGT,VEA,0,651558916000
202107,TGT,EEB,0,322657645000
202107,TGT,HZO,4,500856000
202107,TGT,CVN,4,2377190000
202107,TGT,IUR,4,1033127000
202107,TGT,KYG,4,601674000
202107,TGT,IEK,4,2780456000
202107,TGT,HZI,4,1090875000
202107,TGT,AIG,0,420116631000
202107,TGT,IEK,1,21632669000
202107,TGT,VEA,4,1643036000
202107,TGT,IUR,0,72388475000
202107,TGT,CAZ,0,9617318000
202107,TGT,BVI,0,4940415254000
202107,TGT,CVN,0,1630141290000
202107,TGT,KYG,0,476633041000
202107,TGT,JVP,4,673375000
202107,TGT,CBX,4,776019000
202107,TGT,MIQ,0,179484450000
202107,TGT,XIE,0,218337681000
202107,TGT,ZVX,0,45397189000
202107,TGT,IDN,4,203888000
202107,TGT,BVI,4,2157533000
202107,TGT,AHN,0,20513409000
202107,TGT,ZDD,0,31017231000
202107,TGT,HZO,0,53438969000
202107,TGT,QDF,0,94457119000
202107,TGT,FYT,0,87398764000
202107,TGT,SHK,1,4053742000
202107,TGT,HZI,1,2745624000
202107,TGT,SCD,4,103254000
202107,TGT,QDF,4,201336000
202107,TGT,NXL,4,36504000
202107,TGT,IDN,0,53478196000
202107,TGT,JOR,0,339663689000
202107,TGT,FYT,4,243617000
202107,TGT,UXE,4,57642000
202107,TGT,JOR,4,84832000
202107,TGT,MIQ,4,1161887000
202107,TGT,UJN,0,411211000
202107,TGT,KCK,0,2120669000
202107,TGT,KFW,0,788124000
202107,TGT,UXE,0,630112000
202107,TGT,SCD,0,5219521000
202107,TGT,YCA,0,111276860000
202107,TGT,AIG,4,86950000
202107,TGT,ZVX,4,84951000
202107,TGT,FLX,4,111557000
202107,TGT,IEK,0,1214556211000
202107,TGT,SHK,0,4756757715000
202107,TGT,FYT,1,366208000
202107,TGT,AXQ,0,110822000
202107,TGT,HQI,0,276020708000
202107,TGT,SIF,0,33493726000
202107,TGT,QOB,0,13267012000
202107,TGT,GPM,4,24080000
202107,TGT,ZFS,4,88174000
202107,TGT,RII,4,80797000
202107,TGT,CAZ,4,264132000
202107,TGT,ZDD,4,62392000
202107,TGT,EEB,4,575763000
202107,TGT,SHK,4,2436690000
202107,TGT,SIF,4,58894000
202107,TGT,XIE,4,141442000
202107,TGT,HQI,4,60892000
202107,TGT,JVP,1,3880126000
202107,TGT,RII,1,416271000
202107,TGT,SSR,0,313607000
202107,TGT,QIM,0,3145742000
202107,TGT,AHN,1,99649000
202107,TGT,FLX,0,2369031000
202107,TGT,AZR,0,2862948000
202107,TGT,WHF,0,2999694000
202107,TGT,SMH,0,8844916000
202107,TGT,GPM,0,406973000
202107,TGT,RBR,0,3878223000
202107,TGT,ZFS,0,7487129000
202107,TGT,SMH,4,11227000
202107,TGT,BVI,1,4500136000
202107,TGT,IGI,0,29143662000
202107,TGT,PNA,0,1153888000
202107,TGT,SXR,0,1040674000
202107,TGT,YNB,0,1905930000
202107,TGT,YUJ,0,510914000
202107,TGT,AHN,4,213653000
202107,TGT,IUR,1,234802000
202107,TGT,CVN,1,3427703000
202107,TGT,CBX,1,358500000
202107,TGT,VEA,1,2429544000
202108,TGT,MIQ,1,1880000
202108,TGT,SCD,1,2230000
202108,TGT,HQI,1,300000
202108,TGT,IDN,1,4990000
202108,TGT,RLM,0,444350000
202108,TGT,BVI,1,5425464000
202108,TGT,JVP,1,3580533000
202108,TGT,IUR,1,250992000
202108,TGT,ZVX,1,84370000
202108,TGT,HZI,1,3362077000
202108,TGT,PNA,4,870000
202108,TGT,KCK,4,3141000
202108,TGT,SSR,4,400000
202108,TGT,RLM,4,100000
202108,TGT,NXL,1,23800000
202108,TGT,VEA,3,465000000
202108,TGT,EEB,1,122253000
202108,TGT,GPM,1,3002000
202108,TGT,CAZ,1,205810000
202108,TGT,ZDD,1,44695000
202108,TGT,UJN,0,178560000
202108,TGT,FYT,1,320383000
202108,TGT,AHN,1,100920000
202108,TGT,JFG,0,130000000
202108,TGT,JOR,1,9267000
202108,TGT,FLX,1,16807000
202108,TGT,HZO,1,27051000
202108,TGT,HNR,0,1503620000
202108,TGT,BVI,3,959000000
202108,TGT,JVP,3,2040000000
202108,TGT,IGI,4,2700000
202108,TGT,QDF,1,121600000
202108,TGT,TZF,0,2130000
202108,TGT,CVN,3,575000000
202108,TGT,XIE,1,181288000
202108,TGT,XDG,0,15764000
202108,TGT,DSJ,0,33937000
202108,TGT,AIG,1,1740000
202108,TGT,RII,1,429072000
202108,TGT,CBX,0,55832112000
202108,TGT,IEK,0,1396832909000
202108,TGT,FYT,0,139018346000
202108,TGT,RII,0,196848390000
202108,TGT,KYG,0,310736877000
