BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,UJN,DSJ,0,198020000
202107,UJN,AHN,1,185161000
202107,UJN,QDF,1,375673000
202107,UJN,FYT,1,114821000
202107,UJN,HQI,0,3580000
202107,UJN,KYG,1,1062490000
202107,UJN,IDN,1,42813000
202107,UJN,IEK,1,12037762000
202107,UJN,IDN,0,385116000
202107,UJN,SCD,0,17745000
202107,UJN,MIQ,0,21227000
202107,UJN,HZO,0,140580000
202107,UJN,RII,0,4019608000
202107,UJN,KYG,0,42517637000
202107,UJN,JVP,0,75091256000
202107,UJN,CVN,1,9508424000
202107,UJN,CAZ,1,102226000
202107,UJN,VEA,0,50949212000
202107,UJN,VEA,1,4947007000
202107,UJN,JOR,0,6206000
202107,UJN,FYT,0,2611735000
202107,UJN,AHN,0,126443000
202107,UJN,QDF,0,3730889000
202107,UJN,FLX,0,75806000
202107,UJN,ZVX,0,359019000
202107,UJN,QIM,0,61063501000
202107,UJN,BVI,1,8782152000
202107,UJN,ZDD,0,576394000
202107,UJN,CAZ,0,852731000
202107,UJN,JVP,1,2288170000
202107,UJN,XIE,1,989036000
202107,UJN,IUR,0,1148473000
202107,UJN,QIM,1,152000
202107,UJN,IUR,1,99058000
202107,UJN,ZDD,1,31210000
202107,UJN,MIQ,1,5689000
202107,UJN,ZFS,1,20000000
202107,UJN,HZO,1,19476000
202107,UJN,EEB,1,32573000
202107,UJN,ZVX,1,316080000
202107,UJN,FLX,1,9210000
202107,UJN,NXL,1,11280000
202107,UJN,TCH,0,1076858000
202107,UJN,AIG,1,28420000
202107,UJN,SCD,1,12160000
202107,UJN,AIG,0,4784000
202107,UJN,NXL,0,7406000
202107,UJN,RII,1,321373000
202107,UJN,TGT,1,126012000
202107,UJN,YCA,0,18000
202107,UJN,GPM,0,1223000
202107,UJN,SMH,0,2708000
202107,UJN,SIF,0,3808000
202107,UJN,CBX,1,350877000
202107,UJN,HZI,1,1546713000
202107,UJN,SHK,1,15689448000
202107,UJN,TZF,0,13346520000
202107,UJN,EEB,0,1241012000
202107,UJN,TGT,0,2874564000
202107,UJN,ZFS,0,15923000
202107,UJN,CBX,0,2499578000
202107,UJN,HZI,0,8177915000
202107,UJN,SHK,0,264286035000
202107,UJN,XIE,0,74349101000
202107,UJN,BVI,0,291611786000
202107,UJN,IEK,0,67266122000
202107,UJN,CVN,0,144612859000
202108,UJN,YNB,0,59000
202108,UJN,ZDD,1,45237000
202108,UJN,JOR,1,1800000
202108,UJN,CAZ,0,696406000
202108,UJN,VEA,0,36626657000
202108,UJN,JOR,0,21621000
202108,UJN,QDF,0,3149497000
202108,UJN,QIM,0,57874917000
202108,UJN,AHN,0,165256000
202108,UJN,ZVX,0,818769000
202108,UJN,IUR,0,1237726000
202108,UJN,XIE,0,151797509000
202108,UJN,CBX,0,2762422000
202108,UJN,BVI,0,261779437000
202108,UJN,SHK,0,224291152000
202108,UJN,IEK,0,142475723000
202108,UJN,FLX,1,17408000
202108,UJN,QIM,1,237000
202108,UJN,HQI,0,3121000
202108,UJN,CVN,1,8475496000
202108,UJN,IEK,1,11212508000
202108,UJN,VEA,1,3305454000
202108,UJN,JVP,1,1951391000
202108,UJN,CBX,1,430996000
202108,UJN,KYG,1,1175918000
202108,UJN,NXL,0,12451000
202108,UJN,SHK,1,15389638000
202108,UJN,FYT,1,133401000
202108,UJN,XIE,1,1016597000
202108,UJN,MIQ,0,17663000
202108,UJN,AHN,1,158930000
202108,UJN,SCD,1,11940000
202108,UJN,HZO,1,16110000
202108,UJN,NXL,1,12590000
202108,UJN,SCD,0,14733000
202108,UJN,IDN,1,35708000
202108,UJN,TCH,0,704830000
202108,UJN,SMH,0,340000
202108,UJN,ZFS,1,12149000
202108,UJN,EEB,1,31665000
202108,UJN,CAZ,1,114502000
202108,UJN,HZI,1,1692101000
202108,UJN,QDF,1,213938000
202108,UJN,ZVX,1,491734000
202108,UJN,TGT,1,81376000
202108,UJN,AIG,1,23740000
202108,UJN,MIQ,1,5750000
202108,UJN,RII,1,130751000
202108,UJN,IUR,1,114799000
202108,UJN,GPM,0,1898000
