BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,UXE,RBR,0,25408000
202107,UXE,AXQ,0,2056000
202107,UXE,XIE,0,69804000
202107,UXE,QOB,0,14000000
202107,UXE,EEB,0,10526000
202107,UXE,IGI,0,20403000
202107,UXE,PNA,0,23870000
202107,UXE,RLM,0,30067000
202107,UXE,KFW,0,4000000
202107,UXE,AZR,0,49200000
202107,UXE,YUJ,0,100639000
202107,UXE,FLX,0,6328000
202107,UXE,YNB,0,43830000
202107,UXE,HZO,0,21360000
202107,UXE,IEK,0,4688531000
202107,UXE,HQI,0,1956968000
202107,UXE,AIG,0,2577225000
202107,UXE,WHF,0,124161000
202107,UXE,ZFS,0,525501000
202107,UXE,HZI,0,917227000
202107,UXE,IUR,0,385487000
202107,UXE,SIF,0,1279438000
202107,UXE,SCD,0,348416000
202107,UXE,SMH,0,87164000
202107,UXE,ZVX,0,65152000
202107,UXE,AHN,0,405464000
202107,UXE,YCA,0,470855000
202107,UXE,MIQ,0,1073416000
202107,UXE,CAZ,0,793407000
202107,UXE,SHK,0,4531670000
202107,UXE,NXL,0,991723000
202107,UXE,IDN,0,2949492000
202107,UXE,KYG,0,622338000
202107,UXE,JVP,0,927269000
202107,UXE,VEA,0,2201502000
202107,UXE,QDF,0,145888000
202107,UXE,CBX,0,2096250000
202107,UXE,TGT,0,747958000
202107,UXE,JOR,0,2948092000
202107,UXE,KCK,0,40250000
202107,UXE,FYT,0,176056000
202107,UXE,RII,0,94961000
202107,UXE,ZDD,0,17577000
202107,UXE,BVI,0,5855171000
202107,UXE,CVN,0,3148799000
202108,UXE,RLM,0,356000
202108,UXE,YNB,0,26449000
202108,UXE,WHF,0,320261000
202108,UXE,RBR,0,12846000
202108,UXE,ZDD,0,16996000
202108,UXE,KFW,0,107980000
202108,UXE,EEB,0,26479000
202108,UXE,AXQ,0,9765000
202108,UXE,IGI,0,11171000
202108,UXE,QOB,0,27678000
202108,UXE,PNA,0,1345000
202108,UXE,KCK,0,18200000
202108,UXE,AZR,0,26226000
