BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,VEA,JIK,0,93854000
202107,VEA,EEB,16,57948000
202107,VEA,PNA,4,29616000
202107,VEA,TZF,0,2449490000
202107,VEA,AZR,4,4551000
202107,VEA,YCA,3,107702000
202107,VEA,AXQ,1,16404000
202107,VEA,SHK,27,300000
202107,VEA,XIE,15,80000
202107,VEA,ZDD,13,10940000
202107,VEA,ZVX,13,8840000
202107,VEA,CVN,16,27600000
202107,VEA,ZDD,15,2420000
202107,VEA,MIQ,13,380000
202107,VEA,UXE,3,320000
202107,VEA,MIQ,11,1008000
202107,VEA,JVP,27,300000
202107,VEA,RII,13,20890000
202107,VEA,KYG,13,7570000
202107,VEA,EEB,15,27890000
202107,VEA,CAZ,11,8862004000
202107,VEA,YUJ,4,24381000
202107,VEA,BVI,11,1572468000
202107,VEA,WZU,4,100000
202107,VEA,FLX,16,6000000
202107,VEA,FYT,15,4780000
202107,VEA,SHK,11,1500993000
202107,VEA,CVN,11,747816000
202107,VEA,NXL,4,468430000
202107,VEA,XIE,4,1679743000
202107,VEA,KYG,4,6750365000
202107,VEA,XDG,0,322044000
202107,VEA,UXE,4,182600000
202107,VEA,SIF,4,659787000
202107,VEA,AHN,4,1462189000
202107,VEA,WHF,4,41860000
202107,VEA,YNB,4,9158000
202107,VEA,AIG,4,740437000
202107,VEA,ZFS,4,391032000
202107,VEA,EEB,4,21085785000
202107,VEA,MIQ,4,3058022000
202107,VEA,SMH,4,157229000
202107,VEA,ZDD,4,2023540000
202107,VEA,ZVX,4,3642862000
202107,VEA,JOR,4,1098754000
202107,VEA,HZO,4,7307269000
202107,VEA,RII,4,3886251000
202107,VEA,BVI,4,35156591000
202107,VEA,TGT,4,1186418000
202107,VEA,QDF,4,6627729000
202107,VEA,IEK,4,58454061000
202107,VEA,CBX,4,16470992000
202107,VEA,IGI,4,35437000
202107,VEA,AXQ,4,18789000
202107,VEA,KFW,4,25052000
202107,VEA,KCK,4,31308000
202107,VEA,KFW,1,98275000
202107,VEA,SSR,4,5221000
202107,VEA,RLM,3,2335000
202107,VEA,EEB,11,1603669000
202107,VEA,JVP,11,886336000
202107,VEA,QOB,4,105146000
202107,VEA,XIE,16,100000
202107,VEA,GPM,23,100000
202107,VEA,FLX,12,70033000
202107,VEA,KCK,3,18702000
202107,VEA,WHF,1,1019968000
202107,VEA,PNA,1,77679000
202107,VEA,QOB,1,137540000
202107,VEA,IUR,12,2928591000
202107,VEA,YCA,1,126367000
202107,VEA,FLX,23,700000
202107,VEA,ZDD,12,76189000
202107,VEA,EEB,12,958970000
202107,VEA,BVI,12,1320436000
202107,VEA,QDF,12,119658000
202107,VEA,ZVX,12,46349000
202107,VEA,HZO,12,213799000
202107,VEA,BVI,23,9200000
202107,VEA,RII,12,127076000
202107,VEA,PNA,3,41729000
202107,VEA,HZO,23,2200000
202107,VEA,SHK,23,10900000
202107,VEA,IGI,1,290083000
202107,VEA,HZO,14,7930000
202107,VEA,ZDD,23,200000
202107,VEA,QDF,11,201984000
202107,VEA,BVI,15,26950000
202107,VEA,ZQS,3,100000
202107,VEA,SXR,3,200000
202107,VEA,IEK,16,86281000
202107,VEA,CAZ,16,237930000
202107,VEA,KFW,3,23801000
202107,VEA,ZVX,14,3728000
202107,VEA,JVP,12,583424000
202107,VEA,IEK,23,17100000
202107,VEA,GPM,12,21419000
202107,VEA,JVP,23,6100000
202107,VEA,RII,23,8900000
202107,VEA,FYT,12,180960000
202107,VEA,CVN,23,122600000
202107,VEA,RII,14,4676000
202107,VEA,FLX,14,1238000
202107,VEA,CVN,12,583810000
202107,VEA,QDF,23,1000000
202107,VEA,IEK,12,1797111000
202107,VEA,IUR,23,45700000
202107,VEA,SHK,12,1634176000
202107,VEA,KYG,12,64511000
202107,VEA,CAZ,23,35900000
202107,VEA,KYG,14,1896000
202107,VEA,RBR,1,42683000
202107,VEA,FYT,23,1400000
202107,VEA,ZVX,23,500000
202107,VEA,KYG,23,100000
202107,VEA,IGI,3,5109000
202107,VEA,YNB,3,450000
202107,VEA,WHF,3,3563000
202107,VEA,YUJ,3,2437000
202107,VEA,TGT,12,2460000
202107,VEA,XIE,12,7740000
202107,VEA,EEB,23,9800000
202107,VEA,KCK,1,46490000
202107,VEA,MIQ,12,600000
202107,VEA,SMH,1,210392000
202107,VEA,TCH,1,169000
202107,VEA,TGT,14,474000
202107,VEA,FYT,16,10432000
202107,VEA,JVP,16,34399000
202107,VEA,HNR,1,334000
202107,VEA,GPM,14,474000
202107,VEA,KYG,16,3949000
202107,VEA,JFG,0,15000
202107,VEA,QDF,13,19580000
202107,VEA,CAZ,27,600000
202107,VEA,TGT,16,200000
202107,VEA,TGT,11,2647000
202107,VEA,GPM,16,400000
202107,VEA,FLX,13,12460000
202107,VEA,FYT,13,13580000
202107,VEA,QDF,16,5450000
202107,VEA,ZVX,27,300000
202107,VEA,CVN,27,600000
202107,VEA,IEK,27,300000
202107,VEA,FYT,27,600000
202107,VEA,FLX,15,2820000
202107,VEA,GPM,15,440000
202107,VEA,ZVX,16,1650000
202107,VEA,ZVX,15,1340000
202107,VEA,JVP,15,16230000
202107,VEA,RII,15,3780000
202107,VEA,GPM,13,1140000
202107,VEA,RII,16,7883000
202107,VEA,ZDD,16,4550000
202107,VEA,XIE,13,700000
202107,VEA,QDF,15,3600000
202107,VEA,SHK,16,58450000
202107,VEA,CVN,13,56290000
202107,VEA,JVP,13,66960000
202107,VEA,BVI,16,60831000
202107,VEA,ZDD,11,132053000
202107,VEA,XIE,11,11660000
202107,VEA,FLX,11,161718000
202107,VEA,CVN,15,13010000
202107,VEA,HZO,11,348348000
202107,VEA,KYG,11,93297000
202107,VEA,HZO,16,12515000
202107,VEA,IUR,16,206091000
202107,VEA,IEK,15,42860000
202107,VEA,RII,11,203901000
202107,VEA,ZVX,11,71173000
202107,VEA,IUR,15,89800000
202107,VEA,DSJ,3,19426000
202107,VEA,YNB,1,13772000
202107,VEA,AXQ,3,6932000
202107,VEA,UJN,4,990000
202107,VEA,HNR,3,2040000
202107,VEA,SSR,1,2340000
202107,VEA,FYT,11,248088000
202107,VEA,CAZ,15,187870000
202107,VEA,IUR,13,325290000
