BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,WHF,RBR,0,91757000
202107,WHF,XDG,0,200000
202107,WHF,YCA,0,299370000
202107,WHF,AZR,0,32858000
202107,WHF,IGI,0,75690000
202107,WHF,YUJ,0,14640000
202107,WHF,SXR,0,11600000
202107,WHF,RLM,0,2019000
202107,WHF,ZVX,0,1015472000
202107,WHF,IEK,0,26186511000
202107,WHF,RII,0,519832000
202107,WHF,EEB,0,530344000
202107,WHF,JOR,0,1144739000
202107,WHF,GPM,0,6092000
202107,WHF,SSR,0,10819000
202107,WHF,WZU,0,8516000
202107,WHF,YNB,0,13260000
202107,WHF,AXQ,0,3189000
202107,WHF,VEA,0,9971666000
202107,WHF,JVP,0,6240196000
202107,WHF,XIE,0,586585000
202107,WHF,FLX,0,33498000
202107,WHF,KFW,0,46336000
202107,WHF,TGT,0,492399000
202107,WHF,ZFS,0,335981000
202107,WHF,SMH,0,226787000
202107,WHF,MIQ,0,1065685000
202107,WHF,KYG,0,2954208000
202107,WHF,HQI,0,1461386000
202107,WHF,IUR,0,1831005000
202107,WHF,CAZ,0,843000000
202107,WHF,CBX,0,7233775000
202107,WHF,SHK,0,19136551000
202107,WHF,HZI,0,5873291000
202107,WHF,AHN,0,1659076000
202107,WHF,ZDD,0,264146000
202107,WHF,SIF,0,598899000
202107,WHF,KCK,0,64535000
202107,WHF,QOB,0,125155000
202107,WHF,FYT,0,1637705000
202107,WHF,SCD,0,425459000
202107,WHF,QDF,0,1685464000
202107,WHF,CVN,0,11974557000
202107,WHF,HZO,0,328984000
202107,WHF,NXL,0,743193000
202107,WHF,AIG,0,1673575000
202107,WHF,IDN,0,1514391000
202107,WHF,BVI,0,17673784000
202107,WHF,PNA,0,43584000
202107,WHF,UXE,0,86540000
202108,WHF,CAZ,0,873705000
202108,WHF,YUJ,0,17450000
202108,WHF,TGT,0,492785000
202108,WHF,SMH,0,378667000
202108,WHF,GPM,0,9510000
202108,WHF,SXR,0,400000
202108,WHF,SSR,0,10207000
202108,WHF,AXQ,0,4934000
202108,WHF,RLM,0,20240000
202108,WHF,WZU,0,50334000
