BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,WZU,YNB,0,104804000
202107,WZU,AXQ,0,1372000
202107,WZU,ZDD,0,13479000
202107,WZU,SCD,0,15971000
202107,WZU,SMH,0,2169878000
202107,WZU,QOB,0,340105000
202107,WZU,IGI,0,396220000
202107,WZU,RII,0,143695000
202107,WZU,FLX,0,409000
202107,WZU,AZR,0,157560000
202107,WZU,MIQ,0,646150000
202107,WZU,WHF,0,43000
202107,WZU,PNA,0,33980000
202107,WZU,UXE,0,30900000
202107,WZU,YUJ,0,200000000
202107,WZU,RLM,0,1502000
202107,WZU,SXR,0,3110000
202107,WZU,JOR,0,7456113000
202107,WZU,HZO,0,207097000
202107,WZU,SHK,0,4678961000
202107,WZU,BVI,0,7604282000
202107,WZU,NXL,0,6836300000
202107,WZU,CBX,0,925738000
202107,WZU,IUR,0,1293489000
202107,WZU,ZVX,0,253361000
202107,WZU,AHN,0,149029000
202107,WZU,FYT,0,949536000
202107,WZU,KYG,0,607408000
202107,WZU,ZFS,0,175124000
202107,WZU,KCK,0,450390000
202107,WZU,YCA,0,4600674000
202107,WZU,XIE,0,570342000
202107,WZU,CVN,0,4703362000
202107,WZU,GPM,0,1000000
202107,WZU,CAZ,0,58423000
202107,WZU,IDN,0,6546558000
202107,WZU,EEB,0,76375000
202107,WZU,VEA,0,2180978000
202107,WZU,TGT,0,16594000
202107,WZU,HZI,0,1591680000
202107,WZU,IEK,0,18346395000
202107,WZU,SIF,0,1119455000
202107,WZU,HQI,0,14146522000
202107,WZU,AIG,0,16725284000
202107,WZU,QDF,0,745473000
202107,WZU,JVP,0,33453564000
202108,WZU,PNA,0,117700000
202108,WZU,YUJ,0,106750000
202108,WZU,GPM,0,36300000
202108,WZU,NXL,0,7633632000
202108,WZU,IGI,0,4302418000
202108,WZU,QOB,0,920000000
202108,WZU,MIQ,0,1108589000
202108,WZU,KCK,0,4043311000
202108,WZU,ZDD,0,24755000
202108,WZU,FLX,0,20000
202108,WZU,YNB,0,431486000
202108,WZU,WHF,0,153811000
202108,WZU,TGT,0,355153000
