BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,XDG,HQI,0,880610000
202107,XDG,KYG,0,98740000
202107,XDG,IGI,0,820000
202107,XDG,SIF,0,199520000
202107,XDG,EEB,0,2544000
202107,XDG,WHF,0,450000000
202107,XDG,AIG,0,918685000
202107,XDG,VEA,0,246143000
202107,XDG,ZFS,0,16810000
202107,XDG,NXL,0,1130030000
202107,XDG,TGT,0,2260000
202107,XDG,QOB,0,270000000
202107,XDG,QDF,0,290000
202107,XDG,HZO,0,3000000
202107,XDG,SCD,0,2979000
202107,XDG,KCK,0,3070000
202107,XDG,SMH,0,11690000
202107,XDG,YNB,0,6100000
202107,XDG,MIQ,0,2554000
202107,XDG,SXR,0,947000000
202107,XDG,AHN,0,103665000
202107,XDG,WZU,0,1200000
202107,XDG,JOR,0,254558000
202107,XDG,YCA,0,2125000
202107,XDG,CAZ,0,38388000
202107,XDG,CVN,0,273661000
202107,XDG,BVI,0,754580000
202107,XDG,IDN,0,771663000
202107,XDG,FYT,0,7931687000
202107,XDG,CBX,0,288934000
202107,XDG,HZI,0,460225000
202107,XDG,AXQ,0,38000
202107,XDG,PNA,0,623440000
202107,XDG,IUR,0,9832000
202107,XDG,SHK,0,870862000
202107,XDG,IEK,0,2039727000
202107,XDG,RII,0,6312021000
202107,XDG,XIE,0,5280000
202107,XDG,JVP,0,776371000
202108,XDG,ZVX,0,400000
202108,XDG,SIF,0,4000000
202108,XDG,EEB,0,979000
202108,XDG,QDF,0,24600000
202108,XDG,ZFS,0,58100000
202108,XDG,MIQ,0,795000
202108,XDG,PNA,0,636000000
202108,XDG,XIE,0,20000
202108,XDG,JOR,0,214354000
202108,XDG,TGT,0,85000000
202108,XDG,KYG,0,342602000
