BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,XIE,YUJ,4,810000
202107,XIE,TGT,4,59807000
202107,XIE,JOR,4,57966000
202107,XIE,QIM,4,9900000
202107,XIE,IGI,4,450000
202107,XIE,GPM,4,7965000
202107,XIE,HNR,0,157350000
202107,XIE,SXR,0,849830000
202107,XIE,ZQS,0,50000000
202107,XIE,TGT,1,834951000
202107,XIE,AZR,0,850532000
202107,XIE,KCK,0,5471487000
202107,XIE,EEB,1,304377000
202107,XIE,WHF,0,1889194000
202107,XIE,WZU,0,38799000
202107,XIE,RLM,0,322746000
202107,XIE,TZF,0,311459040000
202107,XIE,SSR,0,448947000
202107,XIE,KFW,0,2608479000
202107,XIE,IGI,0,10348109000
202107,XIE,UXE,0,580920000
202107,XIE,QOB,4,2260000
202107,XIE,UXE,4,6050000
202107,XIE,HQI,4,26190000
202107,XIE,FLX,4,14560000
202107,XIE,ZFS,4,162804000
202107,XIE,RII,4,41179000
202107,XIE,CAZ,1,633870000
202107,XIE,RBR,4,210000
202107,XIE,KFW,4,150000
202107,XIE,YCA,4,3291000
202107,XIE,YNB,4,550000
202107,XIE,SMH,4,9450000
202107,XIE,PNA,4,350000
202107,XIE,SCD,1,120269000
202107,XIE,YCA,1,11939000
202107,XIE,MIQ,1,52248000
202107,XIE,JOR,1,87808000
202107,XIE,PNA,1,5490000
202107,XIE,FLX,1,61054000
202107,XIE,HQI,1,48045000
202107,XIE,KFW,1,2990000
202107,XIE,SMH,1,25102000
202107,XIE,RLM,4,300000
202107,XIE,HZO,1,248075000
202107,XIE,IDN,1,1465890000
202107,XIE,GPM,1,200000
202107,XIE,AIG,1,47810000
202107,XIE,ZDD,1,166683000
202107,XIE,NXL,1,23398000
202107,XIE,YUJ,1,7830000
202107,XIE,UJN,4,100000
202107,XIE,TCH,1,486000000
202107,XIE,JFG,0,1000
202107,XIE,WHF,4,200000
202107,XIE,KCK,4,100000
202107,XIE,YNB,1,19100000
202107,XIE,UJN,1,68100000
202107,XIE,AXQ,4,400000
202107,XIE,JIK,0,1000000
202107,XIE,PNA,0,1187934000
202107,XIE,KYG,1,15147365000
202107,XIE,CVN,1,81096599000
202107,XIE,IEK,1,94198445000
202107,XIE,AIG,0,210064107000
202107,XIE,IDN,0,58359400000
202107,XIE,MIQ,0,178469876000
202107,XIE,ZFS,0,11371436000
202107,XIE,SCD,0,6710952000
202107,XIE,AHN,0,36566740000
202107,XIE,HZO,0,61196224000
202107,XIE,FYT,0,119234691000
202107,XIE,IEK,0,2760935756000
202107,XIE,SHK,0,7655341669000
202107,XIE,CVN,0,6176076069000
202107,XIE,JVP,0,993269919000
202107,XIE,FLX,0,6777972000
202107,XIE,VEA,0,686466267000
202107,XIE,CAZ,0,29255615000
202107,XIE,TGT,0,401673609000
202107,XIE,IUR,0,73779896000
202107,XIE,RII,0,38085535000
202107,XIE,HZI,0,308635917000
202107,XIE,SHK,1,121501212000
202107,XIE,HQI,0,103334892000
202107,XIE,SIF,0,26702288000
202107,XIE,NXL,0,162755435000
202107,XIE,QIM,0,122878403000
202107,XIE,ZDD,0,14061576000
202107,XIE,KYG,0,1095508448000
202107,XIE,BVI,0,9688573716000
202107,XIE,EEB,0,35047956000
202107,XIE,ZVX,0,34630382000
202107,XIE,QDF,0,69681749000
202107,XIE,CBX,0,132815898000
202107,XIE,JOR,0,119024115000
202107,XIE,GPM,0,554022000
202107,XIE,QOB,0,3334771000
202107,XIE,YUJ,0,1447153000
202107,XIE,SMH,0,6140813000
202107,XIE,QDF,1,4902510000
202107,XIE,ZFS,1,85404000
202107,XIE,AHN,1,1038797000
202107,XIE,RII,1,1713533000
202107,XIE,UJN,0,25933903000
202107,XIE,FYT,4,142184000
202107,XIE,HZO,4,304001000
202107,XIE,SCD,4,20983000
202107,XIE,KYG,4,443684000
202107,XIE,CVN,4,2990780000
202107,XIE,HZI,4,1189004000
202107,XIE,AIG,4,421514000
202107,XIE,VEA,4,1407670000
202107,XIE,JVP,4,893719000
202107,XIE,EEB,4,297565000
202107,XIE,IUR,4,588172000
202107,XIE,ZDD,4,32488000
202107,XIE,CBX,1,3685078000
202107,XIE,QDF,4,282403000
202107,XIE,CBX,4,506704000
202107,XIE,MIQ,4,178468000
202107,XIE,BVI,1,82290033000
202107,XIE,JVP,1,25005621000
202107,XIE,TCH,0,333035260000
202107,XIE,HZI,1,11092855000
202107,XIE,YCA,0,32485946000
202107,XIE,AXQ,0,179350000
202107,XIE,RBR,0,1567068000
202107,XIE,YNB,0,1051536000
202107,XIE,ZVX,4,72303000
202107,XIE,QIM,1,59860929000
202107,XIE,NXL,4,16895000
202107,XIE,SIF,4,10350000
202107,XIE,IDN,4,79521000
202107,XIE,CAZ,4,188639000
202107,XIE,BVI,4,1961469000
202107,XIE,FYT,1,2034876000
202107,XIE,IUR,1,2007713000
202107,XIE,AHN,4,134760000
202107,XIE,SHK,4,2428477000
202107,XIE,ZVX,1,1165326000
202107,XIE,IEK,4,3198008000
202107,XIE,DSJ,0,32589807000
202107,XIE,VEA,1,15331191000
202108,XIE,YUJ,1,7730000
202108,XIE,FLX,1,53752000
202108,XIE,HQI,1,55520000
202108,XIE,GPM,1,3480000
202108,XIE,PNA,4,100000
202108,XIE,KFW,1,3500000
202108,XIE,AIG,0,66982716000
202108,XIE,AZR,0,1817032000
202108,XIE,SMH,4,2450000
202108,XIE,YCA,4,3941000
202108,XIE,SCD,4,19643000
202108,XIE,WZU,0,1984384000
202108,XIE,BVI,0,8535629677000
202108,XIE,IEK,0,3235690933000
202108,XIE,FYT,0,133537387000
202108,XIE,QDF,0,65644112000
202108,XIE,JVP,0,1079003823000
202108,XIE,UJN,4,100000
202108,XIE,QDF,4,291873000
202108,XIE,IUR,4,617457000
202108,XIE,CBX,4,531419000
202108,XIE,JVP,4,951599000
202108,XIE,IEK,4,3411787000
202108,XIE,HZI,4,1303643000
202108,XIE,CVN,4,3384078000
202108,XIE,IDN,4,108121000
202108,XIE,ZVX,1,969939000
202108,XIE,IDN,1,4909640000
202108,XIE,HZI,0,294224339000
202108,XIE,IGI,4,450000
202108,XIE,JFG,0,41000
202108,XIE,NXL,1,20170000
202108,XIE,PNA,1,5080000
202108,XIE,AXQ,4,400000
202108,XIE,YUJ,4,510000
202108,XIE,CAZ,1,587317000
202108,XIE,TGT,1,736159000
202108,XIE,ZQS,0,2068000
