BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,YCA,AXQ,0,57901000
202107,YCA,JVP,0,32014214000
202107,YCA,ZFS,0,6810054000
202107,YCA,CVN,0,302307011000
202107,YCA,NXL,0,354794383000
202107,YCA,MIQ,0,38778436000
202107,YCA,EEB,0,5932488000
202107,YCA,KYG,0,17085530000
202107,YCA,FYT,0,6581405000
202107,YCA,QOB,0,21988759000
202107,YCA,YNB,0,1693733000
202107,YCA,KCK,0,3056592000
202107,YCA,AZR,0,641565000
202107,YCA,FLX,0,464886000
202107,YCA,KFW,0,2370202000
202107,YCA,SCD,0,3882049000
202107,YCA,SMH,0,11328407000
202107,YCA,HZO,0,2133804000
202107,YCA,XIE,0,4929039000
202107,YCA,ZDD,0,1129556000
202107,YCA,YUJ,0,971748000
202107,YCA,IGI,0,55097418000
202107,YCA,RLM,0,481597000
202107,YCA,SSR,0,199000
202107,YCA,SXR,0,664900000
202107,YCA,IUR,0,17252229000
202107,YCA,AHN,0,11485134000
202107,YCA,XDG,0,100000
202107,YCA,WZU,0,817892000
202107,YCA,ZQS,0,275000
202107,YCA,UXE,0,44684000
202107,YCA,GPM,0,486416000
202107,YCA,PNA,0,1376652000
202107,YCA,WHF,0,4123687000
202107,YCA,TGT,0,7941938000
202107,YCA,RBR,0,5777663000
202107,YCA,RII,0,1521002000
202107,YCA,IEK,0,193865189000
202107,YCA,BVI,0,102029236000
202107,YCA,HZI,0,31168168000
202107,YCA,SHK,0,105532497000
202107,YCA,HQI,0,121027664000
202107,YCA,AIG,0,199727618000
202107,YCA,VEA,0,48961948000
202107,YCA,SIF,0,17212055000
202107,YCA,JOR,0,99193982000
202107,YCA,IDN,0,85128107000
202107,YCA,CAZ,0,6318177000
202107,YCA,QDF,0,7625748000
202107,YCA,ZVX,0,2517486000
202107,YCA,CBX,0,57639662000
202108,YCA,XDG,0,100000
202108,YCA,GPM,0,342424000
202108,YCA,ZQS,0,1000000
