BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,YNB,AZR,0,32918000
202107,YNB,RBR,0,88923000
202107,YNB,SCD,0,866504000
202107,YNB,EEB,0,514525000
202107,YNB,CBX,0,12416197000
202107,YNB,IUR,0,3782743000
202107,YNB,BVI,0,74722055000
202107,YNB,TGT,0,2550545000
202107,YNB,ZVX,0,900639000
202107,YNB,NXL,0,14854592000
202107,YNB,QDF,0,5826269000
202107,YNB,VEA,0,31872889000
202107,YNB,HQI,0,15664901000
202107,YNB,ZFS,0,2756739000
202107,YNB,JVP,0,19912305000
202107,YNB,IGI,0,175673000
202107,YNB,HZI,0,9729908000
202107,YNB,JOR,0,9280885000
202107,YNB,AXQ,0,8595000
202107,YNB,AIG,0,41865224000
202107,YNB,KFW,0,215435000
202107,YNB,SSR,0,15367000
202107,YNB,YUJ,0,4091082000
202107,YNB,QOB,0,170567000
202107,YNB,AHN,0,2561689000
202107,YNB,YCA,0,2511634000
202107,YNB,IDN,0,28159046000
202107,YNB,SXR,0,23077100000
202107,YNB,SMH,0,1413194000
202107,YNB,WZU,0,356752000
202107,YNB,KCK,0,576000
202107,YNB,RLM,0,100000
202107,YNB,UXE,0,5000000
202107,YNB,CVN,0,42104655000
202107,YNB,IEK,0,177826241000
202107,YNB,MIQ,0,8462785000
202107,YNB,SHK,0,48976160000
202107,YNB,FLX,0,114418000
202107,YNB,SIF,0,5454261000
202107,YNB,HZO,0,660364000
202107,YNB,XIE,0,4742463000
202107,YNB,FYT,0,3980729000
202107,YNB,PNA,0,100018000
202107,YNB,CAZ,0,898949000
202107,YNB,RII,0,1161218000
202107,YNB,ZDD,0,290955000
202107,YNB,KYG,0,5882704000
202107,YNB,WHF,0,11884000
202108,YNB,AXQ,0,29665000
202108,YNB,AZR,0,14647000
202108,YNB,IGI,0,291286000
202108,YNB,WZU,0,1092660000
202108,YNB,SXR,0,26642000000
202108,YNB,GPM,0,6860000
202108,YNB,RBR,0,43908000
