BASE_YM,HNDE_BANK_RPTV_CODE,OPENBANK_RPTV_CODE,FND_TPCD,TRAN_AMT
202107,YUJ,WHF,0,75940000
202107,YUJ,KFW,0,1472094000
202107,YUJ,SCD,0,66471000
202107,YUJ,IGI,0,1922263000
202107,YUJ,YCA,0,1935116000
202107,YUJ,QOB,0,172588000
202107,YUJ,UXE,0,294240000
202107,YUJ,AZR,0,635528000
202107,YUJ,YNB,0,885279000
202107,YUJ,AXQ,0,24000
202107,YUJ,SMH,0,3007781000
202107,YUJ,SSR,0,12430000
202107,YUJ,XDG,0,1100000
202107,YUJ,QIM,0,48900000
202107,YUJ,FLX,0,2880000
202107,YUJ,SXR,0,7447000
202107,YUJ,GPM,0,6000000
202107,YUJ,KYG,0,3484027000
202107,YUJ,KCK,0,15426000
202107,YUJ,MIQ,0,169089000
202107,YUJ,TGT,0,196713000
202107,YUJ,QDF,0,876844000
202107,YUJ,CAZ,0,516085000
202107,YUJ,FYT,0,1973165000
202107,YUJ,AIG,0,23438897000
202107,YUJ,ZFS,0,12121290000
202107,YUJ,SIF,0,7827673000
202107,YUJ,HQI,0,20174931000
202107,YUJ,RII,0,224165000
202107,YUJ,CVN,0,20020373000
202107,YUJ,HZI,0,6712272000
202107,YUJ,SHK,0,21404393000
202107,YUJ,HZO,0,3633637000
202107,YUJ,IDN,0,19770795000
202107,YUJ,VEA,0,11228132000
202107,YUJ,AHN,0,1807961000
202107,YUJ,PNA,0,658800000
202107,YUJ,WZU,0,420082000
202107,YUJ,IEK,0,62987221000
202107,YUJ,EEB,0,1801000000
202107,YUJ,CBX,0,6997889000
202107,YUJ,XIE,0,564357000
202107,YUJ,ZVX,0,831893000
202107,YUJ,BVI,0,22822293000
202107,YUJ,RBR,0,2420242000
202107,YUJ,IUR,0,1608174000
202107,YUJ,JOR,0,11777913000
202107,YUJ,JVP,0,7323756000
202107,YUJ,ZDD,0,443112000
202107,YUJ,NXL,0,11941561000
202108,YUJ,TGT,0,282892000
202108,YUJ,IUR,0,1537526000
202108,YUJ,AZR,0,456300000
202108,YUJ,SSR,0,4000
202108,YUJ,SMH,0,6724567000
202108,YUJ,AXQ,0,1040000
202108,YUJ,FLX,0,5951000
202108,YUJ,SXR,0,7000000
202108,YUJ,UXE,0,1000000
202108,YUJ,IGI,0,1965104000
202108,YUJ,WZU,0,504385000
